ID,NumTalents,NumTalentsDeathKnight,NumTalentsDemonHunter,NumberOfTalents
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,1
11,0,0,0,1
12,0,0,0,1
13,0,0,0,1
14,0,0,0,1
15,1,1,1,1
16,1,1,1,1
17,1,1,1,1
18,1,1,1,1
19,1,1,1,1
20,1,1,1,2
21,1,1,1,2
22,1,1,1,2
23,1,1,1,2
24,1,1,1,2
25,2,2,2,2
26,2,2,2,2
27,2,2,2,2
28,2,2,2,2
29,2,2,2,2
30,3,3,3,3
31,3,3,3,3
32,3,3,3,3
33,3,3,3,3
34,3,3,3,3
35,4,4,4,4
36,4,4,4,4
37,4,4,4,4
38,4,4,4,4
39,4,4,4,4
40,5,5,5,5
41,5,5,5,5
42,5,5,5,5
43,5,5,5,5
44,5,5,5,5
45,6,6,6,6
46,6,6,6,6
47,6,6,6,6
48,6,6,6,6
49,6,6,6,6
50,50,50,50,50
51,50,50,50,50
52,50,50,50,50
53,50,50,50,50
54,50,50,50,50
55,50,50,50,50
56,50,50,50,50
57,50,50,50,50
58,50,50,50,50
59,50,50,50,50
60,50,50,50,50
61,50,50,50,50
62,50,50,50,50
63,50,50,50,50
64,50,50,50,50
65,50,50,50,50
66,50,50,50,50
67,50,50,50,50
68,50,50,50,50
69,50,50,50,50
70,50,50,50,50
71,4,4,0,4
72,4,4,0,4
73,4,4,0,4
74,4,4,0,4
75,5,5,0,5
76,5,5,0,5
77,5,5,0,5
78,5,5,0,5
79,5,5,0,5
80,5,5,0,5
81,5,5,0,5
82,5,5,0,5
83,5,5,0,5
84,5,5,0,5
85,5,5,0,5
86,5,5,0,5
87,5,5,0,5
88,5,5,0,5
89,5,5,0,5
90,6,6,0,6
91,6,6,0,6
92,6,6,0,6
93,6,6,0,6
94,6,6,0,6
95,6,6,0,6
96,6,6,0,6
97,6,6,0,6
98,6,6,0,6
99,6,6,1,6
100,7,7,2,6
101,7,7,2,0
102,7,7,3,0
103,7,7,3,0
104,7,7,4,0
105,7,7,4,0
106,7,7,5,0
107,7,7,5,0
108,7,7,6,0
109,7,7,6,0
110,7,7,7,0
111,7,7,7,0
112,7,7,7,0
113,7,7,7,0
114,7,7,7,0
115,7,7,7,0
116,7,7,7,0
117,7,7,7,0
118,7,7,7,0
119,7,7,7,0
120,7,7,7,0
121,7,7,7,0
122,7,7,7,0
123,7,7,7,0
