ID,SoundKitID,FallbackSoundKitID
1,5971,5974
2,5977,5974
3,5983,5980
4,5986,5980
5,5904,5910
6,5907,5910
7,6620,5910
8,6621,5910
9,6622,5910
10,5913,6617
11,5916,6617
12,5919,6617
13,6619,6617
14,5992,5989
15,5995,5989
16,5998,6005
17,6001,6005
18,5922,5925
19,5928,5925
20,6626,5925
21,6627,5925
22,6628,5925
23,7068,5925
24,5931,5934
25,5937,5934
26,6623,5934
27,6624,5934
28,9766,9762
29,9770,9762
30,10154,9762
31,9754,9750
32,9758,9750
33,19425,19444
34,19427,19444
35,19447,19444
36,19454,19444
37,19455,19444
38,19370,19369
39,19376,19369
40,19377,19369
41,19403,19369
42,19405,19369
43,6021,6018
44,6024,6018
45,6648,6018
46,6649,6018
47,6650,6018
48,6030,6027
49,6033,6027
50,6645,6027
51,6646,6027
52,6647,6027
53,6036,6039
54,6042,6039
55,6666,6039
56,6668,6039
57,6049,6046
58,6052,6046
59,6663,6046
60,6011,6008
61,6014,6008
62,6654,6008
63,6655,6008
64,6656,6008
65,6055,6061
66,6058,6061
67,5940,5946
68,5943,5946
69,6662,5946
70,6660,5946
71,6661,5946
72,5949,5955
73,5952,5955
74,6658,5955
75,9742,9738
76,9746,9738
77,9725,9734
78,9730,9734
79,5958,6632
80,5961,6632
81,5964,6632
82,6630,6632
83,6631,6632
84,18817,6632
85,18818,6632
86,18828,6632
87,19081,6632
88,19082,6632
89,6629,5967
90,18812,5967
91,18813,5967
92,18822,5967
93,18823,5967
94,19076,5967
95,19077,5967
