ID,GarrFollRaceID,MaleScale,MaleHeight,FemaleScale,FemaleHeight,MaleSingleModelScale,MaleSingleModelHeight,FemaleSingleModelScale,FemaleSingleModelHeight,MaleFollowerPageScale,MaleFollowerPageHeight,FemaleFollowerPageScale,FemaleFollowerPageHeight
2,2,1.7,0.5,1.7,0.45,0.7,1,0.7,1,1,0.5,1,0.5
3,3,1.7,0.5,1.7,0.5,0.7,1.2,0.7,1.2,1,0.5,1,0.5
4,4,1.4,0.55,1.3,0.55,0.7,1.2,0.6,1.2,1,0.5,1,0.5
5,5,1.8,0.45,1.8,0.45,0.7,1.1,0.7,1.1,1,0.5,1,0.5
7,7,2,0.5,2,0.5,0.7,1.1,0.7,1.1,1.1,0.5,1.2,0.5
8,8,1.5,0.5,1.5,0.5,0.6,1.35,0.6,1.4,1,0.5,1,0.5
9,9,1.55,0.5,1.55,0.5,0.75,1,0.6,1.3,1,0.5,1,0.5
10,10,1.5,0.5,1.7,0.5,0.6,1.1,0.65,1.3,0.9,0.55,1.1,0.55
11,11,1.5,0.5,1.55,0.55,0.6,1,0.7,1.05,1,0.5,1,0.5
12,12,1.5,0.55,1.55,0.55,0.7,1.25,0.65,1.25,1.1,0.5,1.1,0.5
13,13,1.8,0.5,1.6,0.55,0.7,1.2,0.7,1.2,1,0.5,1,0.5
14,14,1.3,0.55,1.3,0.55,0.7,1.25,0.7,1.25,1,0.5,1,0.5
15,15,1.4,0.55,1.4,0.55,0.6,1.4,0.6,1.4,1,0.5,1,0.5
16,6,2.65,0.45,2.7,0.45,0.7,1.1,0.8,1.15,1.2,0.5,1.2,0.5
32,29,1.2,0.5,1.2,0.5,0.55,1,0.55,1,0.8,0.5,0.8,0.5
33,30,1.2,0.45,1.2,0.45,0.55,1.2,0.55,1.2,1,0.5,1,0.5
34,33,1.8,0.5,1.8,0.5,0.8,1.2,0.8,1.2,1.2,0.5,1.2,0.5
35,37,0.9,0.5,0.9,0.5,0.5,1.05,0.5,1.05,0.7,0.45,0.7,0.45
36,38,1.2,0.5,1.2,0.5,0.55,1.1,0.55,1.1,1,0.5,1,0.5
37,28,1.9,0.55,1.9,0.55,1,1.15,1,1.15,1.3,0.5,1.3,0.5
38,36,1.7,0.55,1.7,0.55,0.7,1.2,0.7,1.2,1.2,0.5,1.2,0.5
39,39,1.2,0.5,1.2,0.5,0.5,1.25,0.5,1.25,1,0.5,1,0.5
40,32,1.7,0.5,1.7,0.45,0.7,1,0.7,1,1,0.5,1,0.5
41,27,1.7,0.5,1.7,0.45,0.7,1,0.7,1,1,0.5,1,0.5
42,35,1.2,0.5,1.2,0.5,0.6,0.8,0.6,0.8,1,0.5,1,0.5
43,34,1.7,0.5,1.7,0.45,0.7,1,0.7,1,1,0.5,1,0.5
44,31,1.35,0.5,1.35,0.5,0.55,1.1,0.55,1.1,1,0.5,1,0.5
47,41,1.1,0.5,1.1,0.5,0.6,0.8,0.6,0.8,0.7,0.5,0.7,0.5
48,42,1.2,0.5,1.2,0.5,0.5,1.2,0.5,1.2,0.8,0.5,0.8,0.5
50,46,110,0.3,110,0.3,110,0.3,110,0.3,95,0.25,95,0.25
51,45,28,0.28,28,0.28,28,0.28,28,0.28,23,0.3,23,0.3
52,47,1.3,0.3,1.3,0.3,1.3,0.3,1.3,0.3,1.2,0.2,1.2,0.2
53,48,2,0.25,2,0.25,2,0.25,2,0.25,1.8,0.2,1.8,0.2
54,44,1.8,0.25,1.8,0.25,1.8,0.25,1.8,0.25,1.8,0.2,1.8,0.2
55,49,46,0.3,46,0.3,46,0.3,46,0.3,32,0.2,32,0.2
56,50,70,0.3,70,0.3,70,0.3,70,0.3,65,0.23,65,0.23
57,52,17,0.25,17,0.25,17,0.25,17,0.25,14,0.2,14,0.2
58,51,2,0.25,2,0.25,2,0.25,2,0.25,1.8,0.2,1.8,0.2
59,62,2,0.5,2,0.5,0.7,1.1,0.7,1.1,1.1,0.6,1.1,0.6
60,63,1.5,0.5,1.5,0.5,0.6,1.1,0.6,1.3,0.9,0.6,0.9,0.6
61,64,1.2,0.5,1.2,0.5,0.5,1.05,0.5,1.05,0.7,0.6,0.7,0.6
63,56,1.4,0.5,1.3,0.5,0.7,1,0.7,1,1,0.5,1,0.5
64,65,1.4,0.45,1.4,0.45,1,1.05,1,1.05,1,0.45,1,0.45
65,66,3,0.45,3,0.45,2,1.05,2,1.05,1.5,0.45,1.5,0.45
66,54,1.3,0.5,1.3,0.5,0.5,1.25,0.5,1.25,0.8,0.5,0.8,0.5
68,55,1.5,0.5,1.5,0.45,0.7,1,0.7,1,1,0.5,1,0.5
69,59,2,0.5,2,0.45,1,0.4,1,0.4,1,0.5,1,0.5
70,60,1.7,0.5,1.7,0.5,0.5,1.05,0.5,1.05,1.2,0.6,1.2,0.6
71,61,1.2,0.5,1.2,0.5,0.7,1,0.7,1,1,0.5,1,0.5
72,58,1.6,0.5,1.6,0.5,1.2,0.8,1.2,0.8,1,0.5,1,0.5
73,67,1.7,0.5,1.7,0.5,0.7,1.2,0.7,1.2,1,0.5,1,0.5
74,68,1.7,0.5,1.7,0.45,0.7,1,0.7,1,1,0.5,1,0.5
75,69,1.7,0.5,1.7,0.5,0.7,1.2,0.7,1.2,1,0.5,1,0.5
76,71,1.5,0.5,1.55,0.55,0.6,1,0.7,1.05,1,0.5,1,0.5
77,70,1.4,0.55,1.3,0.55,0.7,1.2,0.6,1.2,1,0.5,1,0.5
178,172,1.8,0.45,1.8,0.45,0.7,1.1,0.7,1.1,1,0.5,1,0.5
179,173,1.55,0.5,1.55,0.5,0.75,1,0.6,1.3,1,0.5,1,0.5
180,182,1,0.4,1,0.4,1,0,1,0,1.2,0.5,1.4,0.5
181,190,1,0.4,1,0.4,1,0,1,0,1.4,0.5,1.5,0.5
182,181,1,0.4,1,0.4,1,0,1,0,1.3,0.5,1.3,0.5
183,191,0.9,0.6,0.9,0.6,1,0,1,0,0.8,0.5,0.8,0.5
184,185,1,0.8,1,0.8,1,0,1,0,0.8,0.5,0.8,0.5
185,193,1,0.3,1,0.3,1,0,1,0,0.7,0.5,0.7,0.5
187,195,6,0.5,6,0.5,1,0,1,0,6,0.5,6,0.5
