ID,RecruitmentHint_lang,RaceID,BannerColor,CrestTextureID,ModelBackgroundTextureID,MaleCreatureDisplayID,FemaleCreatureDisplayID,Ui_unlockAchievementID,Ui_unlockSecondaryAchievementID
2,Then visit the Orgrimmar Embassy to recruit this Allied Race,27,12880639,6728,6724,82708,82709,9,9
4,Then visit the Orgrimmar Embassy to recruit this Allied Race,28,13959168,6726,6722,82733,82731,9,9
5,Then visit the Stormwind Embassy to recruit this Allied Race,29,8323765,6729,6725,82736,82735,9,9
6,Then visit the Stormwind Embassy to recruit this Allied Race,30,16774843,6727,6884,82729,82730,9,9
107,Then visit the Stormwind Embassy to recruit this Allied Race,34,16747264,7729,27454,87992,87993,9,9
108,Then visit the Orgrimmar Embassy to recruit this Allied Race,36,9710640,7730,7742,86343,86342,9,9
109,Then visit the Orgrimmar Embassy to recruit this Allied Race,31,15580710,8944,8943,89631,89632,9,9
110,Then visit the Stormwind Embassy to recruit this Allied Race,32,43405,8929,8928,89783,89784,9,9
117,Then visit the Stormwind Embassy to recruit this Allied Race,37,1101760311,9767,9775,94370,94371,9,9
118,Then visit the Orgrimmar Embassy to recruit this Allied Race,35,1097809210,9768,9776,94257,94256,9,9
135,Then visit the Orgrimmar Embassy to recruit this Allied Race,84,-1870336,27455,27454,121634,121635,0,40899
136,Then visit the Stormwind Embassy to recruit this Allied Race,85,-1870336,27455,27454,121634,121635,0,40899
139,Then visit Elder Hagar in Silvermoon City to recruit this Allied Race,86,-45497,34225,34683,139102,139103,62620,62620
140,Then visit Elder Hagar in Silvermoon City to recruit this Allied Race,91,16731719,34225,34683,139102,139103,62620,62620
