ID,DifficultyID,ConeDegrees,MaxTargets,MaxTargetLevel,TargetCreatureType,Targets,Width,SpellID
1,0,0,0,0,0,32,0,4
4,0,0,0,0,0,128,0,14
6,0,0,0,0,0,32,0,27
8,0,0,0,0,64,0,0,101
9,0,0,1,0,8385,0,0,118
10,0,90,0,0,0,0,0,120
11,0,0,0,0,291,0,0,136
12,0,0,0,0,0,64,0,261
13,0,0,0,0,0,64,0,265
14,0,0,0,0,0,64,0,269
15,0,0,0,0,66,64,0,453
16,0,0,0,0,16635,0,0,605
17,0,0,0,0,16428,0,0,710
19,0,0,0,0,0,64,0,747
22,0,0,1,0,4,0,0,1098
23,0,0,0,0,0,64,0,1122
38,0,0,0,0,0,256,0,1364
39,0,0,0,0,0,256,0,1373
41,0,0,0,0,0,256,0,1446
42,0,0,0,0,291,0,0,1462
50,0,0,0,0,1,0,0,1513
51,0,0,0,0,291,0,0,1515
52,0,0,0,0,1,0,0,1528
53,0,0,0,0,0,16384,0,1538
54,0,0,0,0,0,64,0,1543
56,0,0,0,0,0,256,0,1588
57,0,0,0,0,0,256,0,1650
61,0,0,0,0,0,64,0,1725
62,0,0,0,0,0,256,0,1800
63,0,0,0,0,0,256,0,1809
64,0,0,0,0,0,256,0,1810
68,0,0,0,0,0,16384,0,1843
69,0,0,0,0,0,64,0,1940
70,0,0,0,0,0,256,0,1950
72,0,0,0,0,0,256,0,2000
75,0,0,0,0,0,256,0,2020
76,0,0,0,0,0,256,0,2021
77,0,0,0,0,0,256,0,2118
78,0,0,0,0,0,256,0,2119
90,0,0,0,0,0,16384,0,2366
91,0,0,0,0,0,16384,0,2368
92,0,0,0,0,0,16384,0,2369
93,0,0,0,0,0,16384,0,2371
96,0,0,0,0,0,128,0,2425
97,0,0,0,0,0,256,0,2442
98,0,0,0,0,0,256,0,2443
99,0,0,0,0,0,256,0,2444
100,0,0,0,0,0,256,0,2446
102,0,0,0,0,0,16384,0,2575
103,0,0,0,0,0,16384,0,2576
105,0,0,0,0,0,256,0,2633
106,0,0,0,0,0,256,0,2634
107,0,0,0,0,0,256,0,2636
108,0,0,0,0,3,0,0,2637
109,0,0,0,0,291,0,0,2641
114,0,0,0,0,0,16,0,2828
115,0,0,0,0,0,16,0,2829
116,0,0,0,0,0,16,0,2830
117,0,0,0,0,0,16,0,2831
118,0,0,0,0,0,16,0,2832
119,0,0,0,0,0,16,0,2833
123,0,0,0,0,0,32,0,3106
124,0,0,0,0,0,64,0,3109
125,0,0,0,0,0,16,0,3112
126,0,0,0,0,0,16,0,3113
127,0,0,0,0,0,16,0,3114
130,0,0,0,0,0,256,0,3279
131,0,0,0,0,0,256,0,3280
134,0,0,0,0,0,16384,0,3365
135,0,0,0,0,0,16384,0,3366
136,0,0,0,0,0,16384,0,3407
138,0,0,0,0,64,0,0,3442
140,0,0,0,0,0,256,0,3539
142,0,0,0,0,0,16384,0,3564
143,0,0,0,0,0,16384,0,3570
145,0,0,0,0,0,16,0,3594
146,0,0,0,0,0,16,0,3595
147,0,0,0,0,0,16384,0,3670
148,0,0,0,0,0,16384,0,3678
149,0,0,0,0,0,256,0,3715
150,0,0,0,0,0,64,0,3720
152,0,0,0,0,0,64,0,3823
153,0,0,0,0,0,256,0,3911
154,0,0,0,0,0,256,0,3912
155,0,0,0,0,0,256,0,3913
156,0,0,0,0,0,16,0,3974
157,0,0,0,0,0,16,0,3975
158,0,0,0,0,0,16,0,3976
162,0,0,0,0,0,64,0,4054
163,0,0,0,0,0,64,0,4061
164,0,0,0,0,0,64,0,4062
165,0,0,0,0,0,64,0,4064
166,0,0,0,0,0,64,0,4065
167,0,0,0,49,0,64,0,4066
168,0,0,0,0,0,64,0,4067
169,0,0,0,49,0,64,0,4068
170,0,0,0,49,0,64,0,4069
171,0,0,0,0,0,64,0,4071
172,0,0,0,0,0,64,0,4072
173,0,0,0,0,0,256,0,4089
175,0,0,0,0,0,256,0,4091
176,0,0,0,0,0,64,0,4100
177,0,0,0,0,0,16384,0,4239
178,0,0,0,0,0,256,0,4262
179,0,0,0,0,0,64,0,4336
180,0,0,0,0,0,64,0,4342
184,0,53,0,0,0,0,0,4520
185,0,0,0,0,0,64,0,4629
188,0,0,0,0,0,256,0,4877
189,0,0,0,0,0,16384,0,4982
190,0,53,0,0,0,64,0,5010
191,0,0,0,0,0,16384,0,5099
192,0,0,0,0,0,64,0,5100
193,0,53,0,0,0,0,0,5106
194,0,0,0,0,0,16384,0,5107
195,0,0,0,49,1,64,0,5134
196,0,0,0,0,0,16384,0,5140
197,0,0,0,0,0,16384,0,5166
198,0,0,0,0,0,16384,0,5206
204,0,0,0,0,0,16384,0,5512
205,0,0,0,0,0,64,0,5555
208,0,0,0,0,0,256,0,5595
209,0,71,0,0,0,0,0,5708
210,0,0,0,0,0,64,0,5740
212,0,0,0,0,0,64,0,5809
224,0,0,0,0,0,64,0,6196
225,0,0,0,0,0,64,0,6197
226,0,0,0,0,0,16384,0,6233
227,0,0,0,0,0,16384,0,6234
228,0,0,0,0,0,16384,0,6246
229,0,0,0,0,0,16384,0,6247
230,0,0,0,0,0,16384,0,6249
231,0,0,0,0,0,16384,0,6250
233,0,0,0,0,0,16,0,6296
234,0,0,0,0,0,64,0,6297
235,0,0,0,0,0,64,0,6305
236,0,0,0,0,0,256,0,6327
238,0,0,0,0,64,0,0,6358
240,0,0,0,0,0,256,0,6460
242,0,0,0,0,0,16384,0,6477
243,0,0,0,0,0,16384,0,6478
244,0,0,0,0,0,16384,0,6527
245,0,0,0,0,0,16384,0,6529
