ID,Name,VisType,TextureKit,FrameTextureKit,SizeSetting,InAnimType,OutAnimType,WidgetScale,ScriptedAnimationEffectID,ModelSceneLayer
1347,PvP - Warsong Gulch - Alliance flag captures: Vis,0,5248,0,0,0,0,0,0,0
1348,PvP - Warsong Gulch - Horde flag captures: Vis,0,5249,0,0,0,0,0,0,0
1594,"PvP - Hellfire, Forts controlled: Vis",1,5254,0,0,0,0,0,0,0
1595,"PvP - Hellfire, forts controlled, Alliance: Vis",0,5242,0,0,0,0,0,0,0
1596,"PvP - Hellfire, forts controlled, Horde: Vis",0,5243,0,0,0,0,0,0,0
1599,PvP - Nagrand - Guards Remaining (Horde): Vis,0,5249,0,0,0,0,0,0,0
1601,PvP - Nagrand - Guards Remaining (Alliance): Vis,0,5248,0,0,0,0,0,0,0
1602,Terokkar - PvP - Timer (Neutral): Vis,0,5387,0,0,0,0,0,0,0
1639,Icon And Text,0,0,0,0,0,0,0,0,0
1652,PvP - Netherstorm - Alliance,0,5248,0,0,0,0,0,0,0
1653,PvP - Netherstorm - Horde,0,5249,0,0,0,0,0,0,0
1777,"PvP - Grizzly Hills, towers controlled: Vis",1,5254,0,0,0,0,0,0,0
1778,CoT Stratholme - Plagued Grain Crates Revealed: Vis,0,0,0,0,0,0,0,0,0
1779,Wintergrasp - Siege Factory - Capture UI: Vis,1,5254,0,0,0,0,0,0,0
1780,CoT Stratholme - Undead Waves: Vis,0,0,0,0,0,0,0,0,0
1783,Nexus 80 - Centrifuge Constructs Remaining: Vis,0,0,0,0,0,0,0,0,0
1784,Northrend BG - Capture Point UI: Vis,1,5254,0,0,0,0,0,0,0
1792,Ebon Hold - Epilogue - Forces of the Light: Vis,0,0,0,0,0,0,0,0,0
1793,Ebon Hold - Epilogue - Forces of the Scourge: Vis,0,0,0,0,0,0,0,0,0
1794,Ebon Hold - Final Event Timer: Vis,0,0,0,0,0,0,0,0,0
1795,Ebon Hold - Final Event Started: Vis,0,0,0,0,0,0,0,0,0
1796,Arena - Dalaran - Gold Team: Vis,0,0,0,0,0,0,0,0,0
1797,Arena - Dalaran - Green Team: Vis,0,0,0,0,0,0,0,0,0
1798,Arena - Orgrimmar - Gold Team: Vis,0,0,0,0,0,0,0,0,0
1799,Arena - Orgrimmar - Green Team: Vis,0,0,0,0,0,0,0,0,0
1804,Dalaran Prison - Prison Door Health: Vis,0,0,0,0,0,0,0,0,0
1805,Dalaran Prison - Portals Opened: Vis,0,0,0,0,0,0,0,0,0
1806,WGH - Final Event Started (Horde): Vis,0,0,0,0,0,0,0,0,0
1807,WGH - Final Event Countdown: Vis,0,0,0,0,0,0,0,0,0
1808,WGH - Control of Courtyard == 0 (Enemy) (ALWAYS ON AT START): Vis,0,5441,0,0,0,0,0,0,0
1809,WGH - Control of Courtyard == 1 (Contested): Vis,0,5440,0,0,0,0,0,0,0
1817,WGH - Final Event Countdown Reset: Vis,0,0,0,0,0,0,0,0,0
1818,CoT Stratholme - Heroic Timer: Vis,0,0,0,0,0,0,0,0,0
1819,WGA - Control of Sewers == 0 (Enemy) (ALWAYS ON AT START): Vis,0,5441,0,0,0,0,0,0,0
1822,WGA - Final Event Countdown: Vis,0,0,0,0,0,0,0,0,0
1823,WGA - Final Event Started (Alliance): Vis,0,0,0,0,0,0,0,0,0
1826,Ulduar Raid - Algalon Timer: Vis,0,0,0,0,0,0,0,0,0
1830,Argent Raid - Wipe Countdown Timer: Vis,0,0,0,0,0,0,0,0,0
1831,Icecrown Dungeon - HOR - Undead Waves: Vis,0,0,0,0,0,0,0,0,0
1832,Icecrown Raid - Crimson Halls Quest - Time Remaining: Vis,0,0,0,0,0,0,0,0,0
1833,Icecrown Raid - Access - Putricide Attempt Counter: Vis,0,0,0,0,0,0,0,0,0
1834,Icecrown Raid - Access - Blood-Queen Attempt Counter: Vis,0,0,0,0,0,0,0,0,0
1835,Icecrown Raid - Access - Sindragosa Attempt Counter: Vis,0,0,0,0,0,0,0,0,0
1836,Icecrown Raid - Access - The Frozen Throne Attempt Counter: Vis,0,0,0,0,0,0,0,0,0
1837,Icecrown Raid - Access - Frostmourne Attempt Counter: Vis,0,0,0,0,0,0,0,0,0
1850,Ruby Sanctum - Halion - Corporeality (Twilight) : Vis,0,0,0,0,0,0,0,0,0
1851,Ruby Sanctum - Halion - Corporeality (Material): Vis,0,0,0,0,0,0,0,0,0
1908,Wintergrasp - Game Time: Vis,0,0,0,0,0,0,0,0,0
2041,Wintergrasp - PvP Test - Horde Vehicles: Vis,0,5450,0,0,0,0,0,0,0
2042,Wintergrasp - PvP Test - Alliance Vehicles: Vis,0,5451,0,0,0,0,0,0,0
2043,PvP - Northrend BG - Alliance Status: Vis,0,5248,0,0,0,0,0,0,0
2044,PvP - Northrend BG - Horde Status: Vis,0,5249,0,0,0,0,0,0,0
