ID,Lt_operandType[0],Lt_operandType[1],Lt_operandType[2],Lt_operandType[3],Lt_operandType[4],Lt_operand[0],Lt_operand[1],Lt_operand[2],Lt_operand[3],Lt_operand[4],Operator[0],Operator[1],Operator[2],Operator[3],Operator[4],Rt_operandType[0],Rt_operandType[1],Rt_operandType[2],Rt_operandType[3],Rt_operandType[4],Rt_operand[0],Rt_operand[1],Rt_operand[2],Rt_operand[3],Rt_operand[4],Logic[0],Logic[1],Logic[2],Logic[3],Logic[4]
3,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
28,1,2,0,0,0,0,0,0,0,0,2,2,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0
30,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
34,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
36,2,3,4,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,2,2,2,0,0,1,1,0,0,0
42,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
43,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,3,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
62,3,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
63,3,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
64,2,4,3,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,2,2,2,0,0,1,1,0,0,0
