ItemLevelDelta,ID
1,5846
2,5847
3,5848
4,5849
5,5850
6,5851
7,5852
8,5853
9,5854
10,5855
11,5856
12,5857
13,5858
14,5859
15,5860
16,5861
17,5862
18,5863
19,5864
20,5865
21,5866
22,5867
23,5868
24,5869
25,5870
26,5871
27,5872
28,5873
29,5874
30,5875
31,5876
32,5877
33,5878
34,5879
35,5880
36,5881
37,5882
38,5883
39,5884
40,5885
41,5886
42,5887
43,5888
44,5889
45,5890
46,5891
47,5892
48,5893
49,5894
50,5895
51,5896
52,5897
53,5898
54,5899
55,5900
56,5901
57,5902
58,5903
59,5904
60,5905
61,5906
62,5907
63,5908
64,5909
65,5910
66,5911
67,5912
68,5913
69,5914
70,5915
71,5916
72,5917
73,5918
74,5919
75,5920
76,5921
77,5922
78,5923
79,5924
80,5925
81,5926
82,5927
83,5928
84,5929
85,5930
86,5931
87,5932
88,5933
89,5934
90,5935
91,5936
92,5937
93,5938
94,5939
95,5940
96,5941
97,5942
98,5943
99,5944
100,5945
101,5946
102,5947
103,5948
104,5949
105,5950
106,5951
107,5952
108,5953
109,5954
110,5955
111,5956
112,5957
113,5958
114,5959
115,5960
116,5961
117,5962
118,5963
119,5964
120,5965
121,5966
122,5967
123,5968
124,5969
125,5970
126,5971
127,5972
128,5973
129,5974
130,5975
131,5976
132,5977
133,5978
134,5979
135,5980
136,5981
137,5982
138,5983
139,5984
140,5985
141,5986
142,5987
143,5988
144,5989
145,5990
146,5991
147,5992
148,5993
149,5994
150,5995
151,5996
152,5997
153,5998
154,5999
155,6000
156,6001
157,6002
158,6003
159,6004
160,6005
161,6006
162,6007
163,6008
164,6009
165,6010
166,6011
167,6012
168,6013
169,6014
170,6015
171,6016
172,6017
173,6018
174,6019
175,6020
176,6021
177,6022
178,6023
179,6024
180,6025
181,6026
182,6027
183,6028
184,6029
185,6030
186,6031
187,6032
188,6033
189,6034
190,6035
191,6036
192,6037
193,6038
194,6039
195,6040
196,6041
197,6042
198,6043
199,6044
200,6045
201,6046
202,6047
203,6048
204,6049
205,6050
206,6051
207,6052
208,6053
209,6054
210,6055
211,6056
212,6057
213,6058
214,6059
215,6060
216,6061
217,6062
218,6063
219,6064
220,6065
221,6066
222,6067
223,6068
224,6069
225,6070
226,6071
227,6072
228,6073
229,6074
230,6075
231,6076
232,6077
233,6078
234,6079
235,6080
236,6081
237,6082
238,6083
239,6084
240,6085
241,6086
242,6087
243,6088
244,6089
245,6090
246,6091
247,6092
248,6093
249,6094
250,6095
251,6096
252,6097
253,6098
254,6099
255,6100
256,6101
257,6102
258,6103
259,6104
260,6105
261,6106
262,6107
263,6108
264,6109
265,6110
266,6111
267,6112
268,6113
269,6114
270,6115
271,6116
272,6117
273,6118
274,6119
275,6120
276,6121
277,6122
278,6123
279,6124
280,6125
281,6126
282,6127
283,6128
284,6129
285,6130
286,6131
287,6132
288,6133
289,6134
290,6135
291,6136
292,6137
293,6138
294,6139
295,6140
296,6141
297,6142
298,6143
299,6144
300,6145
301,6146
302,6147
303,6148
304,6149
305,6150
306,6151
307,6152
308,6153
309,6154
310,6155
311,6156
312,6157
313,6158
314,6159
315,6160
316,6161
317,6162
318,6163
319,6164
320,6165
321,6166
322,6167
323,6168
324,6169
325,6170
326,6171
327,6172
328,6173
329,6174
330,6175
331,6176
332,6177
333,6178
334,6179
335,6180
336,6181
337,6182
338,6183
339,6184
340,6185
341,6186
342,6187
343,6188
344,6189
345,6190
346,6191
347,6192
348,6193
349,6194
350,6195
351,6196
352,6197
353,6198
354,6199
355,6200
356,6201
357,6202
358,6203
359,6204
360,6205
361,6206
362,6207
363,6208
364,6209
365,6210
366,6211
367,6212
368,6213
369,6214
370,6215
371,6216
372,6217
373,6218
374,6219
375,6220
376,6221
377,6222
378,6223
379,6224
380,6225
381,6226
382,6227
383,6228
384,6229
385,6230
386,6231
387,6232
388,6233
389,6234
390,6235
391,6236
392,6237
393,6238
394,6239
395,6240
396,6241
397,6242
398,6243
399,6244
400,6245
