ID,WorldShadowID,LightDataID,LightParamID
66,53,61983,5764
67,54,61984,5764
68,55,61985,5764
69,56,61986,5764
70,57,61987,5764
107,98,62106,5796
108,99,62158,5816
109,100,62193,5844
221,258,64464,6256
223,260,64520,6270
226,263,64532,6273
230,267,64900,6336
235,272,65422,6458
236,273,65707,6503
239,276,65830,6534
241,278,65975,6559
243,280,65775,6521
245,282,66035,6570
247,284,66041,6572
252,289,66137,6585
253,290,66154,6559
254,291,66155,6559
255,292,66156,6559
256,293,66157,6559
257,294,66158,6559
258,295,66159,6559
259,296,66160,6559
260,297,66161,6559
269,306,66163,6521
277,314,66203,6570
282,319,66208,6570
309,346,66237,6572
310,347,66238,6572
311,348,66239,6572
312,349,66240,6572
313,350,66241,6572
314,351,66242,6572
315,352,66243,6572
316,353,66220,6569
317,354,66029,6569
318,355,66030,6569
319,356,65574,6475
321,358,66352,6610
358,395,66415,6615
360,397,66417,6615
361,398,66418,6615
363,400,66420,6615
364,401,66421,6615
365,402,66422,6615
391,428,66540,6633
392,429,66541,6633
393,430,66542,6633
394,431,66543,6633
395,432,66544,6633
396,433,66545,6633
397,434,66546,6633
398,435,66547,6633
419,457,66717,6657
428,466,66729,6658
430,468,66750,6664
431,469,66633,6645
446,484,66875,6680
453,491,66894,6680
471,509,66919,6682
474,512,66922,6680
487,525,66952,6680
490,528,66955,6680
491,529,66956,6680
493,531,66974,6682
499,539,66980,6682
500,540,66981,6682
501,541,66982,6682
502,542,66983,6682
503,543,66984,6682
504,544,66986,6682
505,545,66987,6682
506,546,66988,6682
507,547,66990,6657
508,548,66991,6657
509,549,66992,6657
510,550,66993,6657
511,551,66994,6657
512,552,66995,6657
513,553,66996,6657
514,554,66997,6657
515,555,66998,6657
516,556,67000,6687
517,557,67001,6687
518,558,67004,6687
519,559,67005,6687
520,560,67007,6687
521,561,67008,6687
522,562,67009,6687
523,563,67011,6687
524,564,67012,6687
525,565,67014,6687
526,566,67015,6687
527,567,67016,6688
528,568,67017,6688
529,569,67020,6688
530,570,67021,6688
531,571,67022,6688
532,572,67023,6688
533,573,67024,6688
534,574,67026,6688
535,575,67027,6689
536,576,67029,6689
537,577,67031,6689
538,578,67032,6689
539,579,67034,6689
540,580,67035,6689
541,581,67036,6689
542,582,67038,6689
543,583,67039,6689
544,584,67040,6689
548,588,67046,6690
549,589,67047,6690
550,590,67048,6690
552,592,67051,6690
554,983,67065,6692
562,984,67074,6692
563,604,67075,6692
564,762,67076,6692
565,763,67077,6692
566,607,67078,6692
567,608,67079,6692
568,609,67080,6692
571,612,67083,6692
585,635,67100,6694
586,636,67101,6694
593,638,67121,6694
597,642,67129,6690
598,643,67130,6690
599,644,67131,6690
600,645,67132,6690
601,646,67133,6680
602,647,67138,6698
603,648,67139,6698
611,656,67150,6698
619,664,67158,6698
620,665,67159,6699
621,666,67160,6700
622,667,67161,6701
623,681,67162,6694
624,682,67163,6694
625,670,67165,6694
626,671,67166,6694
627,672,67167,6698
628,673,67168,6698
629,674,67170,6698
630,675,67171,6698
631,676,67172,6698
632,677,67173,6698
633,678,67174,6698
634,679,67175,6698
635,680,67176,6702
636,683,67177,6694
637,684,67178,6694
638,685,67179,6694
639,686,67180,6694
640,687,67181,6694
641,688,67182,6703
642,689,67183,6703
643,690,67184,6703
644,691,67185,6703
645,692,67186,6703
646,693,67187,6703
647,694,67188,6703
648,695,67189,6703
649,696,67203,6615
650,697,67204,6615
651,707,67205,6704
652,708,67206,6704
660,709,67224,6704
661,710,67225,6704
662,711,67226,6704
663,712,67227,6704
664,713,67228,6706
665,714,67229,6706
666,715,67231,6706
667,716,67232,6706
668,717,67235,6706
669,718,67236,6706
670,719,67237,6706
671,720,67239,6706
672,721,67240,6706
673,722,67242,6706
674,723,67243,6704
675,724,67244,6704
686,735,67260,6708
687,736,67261,6708
688,737,67263,6708
689,738,67264,6708
690,739,67267,6708
691,740,67268,6708
692,741,67269,6708
693,742,67271,6708
694,743,67272,6708
695,744,67274,6708
696,745,67285,6570
697,746,67286,6570
698,747,67287,6570
699,748,67288,6570
700,749,67289,6570
701,750,67290,6570
702,751,67291,6570
703,752,67292,6570
704,753,67293,6521
705,754,67294,6521
706,755,67295,6521
707,756,67296,6521
708,757,67297,6521
709,758,67298,6521
710,759,67299,6521
711,760,67300,6521
712,764,67303,6692
713,765,67304,6692
714,766,67305,6710
715,767,67306,6710
716,768,67309,6710
717,769,67310,6710
718,770,67312,6710
719,771,67313,6710
720,772,67314,6710
721,773,67316,6710
722,774,67317,6710
723,775,67319,6710
724,776,67320,6711
725,777,67321,6711
726,778,67322,6711
727,779,67323,6711
