ID,InventorySlot,ArmorSubClass,FallbackItemID
1,0,4,63058
2,5,2,62697
3,7,2,62698
4,4,2,62699
5,9,2,62700
6,0,2,62701
7,6,2,62702
8,2,2,62703
9,8,2,62704
10,5,3,62715
11,7,3,62716
12,4,3,62717
13,9,3,62718
14,0,3,62719
15,6,3,62720
16,2,3,62721
17,8,3,62722
18,5,4,63054
19,7,4,63055
20,4,4,63056
21,9,4,63057
22,6,4,63059
23,2,4,63060
24,8,4,63061
25,0,1,165257
26,2,1,165259
27,4,1,165255
28,5,1,165253
29,6,1,165258
30,7,1,165254
31,8,1,165260
32,9,1,165256
33,15,4,165262
34,15,0,165264
35,15,1,165265
36,15,2,165266
37,15,18,165267
38,15,15,165268
39,15,13,165269
40,15,3,165270
41,15,5,165263
42,15,6,165271
43,15,10,165272
44,15,7,165273
45,15,8,165274
46,15,19,165275
47,15,9,165682
48,18,0,5976
49,16,6,165276
50,14,1,165261
