ID,Name,Pos[0],Pos[1],Pos[2],LookAt[0],LookAt[1],LookAt[2],Up[0],Up[1],Up[2],UiCameraTypeID,AnimID,AnimFrame,AnimVariation,Flags
221,Transmog-Human-Male-Shoulder,3.0855262,-0.33552504,-1.6973674,0.02985907,0,0,0,0,0,15,0,0,0,0
225,Transmog-Human-Male-Robe,2.75,0.019737042,-1.2434211,-0.30999997,0,0,0,0,0,15,0,0,0,0
226,Transmog-Human-Male-Hands,3.0592084,-0.2697371,-0.99342155,-0.50555485,0,0,0,0,0,15,0,0,0,0
227,Transmog-Human-Male-Feet,2.9605253,0.07236953,-0.21710485,-0.70000017,0,0,0,0,0,15,0,0,0,0
228,Transmog-Human-Male-Legs,2.5328944,-0.013157778,-0.63815737,-0.16000023,0,0,0,0,0,15,0,0,0,0
229,Transmog-Human-Male-Shirt,3.0394733,0.039475583,-1.4802623,-0.3680193,0,0,0,0,0,15,0,0,0,0
230,Transmog-Human-Male-Tabard,3.0460515,0.006581021,-1.3684194,0.009436067,0,0,0,0,0,15,0,0,0,0
234,Transmog-Human-Male-Waist,3.1315794,-0.01315603,-1.164472,0.067669764,0,0,0,0,0,15,0,0,0,0
235,Transmog-Human-Male-Back,2.9144738,-8.814968E-07,-1.2039456,-2.6480181,0,-0.047490846,0,0,0,15,0,0,0,0
236,Transmog-Human-Male-Head,3.210526,0.09210579,-1.9078948,-0.5980184,-0.020352783,0.013566894,0,0,0,15,0,0,0,0
237,Transmog-Human-Male-Wrist,3.25804,0.28582102,-1.1315786,0.80287063,0,0,0,0,0,15,0,0,0,0
238,Transmog-Weapon-1HSword,0,-0.006578438,-0.0394737,1.4199998,-0.93000036,0,0,0,0,16,0,-1,-1,1
239,Transmog-Weapon-2HSword,-0.9736849,-0.046051927,-0.10526276,1.3996458,-0.9571385,0,0,0,0,16,0,-1,-1,1
240,Transmog-Weapon-Wand,1.75,-0.013157187,-0.02631602,1.4300002,-0.93000036,0,0,0,0,16,0,-1,-1,1
241,Transmog-Weapon-Dagger,1.4407887,-0.0065774387,-0.01973716,1.4300002,-0.93000036,0,0,0,0,16,0,-1,-1,1
