ID,CooldownSetID,SpellID,Category,PlayerConditionID,OrderIndex,Flags,SpellCategoryID,EquipSlot,Field_12_1_0_68209_009
199184,5234,400624,2,0,49,0,0,0,0
199185,5234,1953,1,0,20,1,0,0,0
199186,5234,2136,0,163798,0,0,0,0,0
199187,5234,28682,2,163799,48,0,0,0,0
199188,5234,11113,0,163806,12,1,0,0,0
199189,5234,8412,0,163838,3,0,0,0,0
199190,5234,2137,0,163808,1,0,0,0,0
199191,5234,2138,0,163809,2,0,0,0,0
199192,5234,8413,0,163839,4,0,0,0,0
199193,5234,10197,0,163840,5,0,0,0,0
199194,5234,10199,0,164121,6,0,0,0,0
199195,5234,13018,0,163842,13,1,0,0,0
199196,5234,13019,0,163843,14,1,0,0,0
199197,5234,13020,0,163845,15,1,0,0,0
199198,5234,13021,0,164120,16,1,0,0,0
199199,5234,543,1,163846,26,0,0,0,0
199200,5234,8457,1,163848,27,0,0,0,0
199201,5234,8458,1,163849,28,0,0,0,0
199202,5234,10223,1,163851,29,0,0,0,0
199203,5234,10225,1,164122,30,0,0,0,0
199204,5234,11078,2,0,50,0,0,0,0
199206,5234,11119,2,0,54,2,0,0,0
199207,5234,11113,2,163806,122,2,0,0,0
199208,5234,13018,2,163842,123,2,0,0,0
199209,5234,13019,2,163843,124,2,0,0,0
199210,5234,13020,2,163845,125,2,0,0,0
199211,5234,13021,2,164120,126,2,0,0,0
199212,5234,543,2,163846,117,2,0,0,0
199213,5234,8457,2,163848,118,2,0,0,0
199214,5234,8458,2,163849,119,2,0,0,0
199215,5234,10223,2,163851,120,2,0,0,0
199216,5234,10225,2,164122,121,2,0,0,0
199223,5234,120,0,163910,7,0,0,0,0
199224,5234,8492,0,163911,8,0,0,0,0
199225,5234,10159,0,163912,9,0,0,0,0
199226,5234,10160,0,163913,10,0,0,0,0
199227,5234,10161,0,164123,11,0,0,0,0
199228,5234,120,2,163910,77,2,0,0,0
199229,5234,8492,2,163911,78,2,0,0,0
199230,5234,10159,2,163912,79,2,0,0,0
199231,5234,10160,2,163913,80,2,0,0,0
199232,5234,10161,2,164123,81,2,0,0,0
199233,5234,12043,2,0,64,2,0,0,0
199234,5234,12042,2,0,65,2,0,0,0
199235,5234,122,1,163914,21,0,0,0,0
199236,5234,865,1,163915,22,0,0,0,0
199237,5234,6131,1,163916,23,0,0,0,0
199238,5234,10230,1,164124,24,0,0,0,0
199239,5234,122,2,163914,82,2,0,0,0
199240,5234,865,2,163915,83,2,0,0,0
199241,5234,6131,2,163916,84,2,0,0,0
199242,5234,10230,2,164124,85,2,0,0,0
199243,5234,6143,1,163917,31,0,0,0,0
199244,5234,8461,1,163918,32,0,0,0,0
199245,5234,8462,1,163919,33,0,0,0,0
199246,5234,10177,1,163920,34,0,0,0,0
199247,5234,28609,1,164125,35,0,0,0,0
199248,5234,6143,2,163917,86,2,0,0,0
199249,5234,8461,2,163918,87,2,0,0,0
199250,5234,8462,2,163919,88,2,0,0,0
199251,5234,10177,2,163920,89,2,0,0,0
199252,5234,28609,2,164125,90,2,0,0,0
199253,5234,11958,1,0,41,0,0,0,0
199254,5234,11958,2,0,63,2,0,0,0
199255,5234,12472,1,0,43,0,0,0,0
199256,5234,11426,1,163921,36,0,0,0,0
199257,5234,13031,1,163922,37,0,0,0,0
199258,5234,13032,1,163923,38,0,0,0,0
199259,5234,13033,1,164126,39,0,0,0,0
199260,5234,11426,2,163921,91,2,0,0,0
199261,5234,13031,2,163922,92,2,0,0,0
199262,5234,13032,2,163923,93,2,0,0,0
199263,5234,13033,2,164126,94,2,0,0,0
199264,5234,2139,1,0,25,0,0,0,0
199265,5234,12051,1,0,42,0,0,0,0
199266,5234,168,2,163924,127,2,0,0,0
199267,5234,7300,2,163925,128,2,0,0,0
199268,5234,7301,2,164127,129,2,0,0,0
199269,5234,6136,2,164000,62,2,0,0,0
199270,5234,11213,2,0,51,0,0,0,0
199271,5234,400647,2,0,55,0,0,0,0
199272,5234,11180,2,0,57,0,0,0,0
199273,5234,400588,2,0,52,0,0,0,0
199288,5234,6117,2,163940,148,2,0,0,0
199289,5234,22782,2,163941,149,2,0,0,0
199290,5234,22783,2,164138,150,2,0,0,0
199291,5234,1463,2,163942,151,2,0,0,0
199292,5234,8494,2,163943,152,2,0,0,0
199293,5234,8495,2,163944,153,2,0,0,0
199294,5234,10191,2,163945,154,2,0,0,0
199295,5234,10192,2,163946,155,2,0,0,0
199296,5234,10193,2,164132,156,2,0,0,0
199297,5234,133,2,163947,95,2,0,0,0
199298,5234,143,2,163948,96,2,0,0,0
199299,5234,145,2,163949,97,2,0,0,0
