ID,ItemID,Field_12_0_0_64124_002,ItemFixupID,SharedStringID,Field_10_1_0_49190_003
1,204440,0,2,975,0
2,190453,0,3,0,1
4,206959,0,2,975,0
5,206959,0,23,991,0
6,190453,0,24,0,1
7,204440,0,24,0,1
8,211516,0,2,975,0
9,211516,0,23,991,0
10,211516,0,25,997,0
11,190453,0,26,0,1
12,204440,0,26,0,1
13,206959,0,26,0,1
14,210232,0,58,0,1
15,210221,0,58,0,1
16,210221,0,59,0,1
17,229389,0,60,0,1
18,229388,0,60,0,1
19,229388,0,61,0,1
20,210233,0,60,0,1
21,210232,0,60,0,1
22,210221,0,60,0,1
23,210233,0,61,0,1
24,210232,0,61,0,1
25,210221,0,61,0,1
26,210233,0,62,0,1
27,210232,0,62,0,1
28,210221,0,62,0,1
29,230286,0,66,0,1
30,230285,0,66,0,1
31,229390,0,66,0,1
32,229389,0,66,0,1
33,229388,0,66,0,1
34,210233,0,66,0,1
35,210232,0,66,0,1
36,210221,0,66,0,1
37,230285,0,67,0,1
38,229390,0,67,0,1
39,229389,0,67,0,1
40,229388,0,67,0,1
41,210233,0,67,0,1
42,210232,0,67,0,1
43,210221,0,67,0,1
44,229390,0,68,0,1
45,229389,0,68,0,1
46,229388,0,68,0,1
47,210233,0,68,0,1
48,210232,0,68,0,1
49,210221,0,68,0,1
50,230906,0,69,1117,0
51,211296,0,70,0,1
52,211296,0,76,0,1
53,230906,0,76,0,1
54,231756,0,69,1117,0
55,231756,0,77,1120,0
57,229388,0,101,1156,0
58,229389,0,101,1156,0
59,229390,0,101,1156,0
60,229388,0,107,1156,0
61,229389,0,107,1156,0
62,229390,0,107,1156,0
65,230285,0,107,1156,0
66,230285,0,101,1156,0
67,230286,0,107,1156,0
68,230286,0,101,1156,0
69,230287,0,107,1156,0
70,230287,0,101,1156,0
71,230285,0,118,1156,0
72,230285,0,117,1156,0
73,230286,0,118,1156,0
74,230286,0,117,1156,0
75,230287,0,118,1156,0
76,230287,0,117,1156,0
77,256607,0,128,0,1
78,256559,0,128,0,1
79,256559,0,129,0,1
