ID,RaceID,Amount,HelmetGeosetVisDataID
24,26,0.5,248
25,25,0.5,248
26,24,0.5,248
27,26,0.5,306
28,25,0.5,306
29,24,0.5,306
30,26,0.5,345
31,26,0.5,410
32,26,0.5,387
33,25,0.5,387
34,24,0.5,387
35,26,0.5,388
36,25,0.5,388
37,24,0.5,388
38,26,0,285
39,25,0,285
40,24,0,285
41,26,0.5,247
42,25,0.5,247
43,24,0.5,247
44,26,0.5,369
45,25,0.5,369
46,24,0.5,369
52,25,0.5,345
53,24,0.5,345
54,25,0.5,410
55,24,0.5,410
56,26,0.5,368
57,25,0.5,368
58,24,0.5,368
59,26,0.5,421
60,25,0.5,421
61,24,0.5,421
62,26,0.5,422
63,25,0.5,422
64,24,0.5,422
65,26,0.5,425
66,25,0.5,425
67,24,0.5,425
68,26,0.5,426
69,25,0.5,426
70,24,0.5,426
71,26,0.4,427
72,25,0.4,427
73,24,0.4,427
74,26,0.5,428
75,25,0.5,428
76,24,0.5,428
97,26,0.5,435
98,25,0.5,435
99,24,0.5,435
100,26,0.5,436
101,25,0.5,436
102,24,0.5,436
106,9,0.8,247
107,9,0.8,248
116,26,0.5,451
117,25,0.5,451
118,24,0.5,451
119,26,0.5,452
120,25,0.5,452
121,24,0.5,452
122,9,0.8,452
134,26,0.5,463
135,25,0.5,463
136,24,0.5,463
137,9,0.8,463
138,26,0.5,464
139,25,0.5,464
140,24,0.5,464
141,26,0,465
142,25,0,465
143,24,0,465
155,26,0,475
156,25,0,475
157,24,0,475
177,26,0.5,500
178,25,0.5,500
179,24,0.5,500
180,26,0.5,501
181,25,0.5,501
182,24,0.5,501
187,26,0.5,506
188,25,0.5,506
189,24,0.5,506
190,9,0.8,506
191,26,0.5,507
192,25,0.5,507
193,24,0.5,507
194,26,0.5,516
195,25,0.5,516
196,24,0.5,516
197,26,0.5,517
198,25,0.5,517
199,24,0.5,517
200,26,0.5,518
201,25,0.5,518
202,24,0.5,518
203,9,0.8,518
204,26,0.5,519
205,25,0.5,519
206,24,0.5,519
238,26,0.5,625
239,25,0.5,625
240,24,0.5,625
241,9,0.8,625
242,26,0.5,626
243,25,0.5,626
244,24,0.5,626
245,26,0.5,627
246,25,0.5,627
247,24,0.5,627
248,9,0.8,627
249,26,0.5,628
250,25,0.5,628
251,24,0.5,628
256,0,1,246
265,0,1,644
266,26,0.5,646
267,25,0.5,646
268,24,0.5,646
269,9,0.8,646
270,26,0.5,647
271,25,0.5,647
272,24,0.5,647
