ID,Name
3,Invisibility Impact
7,BlizzardImpactVariations
15,FrostImpact
20,Frost Precast
22,Ice Blast Impact
25,FireShield_Impact
26,Natures_Healing_Impact
27,Precast Nature Low
29,Freeze Impact
30,Call Lightning Impact
31,Call Lightning Precast
33,Lightning Shield
35,Lightning Cast
36,Ice Prison
37,Resurrection
38,Immolate
39,Divine Shield
42,ShieldBash
44,Holy Bolt
45,Item - Eat
46,Dismember
48,Special Physical Ability Cast
49,Special Ability Impact Sound
50,Special Weapon Impact
51,FireBoltPrecast
61,GLUESCREENSMALLBUTTONMOUSEDOWN
62,GLUESCREENSMALLBUTTONMOUSEUP
63,GLUESCREENSMALLBUTTONMOUSEOVER
64,GLUESCREENMEDIUMBUTTONMOUSEDOWN
65,GLUESCREENMEDIUMBUTTONMOUSEUP
66,GLUESCREENMEDIUMBUTTONMOUSEOVER
67,GLUESCREENLARGEBUTTONMOUSEDOWN
68,GLUESCREENLARGEBUTTONMOUSEUP
69,GLUESCREENLARGEBUTTONMOUSEOVER
72,GLUECHECKBOXMOUSEUP
73,GLUECHECKBOXMOUSEOVER
75,GLUECHARCUSTOMIZATIONMOUSEUP
76,GLUECHARCUSTOMIZATIONMOUSEOVER
77,GLUESCROLLBUTTONMOUSEDOWN
78,GLUESCROLLBUTTONMOUSEUP
79,GLUESCROLLBUTTONMOUSEOVER
80,GAMEABILITYBUTTONMOUSEDOWN
83,GAMESPELLBUTTONMOUSEDOWN
88,GAMEDIALOGOPEN
89,GAMEDIALOGCLOSE
92,GAMESCREENSMALLBUTTONMOUSEUP
93,GAMESCREENSMALLBUTTONMOUSEOVER
95,GAMESCREENMEDIUMBUTTONMOUSEUP
96,GAMESCREENMEDIUMBUTTONMOUSEOVER
98,GAMESCREENLARGEBUTTONMOUSEUP
99,GAMESCREENLARGEBUTTONMOUSEOVER
100,GAMETARGETFRIENDLYUNIT
101,GAMETARGETHOSTILEUNIT
102,GAMETARGETNEUTRALUNIT
103,GAMEHIGHLIGHTFRIENDLYUNIT(1)
104,GAMEHIGHLIGHTHOSTILEUNIT(1)
105,GAMEHIGHLIGHTNEUTRALUNIT(1)
106,GAMEINITIALATTACK
111,ACTIONBARBUTTONDOWN
113,MINIMAPZOOMOUT
114,MINIMAPZOOMIN
115,MINIMAPOPEN
116,MINIMAPCLOSE
117,BAGMENUBUTTONPRESS
120,LOOTWINDOWCOINSOUND(1)
121,ITEMWEAPONSOUND
122,ITEMARMORSOUND
123,ITEMGENERICSOUND
124,LEVELUPSOUND
129,Sword2H_ArmorFlesh
130,Sword2H_ArmorFleshCritical
131,Sword2H_ArmorChain
132,Sword2H_ArmorChainCritical
133,Sword2H_ArmorPlate
134,Sword2H_ArmorPlateCritical
135,Sword2H_ShieldMetal
136,Sword2H_ShieldMetalCtitical
137,Sword2H_ShieldWood
138,Sword2H_ShieldWoodCritical
139,Sword2H_WeaponMetal
140,Sword2H_WeaponMetalCtitical
141,Sword2H_WeaponWood
142,Sword2H_WeaponWoodCritical
143,Sword1H_ArmorFlesh
144,Sword1H_ArmorFleshCritical
145,Sword1H_ArmorChain
146,Sword1H_ArmorChainCritical
147,Sword1H_ArmorPlate
148,Sword1H_ArmorPlateCritical
149,Sword1H_ShieldMetal
150,Sword1H_ShieldMetalCtitical
151,Sword1H_ShieldWood
152,Sword1H_ShieldWoodCritical
153,Sword1H_WeaponMetal
154,Sword1H_WeaponMetalCtitical
155,Sword1H_WeaponWood
156,Sword1H_WeaponWoodCritical
157,Axe2H_ArmorFlesh
158,Axe2H_ArmorFleshCritical
159,Axe2H_ArmorChain
160,Axe2H_ArmorChainCritical
161,Axe2H_ArmorPlate
162,Axe2H_ArmorPlateCritical
163,Axe2H_ShieldMetal
164,Axe2H_ShieldMetalCritical
165,Axe2H_ShieldWood
166,Axe2H_ShieldWoodCritical
167,Axe2H_WeaponMetal
168,Axe2H_WeaponMetalCritical
169,Axe2H_WeaponWood
170,Axe2H_WeaponWoodCritical
171,Axe1H_ArmorFlesh
172,Axe1H_ArmorFleshCritical
173,Axe1H_ArmorChain
174,Axe1H_ArmorChainCritical
175,Axe1H_ArmorPlate
176,Axe1H_ArmorPlateCritical
177,Axe1H_ShieldMetal
178,Axe1H_ShieldMetalCritical
179,Axe1H_ShieldWood
