ID,FileDataID,Locale,BytesRequired
2,615958,-1,0
3,615960,-1,0
4,615962,-1,0
5,615961,-1,0
6,1304323,-1,0
7,1375433,-1,0
8,1266937,-1,0
9,1300872,-1,0
10,1300873,-1,0
11,1373459,-1,0
12,1068162,-1,0
13,1080949,-1,0
14,1082876,-1,0
21,1117084,-1,0
22,1361031,-1,0
23,1306188,-1,0
24,1305311,-1,0
25,1138619,-1,0
27,1279100,-1,0
28,1279099,-1,0
31,1394440,-1,0
37,801693,-1,0
38,801706,-1,0
39,1267335,-1,0
40,801710,-1,0
43,1332556,-1,0
44,1301154,-1,0
45,1339819,-1,0
46,1117086,-1,0
47,1117085,-1,0
48,1117087,-1,0
50,1310246,-1,0
51,1279417,-1,0
53,1375805,-1,0
54,982459,-1,0
56,879634,-1,0
58,879591,-1,0
60,922720,-1,0
61,922722,-1,0
62,897470,-1,0
63,897532,-1,0
64,925422,-1,0
71,130718,-1,0
72,130751,-1,0
73,130750,-1,0
74,130752,-1,0
75,130753,-1,0
76,130755,-1,0
77,130757,-1,0
78,130766,-1,0
79,130781,-1,0
80,130820,-1,0
81,130821,-1,0
82,235423,-1,0
83,130824,-1,0
84,130825,-1,0
85,130826,-1,0
86,130828,-1,0
87,130830,-1,0
88,130831,-1,0
89,130832,-1,0
90,130837,-1,0
91,130849,-1,0
92,130850,-1,0
93,130851,-1,0
94,130852,-1,0
95,130853,-1,0
96,130854,-1,0
97,130855,-1,0
98,130856,-1,0
99,130857,-1,0
100,130858,-1,0
101,130859,-1,0
102,130860,-1,0
103,130863,-1,0
104,130866,-1,0
105,130939,-1,0
106,130940,-1,0
107,130950,-1,0
108,130951,-1,0
109,130952,-1,0
110,130956,-1,0
111,130957,-1,0
112,130958,-1,0
113,130959,-1,0
114,130960,-1,0
115,130975,-1,0
116,525941,-1,0
117,525942,-1,0
118,525943,-1,0
119,443268,-1,0
120,443269,-1,0
121,443270,-1,0
122,457289,-1,0
123,375502,-1,0
124,131071,-1,0
125,131072,-1,0
126,131080,-1,0
127,357854,-1,0
128,131139,-1,0
129,456044,-1,0
130,131143,-1,0
131,131145,-1,0
132,131146,-1,0
133,131149,-1,0
134,340848,-1,0
135,131150,-1,0
136,340850,-1,0
137,131151,-1,0
138,131152,-1,0
139,340851,-1,0
140,131155,-1,0
141,131156,-1,0
142,131157,-1,0
143,521930,-1,0
144,521927,-1,0
145,521926,-1,0
146,521929,-1,0
147,521928,-1,0
148,131158,-1,0
149,469274,-1,0
150,131166,-1,0
151,131167,-1,0
152,131168,-1,0
