Field_1_60_1_70009_000,Field_1_60_1_70009_001[0],Field_1_60_1_70009_001[1],Field_1_60_1_70009_001[2],Field_1_60_1_70009_002,Field_1_60_1_70009_003,Field_1_60_1_70009_004,Field_1_60_1_70009_005,Field_1_60_1_70009_006,Field_1_60_1_70009_007,Field_1_60_1_70009_008,Field_1_60_1_70009_009,Field_1_60_1_70009_010
unwrapped,0,0,0,1,4,8,6,0,0,0,0.25,1
wrapped,0,0,-0.5,2,4,0,1,0,0,0,0,1
unwrapped,0,0,0,5,6,9,245,0,0,0,1,1
wrapped,0,0,0.3,6,6,0,246,0,0.17453292,0.08726646,0,1
pet,0,0,0,7,7,9,11,0,0,0,0.85,1
item,0,0,0,11,10,15,15,-2.6179938,0,0,0.37,1
unwrapped,0,0,0,42,35,9,9,0,0,0,1.5,1
wrapped,0,0,0.3,43,35,0,10,0,0.17453292,0.08726646,0,1
unwrapped,0,0,0,44,36,9,9,0,0,0,2,1
wrapped,0,0,0.3,45,36,0,10,0,0.17453292,0.08726646,0,1
unwrapped,0,0,0,50,39,9,9,0,0,0,0.1,1
wrapped,0,0,0.3,51,39,0,10,0,0.17453292,0.08726646,0,1
unwrapped,0,0,0,60,44,9,6,0,0,0,0.4,1
wrapped,0,0,-0.5,61,44,0,1,0,0,0,0,1
player-rider,0,0,0,400,4,0,170,0,0,0,0,1
player-rider,0,0,0,408,44,0,170,0,0,0,0,1
player,0,0,0,438,290,2,170,-0.9599311,0,0,1,1
tauren-male,0,0,0.1,449,290,2,170,-0.9599311,0,0,0.29,1
gnome,0,0,0.03,450,290,2,170,-0.9599311,0,0,1,1
dwarf-male,0,0,0.04,471,290,2,174,-0.9599311,0,0,4.8,1
scourge-male,0,0,0,472,290,2,174,-0.9599311,0,0,19,1
orc,0,0,0.06,483,290,2,170,-0.9599311,0,0,0.33,1
tauren-female,0,0,0.1,484,290,2,170,-0.9599311,0,0,0.42,1
troll-male,0,0,-0.06,485,290,2,170,-0.9599311,0,0,0.08,1
troll-female,0,0,0,486,290,2,170,-0.9599311,0,0,0.65,1
scourge-female,0,0,-0.01,487,290,2,170,-0.9599311,0,0,3.3,1
druid-bear-form,0.1,0,0.25,936,290,0,170,-0.9599311,0,0,0.45,1
druid-cat-form,1,0,0.5,937,290,0,170,-0.9599311,0,0,0.29,1
player,0,0,0,1585,595,2,170,-0.9599311,0,0,0,1
tauren-male,0,0,0.1,1586,595,2,170,-0.9599311,0,0,0.29,1
gnome-male,0,0,0.03,1587,595,2,170,-0.9599311,0,0,2.05,1
dwarf-male,0,0,0.04,1588,595,2,174,-0.9599311,0,0,4.8,1
scourge-male,0,0,0,1589,595,2,174,-0.9599311,0,0,19,0.71
pandaren,0,0,0.07,1590,595,2,170,-0.9599311,0,0,0.37,1
worgen-male,0,0,-0.04,1591,595,2,170,-0.9599311,0,0,0.2,1
draenei-male,0,0,0.14,1592,595,0,170,-0.9599311,0,0,0.49,1
goblin-male,0,0,0.02,1593,595,2,170,-0.9599311,0,0,6.3,1
goblin-female,0,0,0.04,1594,595,2,170,-0.9599311,0,0,4,1
orc,0,0,0.06,1595,595,2,170,-0.9599311,0,0,0.33,1
tauren-female,0,0,0.1,1596,595,2,170,-0.9599311,0,0,0.42,1
troll-male,0,0,-0.06,1597,595,2,170,-0.9599311,0,0,0.08,1
troll-female,0,0,0,1598,595,2,170,-0.9599311,0,0,0.65,1
scourge-female,0,0,-0.01,1599,595,2,170,-0.9599311,0,0,3.3,1
lightforgeddraenei-male,0,0,0.13,1600,595,0,170,-0.9599311,0,0,0.49,1
lightforgeddraenei-female,0,0,0.04,1601,595,2,170,-0.9599311,0,0,0.8,1
highmountaintauren-male,0,0,0.1,1602,595,2,170,-0.9599311,0,0,0.29,1
highmountaintauren-female,0,0,0.1,1603,595,2,170,-0.9599311,0,0,0.42,1
zandalaritroll,0,0,0.05,1604,595,2,170,-0.9599311,0,0,0.86,1
kultiran-male,0,0,0.02,1605,595,2,170,-0.9599311,0,0,0.49,1
magharorc-male,0,0,0.11,1606,595,2,170,-0.9599311,0,0,0.33,1
kultiran-female,0,0,0,1607,595,2,170,-0.9599311,0,0,1.12,1
magharorc-female,0,0,0.05,1608,595,2,170,-0.9599311,0,0,0.18,1
darkirondwarf-male,0,0,0.07,1609,595,2,174,-0.9599311,0,0,4.95,1
worgen-female,0,0,0,1610,595,2,170,-0.9599311,0,0,1.2,1
draenei-female,0,0,0.05,1611,595,2,170,-0.9599311,0,0,1.01,1
vulpera-female,-0.13,0.2,0.04,1612,595,2,174,-0.9599311,0,0,8,1
vulpera-male,-0.13,0.2,0.04,1613,595,2,174,-0.9599311,0,0,5,1
mechagnome-male,0,0,0.08,1614,595,2,170,-0.9599311,0,0,1.4,1
mechagnome-female,0,0,0.08,1615,595,2,170,-0.9599311,0,0,1.2,1
