ID,LayoutDirection,VerticalPadding
1,0,0
2,0,4
3,0,0
5,0,10
6,0,6
7,0,10
8,0,10
9,0,10
10,0,10
11,0,10
12,0,10
112,0,10
114,0,10
116,0,10
118,0,10
119,0,10
120,0,10
121,0,10
125,0,0
127,0,0
129,0,0
132,0,0
135,0,0
138,0,0
141,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
159,0,10
160,0,10
163,0,0
164,0,10
165,0,10
166,0,10
167,0,10
168,0,10
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,1,0
202,1,0
203,0,0
204,0,0
205,1,0
206,1,0
207,1,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,1,0
238,1,0
239,0,0
240,0,0
241,0,0
242,0,0
244,0,0
245,0,10
246,0,10
247,0,10
248,0,10
249,0,0
250,0,0
252,0,0
253,0,10
254,0,0
260,0,0
261,0,10
262,0,10
263,0,10
264,0,10
265,0,10
266,1,0
267,1,0
268,1,0
269,0,0
270,0,0
277,0,0
278,0,0
279,1,0
280,1,0
281,1,0
282,0,0
283,0,0
285,1,0
290,0,0
291,0,0
292,0,0
293,1,0
294,1,0
306,0,0
307,0,0
308,0,0
309,1,0
310,0,0
312,1,0
314,1,0
315,0,0
316,1,0
317,1,0
318,0,0
319,1,0
320,1,0
322,1,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,1,0
356,0,0
357,0,0
358,0,0
359,0,0
360,1,0
361,1,0
362,1,0
363,1,0
364,0,0
365,1,0
366,0,0
367,1,0
368,1,0
372,0,0
373,0,0
374,0,0
376,0,0
377,1,0
378,1,0
379,1,0
380,1,0
381,1,0
382,1,0
383,1,0
384,1,0
385,1,0
386,1,0
387,1,0
388,1,0
389,1,0
390,1,0
391,0,0
392,0,0
393,1,0
394,1,0
395,0,0
396,0,0
397,1,0
398,1,0
399,0,2
400,0,0
401,1,0
402,1,0
403,1,0
404,1,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
447,1,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,1,0
461,0,0
462,0,0
463,0,0
464,1,0
465,1,0
467,1,0
468,1,0
469,0,0
470,1,0
471,1,0
472,0,0
474,1,0
475,1,0
476,1,0
477,1,0
478,1,0
479,1,0
480,1,0
481,1,0
482,1,0
483,1,0
484,1,0
485,1,0
486,1,0
487,1,0
488,0,0
489,0,0
490,0,0
491,1,0
493,1,0
494,0,0
495,1,0
496,0,0
497,0,0
498,1,0
499,1,0
501,0,0
502,1,0
503,0,0
504,1,0
506,1,0
507,1,0
508,1,0
509,0,0
510,1,0
511,1,0
512,0,0
513,0,0
514,0,0
515,0,0
516,0,0
517,0,0
518,0,0
519,0,0
520,0,0
521,0,0
524,1,0
525,1,0
526,1,0
527,1,0
528,1,0
529,1,0
530,1,0
531,1,0
532,1,0
533,1,0
534,1,0
535,1,0
536,1,0
537,1,0
538,1,0
539,1,0
540,1,0
541,1,0
542,1,0
543,0,0
544,0,0
545,0,0
546,0,0
547,0,0
548,0,0
549,0,0
550,0,0
551,0,0
552,0,0
553,0,0
554,1,0
555,0,0
556,0,0
557,0,0
558,1,0
559,1,0
560,0,0
562,0,0
565,0,0
568,0,0
569,0,0
570,0,0
571,1,0
572,0,0
573,0,0
574,0,0
575,1,0
576,1,0
577,1,0
578,0,0
579,0,0
580,0,0
581,1,2
582,1,0
583,1,0
584,1,0
585,1,0
586,1,0
591,0,0
592,1,0
616,1,0
619,0,0
620,0,0
621,1,0
630,0,0
633,0,0
634,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,1,2
645,1,0
646,1,0
647,1,0
648,1,0
649,1,0
650,0,0
658,0,0
660,0,0
661,0,0
662,1,0
663,1,0
664,1,0
665,1,0
666,0,0
667,0,0
668,0,0
669,0,0
670,1,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,1,0
708,1,0
709,1,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
728,0,0
729,0,0
730,0,0
733,0,15
736,0,0
737,0,0
738,0,0
739,0,0
742,0,0
748,0,0
749,0,0
750,0,0
760,0,0
762,0,0
763,0,0
764,0,0
768,0,0
769,0,0
770,0,0
771,0,0
775,0,0
776,0,0
777,0,0
778,0,0
781,0,0
783,0,0
784,0,0
785,0,0
786,0,0
