ID,ItemLevel,Cloth,Leather,Mail,Plate
1,1,82.9157,126.602,206.376,310.082
2,2,97.4473,148.789,242.545,364.426
3,3,111.979,170.977,278.713,418.77
4,4,126.511,193.165,314.882,473.115
5,5,141.042,215.353,351.051,527.459
6,6,155.574,237.541,387.22,581.803
7,7,170.105,259.729,423.389,636.148
8,8,184.637,281.917,459.558,690.492
9,9,199.169,304.105,495.727,744.836
10,10,213.7,326.293,531.896,799.18
11,11,228.23186,348.48047,568.0649,853.5246
12,12,242.763,370.668,604.234,907.869
13,13,257.295,392.856,640.403,962.213
14,14,271.827,415.044,676.572,1016.56
15,15,286.358,437.232,712.741,1070.9
16,16,300.89,459.42,748.909,1125.25
17,17,315.422,481.608,785.078,1179.59
18,18,329.953,503.796,821.247,1233.93
19,19,344.485,525.984,857.416,1288.28
20,20,359.016,548.172,893.585,1342.62
21,21,373.548,570.359,929.754,1396.97
22,22,388.08,592.547,965.923,1451.31
23,23,402.611,614.735,1002.09,1505.66
24,24,417.143,636.923,1038.26,1560
25,25,431.674,659.111,1074.43,1614.34
26,26,446.206,681.299,1110.6,1668.69
27,27,460.738,703.487,1146.77,1723.03
28,28,475.269,725.675,1182.94,1777.38
29,29,489.801,747.863,1219.11,1831.72
30,30,504.333,770.05,1255.27,1886.07
31,31,518.864,792.238,1291.44,1940.41
32,32,533.396,814.426,1327.61,1994.75
33,33,547.927,836.614,1363.78,2049.1
34,34,562.459,858.802,1399.95,2103.44
35,35,576.991,880.99,1436.12,2157.79
36,36,591.522,903.178,1472.29,2212.13
37,37,606.054,925.366,1508.46,2266.48
38,38,620.586,947.554,1544.63,2320.82
39,39,635.117,969.742,1580.79,2375.16
40,40,649.649,991.929,1616.96,2429.51
41,41,664.18,1014.12,1653.13,2483.85
42,42,678.712,1036.31,1689.3,2538.2
43,43,693.244,1058.49,1725.47,2592.54
44,44,707.775,1080.68,1761.64,2646.89
45,45,722.307,1102.87,1797.81,2701.23
46,46,736.838,1125.06,1833.98,2755.57
47,47,751.37,1147.24,1870.15,2809.92
48,48,765.902,1169.43,1906.32,2864.26
49,49,780.433,1191.62,1942.48,2918.61
50,50,794.965,1213.81,1978.65,2972.95
51,51,809.496,1236,2014.82,3027.3
52,52,824.028,1258.18,2050.99,3081.64
53,53,838.56,1280.37,2087.16,3135.98
54,54,853.091,1302.56,2123.33,3190.33
55,55,867.623,1324.75,2159.5,3244.67
56,56,882.155,1346.94,2195.67,3299.02
57,57,896.686,1369.12,2231.84,3353.36
58,58,909.397,1382.81,2247.31,3371.16
59,59,922.175,1396.57,2262.86,3389.04
60,60,935.02,1410.41,2278.5,3407.03
61,61,947.934,1424.31,2294.22,3425.11
62,62,960.917,1438.3,2310.03,3443.28
63,63,973.968,1452.35,2325.92,3461.56
64,64,987.089,1466.48,2341.89,3479.92
65,65,1000.28,1480.69,2357.95,3498.39
66,66,1013.54,1494.97,2374.09,3516.96
67,67,1026.87,1509.32,2390.32,3535.62
68,68,1040.27,1523.75,2406.63,3554.38
69,69,1053.74,1538.26,2423.04,3573.24
70,70,1067.29,1552.85,2439.52,3592.2
71,71,1080.9,1567.51,2456.1,3611.26
72,72,1094.59,1582.25,2472.76,3630.43
73,73,1108.35,1597.07,2489.52,3649.69
74,74,1122.19,1611.97,2506.36,3669.06
75,75,1136.09,1626.95,2523.29,3688.53
76,76,1150.07,1642,2540.31,3708.1
77,77,1164.13,1657.14,2557.42,3727.78
78,78,1178.26,1672.36,2574.62,3747.56
79,79,1192.46,1687.65,2591.91,3767.45
80,80,1206.74,1703.03,2609.3,3787.44
81,81,1221.1,1718.49,2626.77,3807.54
82,82,1235.53,1734.03,2644.34,3827.74
83,83,1250.04,1749.66,2662.01,3848.06
84,84,1273.63,1782.97,2713.07,3868.48
85,85,1297.66,1816.92,2765.12,3888.93
86,86,1322.15,1851.51,2818.16,3909.5
87,87,1347.1,1886.76,2872.22,3930.17
88,88,1372.52,1922.68,2927.32,4040.16
89,89,1398.42,1959.29,2983.47,4153.24
90,90,1424.8,1996.59,3040.71,4269.48
91,91,1451.69,2034.6,3099.04,4379.71
92,92,1479.08,2073.34,3158.49,4492.79
93,93,1506.99,2112.81,3219.08,4608.78
94,94,1535.43,2153.04,3280.83,4719.22
95,95,1564.4,2194.03,3343.77,4832.3
96,96,1593.92,2235.8,3407.91,4948.09
