ID,Value[0],Value[1],Value[2],Value[3],ParentItemBonusListID,Type,OrderIndex
23589,9,-100,0,0,11036,47,0
27013,212548,0,0,0,12672,23,0
27044,5,6000,0,0,12688,2,0
27045,14296,0,0,0,12688,5,1
27046,6,6000,0,0,12689,2,0
27047,14297,0,0,0,12689,5,1
27048,7,6000,0,0,12690,2,0
27049,14298,0,0,0,12690,5,1
27050,5,3000,0,0,12691,2,0
27051,6,3000,0,0,12691,2,1
27052,14299,0,0,0,12691,5,2
27090,5,6666,0,0,12718,2,0
27091,7,6666,0,0,12718,2,1
27092,14300,0,0,0,12718,5,2
27093,6,6666,0,0,12719,2,0
27094,7,6666,0,0,12719,2,1
27095,14301,0,0,0,12719,5,2
27096,5,6666,0,0,12720,2,0
27097,6,6666,0,0,12720,2,1
27098,14299,0,0,0,12720,5,2
27099,3,6666,0,0,12721,2,0
27100,7,6666,0,0,12721,2,1
27101,14455,0,0,0,12721,5,2
27102,7,6666,0,0,12722,2,0
27103,4,6666,0,0,12722,2,1
27104,14302,0,0,0,12722,5,2
27105,5,6666,0,0,12723,2,0
27106,4,6666,0,0,12723,2,1
27107,14303,0,0,0,12723,5,2
27108,3,6666,0,0,12724,2,0
27109,5,6666,0,0,12724,2,1
27110,14304,0,0,0,12724,5,2
27111,6,6666,0,0,12725,2,0
27112,4,6666,0,0,12725,2,1
27113,14305,0,0,0,12725,5,2
27114,3,6666,0,0,12726,2,0
27115,6,6666,0,0,12726,2,1
27116,14306,0,0,0,12726,5,2
27117,3,6666,0,0,12727,2,0
27118,4,6666,0,0,12727,2,1
27119,14307,0,0,0,12727,5,2
27120,3,10000,0,0,12728,2,0
27121,14308,0,0,0,12728,5,1
27122,5,10000,0,0,12729,2,0
27123,14309,0,0,0,12729,5,1
27124,6,10000,0,0,12730,2,0
27125,14310,0,0,0,12730,5,1
27126,7,10000,0,0,12731,2,0
27127,14311,0,0,0,12731,5,1
27128,4,10000,0,0,12732,2,0
27129,14312,0,0,0,12732,5,1
27130,38,20000,0,0,12733,2,0
27131,14313,0,0,0,12733,5,1
27132,45,11700,0,0,12734,2,0
27133,14314,0,0,0,12734,5,1
27134,41,22000,0,0,12735,2,1
27135,14315,0,0,0,12735,5,2
27136,12,6667,0,0,12736,2,0
27137,14316,0,0,0,12736,5,1
27138,46,8000,0,0,12737,2,0
27139,14317,0,0,0,12737,5,1
27140,43,4000,0,0,12738,2,0
27141,14318,0,0,0,12738,5,1
27142,3,3333,0,0,12739,2,0
27143,213334,0,0,0,12739,23,1
27144,14319,0,0,0,12739,5,2
27145,56,6666,0,0,12740,2,0
27146,7,6666,0,0,12740,2,1
27147,14320,0,0,0,12740,5,2
27148,51,6666,0,0,12741,2,0
27149,7,6666,0,0,12741,2,1
27150,14321,0,0,0,12741,5,2
27151,52,6666,0,0,12742,2,0
27152,7,6666,0,0,12742,2,1
27153,14322,0,0,0,12742,5,2
27154,55,6666,0,0,12743,2,0
27155,7,6666,0,0,12743,2,1
27156,14323,0,0,0,12743,5,2
27157,54,6666,0,0,12744,2,0
27158,7,6666,0,0,12744,2,1
27159,14324,0,0,0,12744,5,2
27160,42,7333,0,0,12735,2,0
27161,5,7266,0,0,12745,2,0
27162,7,4106,0,0,12745,2,1
27163,45,3725,0,0,12745,2,2
27164,14325,0,0,0,12745,5,3
27165,5,7266,0,0,12746,2,0
27166,6,4106,0,0,12746,2,2
27167,45,3725,0,0,12746,2,1
27168,14326,0,0,0,12746,5,3
27169,6,4106,0,0,12747,2,1
27170,7,7266,0,0,12747,2,2
27171,45,3725,0,0,12747,2,0
27172,14327,0,0,0,12747,5,3
27173,5,4106,0,0,12748,2,2
27174,7,7266,0,0,12748,2,3
27175,41,7024,0,0,12748,2,1
27176,42,2341,0,0,12748,2,0
27177,14328,0,0,0,12748,5,4
27178,5,7266,0,0,12749,2,0
27179,6,4106,0,0,12749,2,3
27180,41,7024,0,0,12749,2,2
27181,42,2341,0,0,12749,2,1
27182,14328,0,0,0,12749,5,4
27183,6,4106,0,0,12750,2,2
27184,7,7266,0,0,12750,2,3
27185,41,7024,0,0,12750,2,1
27186,42,2341,0,0,12750,2,0
27187,14329,0,0,0,12750,5,4
27188,3,3193,0,0,12751,2,0
27189,38,8212,0,0,12751,2,1
27190,7,7266,0,0,12751,2,2
27191,14330,0,0,0,12751,5,3
27192,3,4106,0,0,12752,2,0
27193,7,7266,0,0,12752,2,1
27194,4,3193,0,0,12752,2,2
27195,14331,0,0,0,12752,5,3
27196,12,2128,0,0,12753,2,0
27197,7,7266,0,0,12753,2,1
27198,4,4106,0,0,12753,2,2
27199,14332,0,0,0,12753,5,3
27200,12,2737,0,0,12754,2,0
27201,45,3725,0,0,12754,2,1
27202,7,7266,0,0,12754,2,2
27203,14333,0,0,0,12754,5,3
27204,45,3725,0,0,12755,2,0
