ID,ItemOffsetCurveID,ItemLevel,RequiredLevel,ItemSquishEraID,Flags
1,12,70,70,0,1
2,13,70,70,0,1
3,14,70,70,0,1
4,15,70,70,0,1
5,18,70,70,0,1
6,19,70,70,0,1
7,20,70,70,0,1
8,21,70,70,0,1
9,24,70,70,0,1
10,25,70,70,0,1
11,26,70,70,0,1
12,27,70,70,0,1
13,17,70,70,0,1
14,16,70,70,0,1
15,23,70,70,0,1
16,22,70,70,0,1
17,12,30,30,0,1
18,18,30,30,0,1
19,24,30,30,0,1
20,30,30,30,0,1
21,12,30,30,0,1
22,18,30,30,0,1
23,24,30,30,0,1
24,30,30,30,0,1
25,6,70,70,0,1
26,7,70,70,0,1
27,12,30,30,0,1
28,13,30,30,0,1
29,18,30,30,0,1
30,19,30,30,0,1
31,20,30,30,0,1
32,21,30,30,0,1
33,24,30,30,0,1
34,25,30,30,0,1
35,26,30,30,0,1
36,27,30,30,0,1
37,30,30,30,0,1
38,31,30,30,0,1
39,32,30,30,0,1
40,33,30,30,0,1
41,12,35,35,0,1
42,13,35,35,0,1
43,18,35,35,0,1
44,19,35,35,0,1
45,24,35,35,0,1
46,25,35,35,0,1
47,26,35,35,0,1
48,12,35,35,0,1
49,13,35,35,0,1
50,14,35,35,0,1
51,18,35,35,0,1
52,19,35,35,0,1
53,20,35,35,0,1
54,24,35,35,0,1
55,25,35,35,0,1
56,26,35,35,0,1
57,27,35,35,0,1
58,15,35,35,0,1
59,21,35,35,0,1
60,12,40,40,0,1
61,13,40,40,0,1
62,14,40,40,0,1
63,15,40,40,0,1
64,18,40,40,0,1
65,19,40,40,0,1
66,20,40,40,0,1
67,21,40,40,0,1
68,12,45,45,0,1
69,13,45,45,0,1
70,14,45,45,0,1
71,15,45,45,0,1
72,18,45,45,0,1
73,19,45,45,0,1
74,20,45,45,0,1
75,21,45,45,0,1
76,24,45,45,0,1
77,25,45,45,0,1
78,26,45,45,0,1
79,27,45,45,0,1
80,30,45,45,0,1
81,31,45,45,0,1
82,32,45,45,0,1
83,33,45,45,0,1
84,12,50,50,0,1
85,13,50,50,0,1
86,14,50,50,0,1
87,15,50,50,0,1
88,18,50,50,0,1
89,19,50,50,0,1
90,20,50,50,0,1
91,21,50,50,0,1
92,24,50,50,0,1
93,25,50,50,0,1
94,26,50,50,0,1
95,27,50,50,0,1
96,30,50,50,0,1
97,31,50,50,0,1
98,32,50,50,0,1
99,33,50,50,0,1
100,12,60,60,0,1
101,13,60,60,0,1
102,14,60,60,0,1
103,15,60,60,0,1
104,18,60,60,0,1
105,19,60,60,0,1
106,20,60,60,0,1
107,21,60,60,0,1
108,24,60,60,0,1
109,25,60,60,0,1
110,26,60,60,0,1
111,27,60,60,0,1
112,6,30,30,0,1
113,6,50,50,0,1
114,7,50,50,0,1
115,6,35,35,0,1
116,6,45,45,0,1
117,7,45,45,0,1
118,6,35,35,0,1
119,7,35,35,0,1
120,6,60,60,0,1
121,7,60,60,0,1
122,6,40,40,0,1
123,7,40,40,0,1
124,8,40,40,0,1
125,1,0,0,0,3
126,4,0,0,0,3
127,5,0,0,0,3
128,5,35,35,0,1
129,5,45,45,0,1
130,5,35,35,0,1
131,5,40,40,0,1
132,4,35,35,0,1
133,4,45,45,0,1
134,4,40,40,0,1
135,3,0,0,0,3
136,29,70,70,0,1
137,31,70,70,0,1
138,28,70,70,0,1
139,32,70,70,0,1
140,33,70,70,0,1
141,30,70,70,0,1
142,2,0,0,0,3
143,34,0,0,0,1
144,35,0,0,0,1
145,36,0,0,0,1
146,37,0,0,0,1
147,38,0,0,0,1
148,10,70,70,0,1
149,42,70,70,0,1
150,43,70,70,0,1
151,44,70,70,0,1
152,30,30,30,0,1
153,26,35,35,0,1
154,30,30,30,0,1
155,33,45,45,0,1
156,29,45,45,0,1
157,33,30,30,0,1
158,27,35,35,0,1
159,21,40,40,0,1
160,45,25,25,1,1
161,46,25,25,0,1
162,10,60,60,0,1
163,16,60,60,0,1
164,22,60,60,0,1
165,28,60,60,0,1
166,33,60,60,0,1
167,10,50,50,0,1
168,16,50,50,0,1
169,22,50,50,0,1
170,28,50,50,0,1
171,22,60,60,0,1
172,16,60,60,0,1
173,47,271,90,2,0
174,48,0,0,2,2
175,49,0,0,2,2
176,50,0,0,2,2
177,51,0,0,2,0
178,52,0,0,2,0
179,53,80,80,2,2
180,53,82,82,2,2
181,53,87,87,2,2
182,53,90,90,2,2
183,47,214,90,2,0
184,47,220,90,2,0
208,47,224,90,2,0
209,47,227,90,2,0
210,47,230,90,2,0
211,47,233,90,2,0
212,47,237,90,2,0
213,47,240,90,2,0
214,47,243,90,2,0
215,47,246,90,2,0
216,47,250,90,2,0
217,47,253,90,2,0
218,47,256,90,2,0
219,47,259,90,2,0
220,47,263,90,2,0
221,47,266,90,2,0
222,47,269,90,2,0
223,47,272,90,2,0
224,47,276,90,2,0
225,47,279,90,2,0
226,47,282,90,2,0
227,47,285,90,2,0
228,47,289,90,2,0
229,47,292,90,2,0
230,47,295,90,2,0
232,47,707,80,1,0
233,47,691,80,1,0
234,47,662,80,1,0
235,47,662,80,1,0
236,47,645,80,1,0
237,47,616,80,1,0
238,47,606,80,1,0
239,47,623,80,1,0
240,47,577,80,1,0
241,47,678,80,1,0
242,47,632,80,1,0
243,47,593,80,1,0
244,47,538,68,1,0
245,47,106,68,2,0
246,47,590,68,1,0
247,47,545,80,1,0
248,47,515,71,1,0
249,47,593,80,1,0
250,47,564,80,1,0
251,47,545,74,1,0
252,47,561,80,1,0
253,47,545,80,1,0
254,47,558,80,1,0
255,47,597,80,1,0
256,47,571,80,1,0
257,47,584,80,1,0
258,47,623,80,1,0
259,47,597,80,1,0
260,47,610,80,1,0
261,47,649,80,1,0
262,47,201,90,2,0
263,49,85,81,2,0
264,47,246,90,2,0
265,47,180,78,2,0
266,47,206,78,2,0
267,47,232,78,2,0
268,47,220,90,2,0
269,47,233,90,2,0
270,47,259,90,2,0
271,47,272,90,2,0
272,47,217,90,2,0
273,47,246,90,2,0
274,47,233,90,2,0
275,47,204,90,2,0
276,47,175,90,2,0
277,47,175,90,2,0
278,54,0,0,0,3
279,4,0,0,0,3
280,55,0,0,0,3
281,47,214,90,2,0
282,1,60,60,0,1
283,1,70,70,0,1
284,47,102,80,2,0
285,4,15,15,0,1
286,4,25,25,0,1
287,4,35,35,0,1
288,4,45,45,0,1
289,4,55,55,0,1
290,4,65,65,0,1
291,48,0,0,2,2
292,58,1,0,0,0
293,47,201,90,2,0
294,56,0,0,2,0
295,47,180,81,2,0
296,57,0,0,1,2
297,59,0,0,0,3
298,47,263,90,2,0
299,47,298,90,2,0
300,60,0,0,0,3
301,17,40,40,0,1
302,47,266,90,2,0
303,47,269,90,2,0
304,47,272,90,2,0
305,47,276,90,2,0
306,47,279,90,2,0
307,47,282,90,2,0
308,47,285,90,2,0
309,47,289,90,2,0
310,47,292,90,2,0
311,47,295,90,2,0
312,47,298,90,2,0
313,47,302,90,2,0
314,47,305,90,2,0
315,47,308,90,2,0
316,47,311,90,2,0
317,47,315,90,2,0
318,47,318,90,2,0
319,47,321,90,2,0
320,47,324,90,2,0
321,47,328,90,2,0
322,47,331,90,2,0
323,47,334,90,2,0
324,47,571,80,0,0
325,47,574,80,0,0
326,47,577,80,0,0
327,47,580,80,0,0
328,47,584,80,0,0
329,47,587,80,0,0
330,47,590,80,0,0
331,47,593,80,0,0
332,47,597,80,0,0
333,47,600,80,0,0
334,47,603,80,0,0
335,47,606,80,0,0
336,47,610,80,0,0
337,47,613,80,0,0
338,47,616,80,0,0
339,47,619,80,0,0
340,47,558,80,0,0
341,47,561,80,0,0
342,47,564,80,0,0
343,47,567,80,0,0
344,47,571,80,0,0
345,47,574,80,0,0
346,47,577,80,0,0
347,47,580,80,0,0
348,47,610,80,0,0
349,47,613,80,0,0
350,47,616,80,0,0
351,47,619,80,0,0
352,47,623,80,0,0
353,47,626,80,0,0
354,47,623,80,0,0
355,47,626,80,0,0
356,47,629,80,0,0
357,47,632,80,0,0
358,47,636,80,0,0
359,47,639,80,0,0
360,47,610,80,0,0
361,47,613,80,0,0
362,47,616,80,0,0
363,47,619,80,0,0
364,47,623,80,0,0
365,47,626,80,0,0
366,47,629,80,0,0
367,47,632,80,0,0
368,47,636,80,0,0
369,47,639,80,0,0
370,47,642,80,0,0
371,47,645,80,0,0
372,47,649,80,0,0
373,47,652,80,0,0
374,47,655,80,0,0
375,47,658,80,0,0
376,47,597,80,0,0
377,47,600,80,0,0
378,47,603,80,0,0
379,47,606,80,0,0
380,47,610,80,0,0
381,47,613,80,0,0
382,47,616,80,0,0
383,47,619,80,0,0
384,47,649,80,0,0
385,47,652,80,0,0
386,47,655,80,0,0
387,47,658,80,0,0
388,47,662,80,0,0
389,47,665,80,0,0
390,47,668,80,0,0
391,47,671,80,0,0
392,47,662,80,0,0
393,47,665,80,0,0
394,47,668,80,0,0
395,47,671,80,0,0
396,47,675,80,0,0
397,47,678,80,0,0
398,47,681,80,0,0
399,47,684,80,0,0
418,47,623,80,0,0
419,47,626,80,0,0
420,47,629,80,0,0
421,47,632,80,0,0
422,47,636,80,0,0
423,47,639,80,0,0
424,47,642,80,0,0
425,47,645,80,0,0
426,47,584,80,0,0
427,47,587,80,0,0
428,47,590,80,0,0
429,47,593,80,0,0
430,47,597,80,0,0
431,47,600,80,0,0
432,47,603,80,0,0
433,47,606,80,0,0
434,61,0,0,2,0
435,62,0,0,2,0
437,47,292,90,2,0
439,47,259,90,2,0
440,47,230,90,2,0
441,47,250,90,2,0
442,47,279,90,2,0
443,47,240,90,2,0
444,64,0,0,2,0
445,65,0,0,2,0
446,47,305,90,2,0
447,47,318,90,2,0
448,47,258,78,2,0
449,47,256,90,2,0
450,47,263,0,2,0
451,47,337,90,2,0
452,47,340,90,2,0
453,47,344,90,2,0
454,47,266,90,2,0
455,47,279,90,2,0
481,66,0,0,2,0
482,67,0,0,2,0
483,68,0,0,2,2
484,69,0,0,2,2
485,68,0,0,2,2
489,71,0,0,2,0
