ID,ItemID,SpellID
16,18834,42292
17,18845,42292
18,18846,42292
19,18849,42292
20,18850,42292
21,18851,42292
22,18852,42292
23,18853,42292
24,29592,42292
25,18854,42292
26,18856,42292
27,18857,42292
28,18858,42292
29,18859,42292
30,18862,42292
31,18863,42292
32,18864,42292
33,29593,42292
34,28234,42292
35,28235,42292
36,28236,42292
37,28237,42292
38,28238,42292
39,30348,42292
40,30349,42292
41,30350,42292
43,30351,42292
44,37864,42292
45,28239,42292
46,28240,42292
47,28241,42292
48,28242,42292
49,28243,42292
50,30343,42292
51,30344,42292
52,30345,42292
53,30346,42292
54,37865,42292
55,33046,42292
82,42122,42292
83,42123,42292
104,73538,42292
105,70392,42292
106,70393,42292
107,70390,42292
108,70391,42292
109,73534,42292
110,73535,42292
111,70395,42292
112,40483,42292
113,51378,42292
114,40476,42292
115,60799,42292
116,60796,42292
117,60797,42292
118,60795,42292
119,60794,42292
120,42124,42292
121,42126,42292
122,60798,42292
123,60801,42292
124,60804,42292
125,60805,42292
126,70603,42292
127,70602,42292
128,70604,42292
129,70606,42292
130,70605,42292
131,70607,42292
132,69862,42292
133,69861,42292
134,46085,42292
135,46083,42292
136,46084,42292
137,46081,42292
138,46082,42292
139,72411,42292
140,72413,42292
141,72412,42292
142,72414,42292
143,64793,42292
144,64794,42292
145,64791,42292
146,60807,42292
147,64790,42292
148,64789,42292
149,72415,42292
150,40477,42292
151,72410,42292
152,51377,42292
153,60802,42292
154,64792,42292
155,60800,42292
156,60803,42292
157,60806,42292
158,44098,42292
159,44097,42292
160,38588,42292
161,38589,42292
162,73537,42292
163,73539,42292
164,73536,42292
165,70394,42292
171,84450,42292
172,84451,42292
173,84452,42292
174,84453,42292
175,84454,42292
176,84455,42292
177,84931,42292
178,84932,42292
179,84933,42292
180,84943,42292
181,84944,42292
182,84945,42292
183,91329,42292
184,91330,42292
185,91331,42292
186,91332,42292
187,91333,42292
188,91334,42292
189,91682,42292
190,91683,42292
191,91684,42292
192,91685,42292
193,91686,42292
194,91687,42292
195,93560,42292
196,93561,42292
197,93562,42292
198,93563,42292
199,93564,42292
200,93565,42292
201,93898,42292
202,93899,42292
203,94338,42292
204,94361,42292
205,94386,42292
206,94387,42292
207,94388,42292
208,94454,42292
209,97533,42292
210,97845,42292
211,97935,42292
212,98875,42292
213,98876,42292
214,98877,42292
215,98878,42292
216,98879,42292
217,98880,42292
218,100006,42292
219,100031,42292
220,100056,42292
221,100057,42292
222,100058,42292
223,100124,42292
224,100568,42292
225,100591,42292
226,100616,42292
227,100617,42292
228,100618,42292
229,100684,42292
230,102480,42292
231,102481,42292
232,102483,42292
233,102625,42292
234,102672,42292
235,102738,42292
236,102822,42292
237,102869,42292
238,102935,42292
239,103333,42292
240,103334,42292
241,103335,42292
242,103530,42292
243,103531,42292
244,103532,42292
