ID,CampaignID,QuestLineID,OrderIndex
16,2,604,5
17,2,614,6
18,2,622,7
19,2,620,8
20,2,617,9
21,2,625,10
22,2,626,11
23,2,627,12
24,2,736,13
35,1,621,4
36,1,603,5
37,1,613,6
38,1,619,7
39,1,616,8
40,1,628,9
41,1,632,10
42,3,631,0
43,1,633,11
44,1,638,12
45,1,589,2
46,1,635,0
47,2,636,0
48,2,612,2
49,2,318,3
145,2,629,14
146,2,838,15
147,1,737,13
148,1,843,14
151,2,785,1
152,1,743,1
153,2,839,16
154,2,848,17
155,2,841,18
157,2,842,19
158,2,802,20
159,1,810,15
160,1,849,16
161,1,845,17
162,1,847,18
163,1,921,19
167,3,863,1
206,1,922,20
207,1,949,21
208,2,881,22
209,2,886,23
210,2,873,21
213,1,1004,24
214,2,1003,26
217,1,972,23
218,1,923,22
220,2,923,24
221,2,973,25
228,111,985,0
229,111,994,1
230,111,995,2
231,111,996,3
232,111,998,4
233,111,1005,5
234,111,1038,6
243,114,1001,0
244,114,1055,1
245,114,1056,2
246,114,1068,4
247,114,1066,5
252,113,1065,0
277,115,1087,0
280,119,1014,0
289,114,1109,3
322,124,1008,1
323,124,1125,2
327,124,1033,7
330,117,1098,0
339,124,1127,4
340,124,1025,5
341,124,1027,6
342,114,1133,6
343,125,1108,0
352,126,1137,0
356,125,1135,1
375,130,1108,0
376,130,1135,1
377,130,1001,2
378,130,1055,3
379,130,1056,4
380,130,1109,5
381,130,1068,6
382,130,1066,7
383,130,1133,8
384,130,1057,9
385,130,1058,10
386,130,1059,11
387,130,1060,12
388,130,1061,13
389,130,1062,14
390,130,1063,15
391,130,1002,16
392,130,1008,17
393,130,1011,18
394,130,1125,19
395,130,1126,20
396,130,1127,21
397,130,1025,22
398,130,1027,23
399,130,1033,24
400,130,985,25
401,130,994,26
402,130,995,27
403,130,996,28
404,130,998,29
405,130,1005,30
406,130,1038,31
407,131,1155,1
408,131,1160,2
409,131,1168,3
410,131,1172,4
411,130,1174,32
412,131,1175,0
415,133,1201,0
419,134,1202,0
420,135,1203,0
421,136,1205,0
422,137,1204,0
423,119,1210,1
424,115,1210,1
425,117,1210,1
426,113,1210,1
434,138,1219,0
435,138,1225,1
436,138,1234,2
437,138,1222,3
438,138,1224,4
439,138,1220,5
440,138,1221,6
442,113,1039,3
443,113,1024,4
444,113,1026,5
449,140,1246,0
452,141,1239,0
453,141,1210,1
454,141,1238,2
455,142,1240,0
456,142,1210,1
457,142,1238,2
458,143,1241,0
459,143,1210,1
460,143,1238,2
461,144,1237,0
462,144,1242,1
463,144,1238,2
464,144,1247,3
465,145,1239,0
466,145,1243,1
467,145,1238,2
468,145,1247,3
469,146,1240,0
470,146,1244,1
471,146,1238,2
472,146,1247,3
473,147,1241,0
474,147,1245,1
475,147,1238,2
476,147,1247,3
478,141,1246,3
479,142,1246,3
480,143,1246,3
481,148,1237,0
482,148,1210,1
483,148,1238,2
484,149,1239,0
485,149,1210,1
486,149,1238,2
487,150,1240,0
488,150,1210,1
489,150,1238,2
490,151,1241,0
491,151,1210,1
492,151,1238,2
494,148,1135,3
495,149,1135,3
496,150,1135,3
497,151,1135,3
502,153,1210,0
503,154,1136,0
504,113,1069,2
505,155,1138,0
507,117,1064,2
508,117,1101,3
509,117,1099,4
510,117,1104,5
521,148,1138,4
522,147,1138,4
523,146,1138,4
524,145,1138,4
525,149,1138,4
526,150,1138,4
527,151,1138,4
529,144,1138,4
530,141,1138,4
531,142,1138,4
532,143,1138,4
533,119,1090,2
534,119,1091,3
535,119,1092,5
541,119,1096,4
542,115,1088,2
543,115,1134,3
544,115,1119,4
545,115,1120,5
551,113,1017,6
552,113,1041,7
553,113,1018,8
563,115,1121,6
564,115,1115,7
565,115,1118,8
576,119,1093,6
577,119,1094,7
578,119,1036,8
589,117,1100,6
590,117,1102,7
591,117,1103,8
604,138,1218,7
605,138,1248,8
607,156,1108,0
608,156,1135,1
609,156,1001,2
610,156,1055,3
611,156,1056,4
612,156,1109,5
613,156,1068,6
614,156,1066,7
615,156,1133,8
616,156,1057,9
617,156,1058,10
618,156,1059,11
619,156,1060,12
620,156,1061,13
621,156,1062,14
622,156,1063,15
623,156,1002,16
624,156,1008,17
625,156,1011,18
626,156,1125,19
627,156,1126,20
628,156,1127,21
629,156,1025,22
630,156,1027,23
631,156,1033,24
632,156,985,25
