ID,Type,Value[0],Value[1],Value[2],Value[3]
356774,0,10,1,1,0
356775,8,14355216,20,1000,100
356776,13,5204976,0.5,0.5,0
356777,2,1,0,0,0
356778,2,1.5,0,0,0
356779,1,65280,2,2,0
356780,1,15160897,0,0,0.2
356781,7,2,0,0,0
356782,2,1.4,1,0,0
356783,2,0.5,0,1,0
356784,13,7105791,0.5,0.5,0
356785,0,9,1,1,0
356786,1,6711039,0,1,0.5
356787,1,1945621,0.8,0.1,0.8
356788,13,5906196,0.5,0.5,0
356789,7,1,1,0,0
356790,14,0.3,2,1000,0
356791,12,1,1,0,0
356792,8,16263465,20,600,100
356793,6,0,0.2,0,0
356794,0,5,1,1,0
356795,2,1.1,0,0,0
356796,8,12713016,20,600,100
356797,8,16193303,20,10000,100
356798,8,16484115,20,10000,100
356799,8,11784417,22,600,70
356800,12,1,1,0,0
356801,1,255,1,0.5,0
356802,8,12408262,15,400,96
356803,0,8,1,1,0
356804,8,7862770,20,500,80
356805,0,4,1,1,0
356806,8,16446211,15,400,150
356807,0,4,1,1,0
356808,8,16317734,20,300,50
356809,8,15608624,20,600,100
356810,8,15733523,20,600,100
356811,8,15738920,20,600,100
356812,8,5767344,20,600,100
356813,1,301361,0.5,1,0
356814,1,7382526,0.5,1,0
356815,1,8289918,0.5,1,0
356816,1,16776960,4,0,0
356817,13,11534340,0.5,0.5,0
356818,9,1108,0,0,0
356819,8,7154933,20,600,100
356820,1,7012975,0.3,0.3,0
356821,1,7995528,0.4,0,0
356822,8,16267286,20,600,100
356823,1,7105791,0.5,0,0
356824,1,16716055,2,2,0
356825,7,2,0,0,0
356826,9,1109,0,0,0
356827,9,1110,0,0,0
356828,8,15971420,20,450,60
356829,8,15665846,15,400,96
356830,8,16256123,15,400,96
356831,0,8,1,1,0
356832,1,12124345,0.8,0.1,0.8
356833,8,11534340,20,600,100
356834,1,15616072,0.25,2,6
356835,13,796108,0.5,0.25,0
356836,1,7895160,1,1,1
356837,8,10493650,20,600,100
356838,1,301361,2,1,0
356839,0,5,1,0,0
356840,8,13828385,20,600,100
356841,0,8,1,1,0
356842,1,167160,0.7,1,0
356843,8,13240585,17,500,120
356844,8,4235246,25,700,65
356845,8,6977190,0,500,80
356846,8,4557483,25,550,70
356847,13,9372315,0,0,0
356848,10,13619151,0,0,0
356849,1,13210825,0.2,0,0
356850,9,1110,0,0,0
356851,7,0,2,1,0
356852,13,14477467,2,2,0
356853,0,8,1,1,0
356854,0,5,1,0,0
356855,1,841430,0.5,0,0
356856,1,12201146,0.8,1,0.8
356857,0,10,1,1,0
356858,1,16732501,0,0,1
356859,1,9222653,0,0,0
356860,14,0.5,0,0,0
356861,1,12386968,0.5,0,0
356862,1,13173966,0.5,0,0
356863,7,0,0,2,0
356864,1,3473461,0,1,0
356865,14,0.3,2,1000,0
356866,13,520497,0.5,0.5,0
356867,0,7,1,1,0
356868,0,10,1,0,0
356869,1,8947848,0.3,0.3,0
356870,1,4144959,0,0,60
356871,11,8947.848,0.1,0.1,6
356872,1,16773173,0.1,0.1,5
356873,1,1900344,0.5,1,0
356874,1,16720937,2,2,0
356875,0,7,1,1,0
356876,1,15335664,0.5,0.5,0
356877,0,0,0,0,0
356878,0,0,0,0,0
356879,0,0,0,0,0
356880,0,0,0,0,0
356881,0,0,0,0,0
356882,0,0,0,0,0
356883,0,0,0,0,0
356884,0,0,0,0,0
356885,0,0,0,0,0
356886,0,0,0,0,0
356887,0,0,0,0,0
356888,0,0,0,0,0
356889,0,0,0,0,0
356890,0,0,0,0,0
356891,0,0,0,0,0
356892,0,0,0,0,0
356893,0,0,0,0,0
356894,0,0,0,0,0
356895,0,0,0,0,0
356896,0,0,0,0,0
356897,1,9681407,0.1,0.1,60
356898,11,0,0,0,0
356899,1,9868950,0.1,0.1,60
356900,11,0,0,0,0
356901,8,16716055,20,600,100
356902,9,1112,0,0,0
356903,1,6819837,0.1,0.1,1
356904,1,4066815,0.1,0.1,1
356905,12,6,1,0,0
356906,7,0,0,2,0
356907,1,16719909,0.8,0.2,0.2
356908,1,7961087,0.1,0.1,1
356909,11,0,0,0,0
356910,8,16711686,20,600,100
356911,0,4,1,1,0
356912,11,1,0,0,0
356913,1,2555970,0.2,2,0
356914,14,0.65,0,2,0
356915,12,2,1,0,0
356916,9,1113,0,0,0
356917,15,0.6,2,500,1000
356918,11,0,0,0,0
356919,1,9765002,0.1,0.1,0
356920,14,0.5,0,0,0
356921,0,1,1,1,0
356922,11,0,0,0,0
356923,1,6664702,0,0,0
356924,11,0,0,0,0
356925,0,1,1,1,0
356926,7,0,0,2,0
356927,7,0,0,2,0
356928,0,12,1,1,0
356929,1,2510830,0.5,1,0
356930,14,0.5,0,0,0
356931,0,8,0,1,0
356932,11,0,0,0,0
356933,1,6488170,0,1,0
356934,8,7647733,20,600,100
356935,1,3947775,0,0,3
356936,12,1,1,0,0
356937,1,9074175,0.1,0.1,60
356938,11,0,0,0,0
356939,0,4,1,1,0
356940,0,4,1,1,0
356941,0,8,1,1,0
356942,12,1,1,0,0
356943,14,1,0,0,0
356944,1,6447714,0,0,0
356945,1,3086335,0.5,0.5,0
356946,8,16751637,20,10000,100
356947,9,1114,0,0,0
356948,8,12452615,15,400,96
356949,1,16777215,0.3,1,0
356950,1,4159742,0.5,1,0
356951,1,5460819,0.7,1,0
356952,1,9969830,0.5,0.5,60
356953,1,4066815,0.1,0.1,1
356954,0,13,1,1,0
356955,8,0,20,600,100
356956,8,16674843,15,400,96
356957,14,0,0,0,0
356958,7,1,1,0,0
356959,1,4474462,0.2,5,0
356960,1,6445567,0.5,1,0.5
356961,1,16744703,86400,0,0
356962,14,0.5,0,0,0
356963,1,16716055,4,1,0
356964,13,16711680,10000000,10000000,0
356965,1,2166783,100,0.1,60
356966,13,323600,100000000,100000000,0
356967,13,2962175,10000000,10000000,0
356968,13,15990543,10,1,0
356969,13,16751366,10000000,10000000,0
356970,13,16714239,10000000,10000000,0
356971,13,0,1E+10,1E+10,0
