ID,Name_lang,Location_lang,Description_lang,MapPos[0],MapPos[1],WorldPos[0],WorldPos[1],GarrTypeID,GarrMissionTypeID,GarrFollowerTypeID,MaxFollowers,MissionCost,MissionCostCurrencyTypesID,OfferedGarrMissionTextureID,UiTextureKitID,EnvGarrMechanicID,EnvGarrMechanicTypeID,PlayerConditionID,GarrMissionSetID,TargetLevel,TargetItemLevel,MissionDuration,TravelDuration,OfferDuration,BaseCompletionChance,BaseFollowerXP,OvermaxRewardPackID,FollowerDeathChance,AreaID,Flags,AutoMissionScalar,AutoMissionScalarCurveID,AutoCombatantEnvCasterID
2,Gronnlings Abound,Frostwall Approach,Gronnlings are a menace to the region.  We should partner with the Frostwolf clan to thin the population.  One may even join our cause...,0,0,0,0,2,3,1,1,0,824,0,101,0,23,26253,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
3,Landfall Recovery,The Burning Glacier,"It would be a worthwhile endeavor to search the ship we escaped Tanaan Jungle in, it's bound to turn up something useful!",0,0,0,0,2,3,1,1,5,824,0,101,0,23,26251,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
5,Powdered Gronnling,Garrison Caves,Gronnling bones have been discovered in the cavern behind the garrison. Your alchemists are interested in digging them up for research purposes.,0,0,0,0,2,18,1,1,10,824,0,0,0,24,26539,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
6,Grimfrost Wolfbeaters,Grimfrost Hill,The Grimfrost Ogres east of the Icewind Drifts are blatantly mistreating frostwolves.  Unacceptable!,0,0,0,0,2,3,1,1,10,824,0,101,0,12,26320,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
7,Stonefury Rescue,Stonefury Cliffs,There are reports of a bloody massacre on the Stonefury Cliffs!  Scatter the Frostbeak Scavengers and rescue wounded allies!,0,0,0,0,2,3,1,1,10,824,0,101,0,15,28567,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
36,Frosty Potions,Icewind Drifts,A scout has located a cache of Thunderlord potions frozen in the snow. Recovering them will allow your alchemists to learn about the ingredients of Draenor.,0,0,0,0,2,18,1,1,10,824,0,0,0,23,26539,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
42,Gimme Loots,Auction House,Grab all the loots,0,0,0,0,2,4,1,1,0,824,0,0,0,23,26539,26,90,400,7,0,999999999,50,5,0,0,0,1,1,0,0
43,Frostfire Patrol,Icewind Plains,This is Matt's test mission *bugles and horns blair a triumphant tune*,0,0,0,0,3,13,1,3,0,824,0,101,0,29,26539,26,90,0,10,0,9999999,0,100,0,0,0,0,1,0,0
44,Skyward Threat,Frostwall Approach,Rylaks from the Burning Glacier have been attacking our supply caravans.  The material must flow!,0,0,0,0,2,3,1,1,0,824,0,101,0,15,26252,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
45,Ogre Remedies,Burning Glacier,Bladespire ogres on the Burning Glacier usually carry packs of supplies when they venture out into the dunes of Frostfire. They may contain new types of potions.,0,0,0,0,2,18,1,1,10,824,0,0,0,23,5703,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
54,No Loots For You,Poor House,Run away!!,0,0,0,0,2,4,1,1,0,824,0,0,0,23,26539,26,90,400,7,0,60,0,5,0,0,0,0,1,0,0
55,Orcs in the Mountains!,Orc Mountain,Kill the orcs in the mountains.,0,0,0,0,2,13,1,3,0,824,0,101,0,21,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
56,Ogres in the Desert!,Ogre Desert,Kill the ogres in the desert.,0,0,0,0,2,25,1,3,0,824,0,103,0,22,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
57,Undead In The Snow,Undead Snow,Kill the undead in the snow.,0,0,0,0,2,24,1,3,0,824,0,104,0,23,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
58,Arakkoa Underground,Arakkoa Underground,Kill the arakkoa underground.,0,0,0,0,2,23,1,3,0,824,0,106,0,24,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
59,Beasts in the Jungle,Beast Jungle,Kill the beasts in the jungle.,0,0,0,0,2,18,1,3,0,824,0,107,0,25,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
60,Demons in the Forest,Demon Forest,Kill the demons in the forest.,0,0,0,0,2,19,1,3,0,824,0,105,0,26,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
61,Breakers in Town,Breaker Town,Kill the breakers in the town.,0,0,0,0,2,20,1,3,0,824,0,102,0,27,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
62,Furies in the Swamp,Fury Swamp,Kill the furies in the swamp.,0,0,0,0,2,21,1,3,0,824,0,101,0,28,26539,18,90,0,8,0,9999999,100,100,0,0,0,0,1,0,0
63,Primals in the Plains,Primal Plains,Kill the primals in the plains.,0,0,0,0,2,22,1,3,0,824,0,106,0,29,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
64,One Mission To Rule Them All,Gorgrond,The sword of a thousand truths must be destroyed in the Blackrock Foundry.  Make it happen dawg.,0,0,0,0,2,3,1,1,0,824,0,0,0,21,26539,18,90,0,600,0,9999999,0,200,0,0,0,0,1,0,0
65,The Night Watch,Garrison Border,A regular patrol around the garrison seems like a good idea...,0,0,0,0,2,13,1,1,5,824,0,106,0,26,27657,20,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
66,Killing the Corrupted,Cursed Woods,Corrupted beasts continue to plague the Cursed Woods. The Starfall Sentinels request our aid in putting the poor creatures out of their misery.,0,0,0,0,2,3,1,1,0,824,0,106,0,26,26601,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
67,Thunderlord Assault,Colossal's Fall,We could send several of our best on a raid of the Thunderlord outpost of Colossal's Fall!  Go forth to victory.,0,0,0,0,2,3,1,3,10,824,0,101,0,11,28566,12,90,0,3600,0,0,65,200,0,0,0,1,1,0,0
73,Clean the Latrine,Outhouse,It's best not to lose a bet with the janitor.,0,0,0,0,2,6,1,1,0,824,0,101,0,28,29014,29,90,0,300,0,86400,100,0,0,0,0,0,1,0,0
86,Landfall Recovery,Eventide Landing,"It would be a worthwhile endeavor to search the ship we escaped Tanaan Jungle in, it's bound to turn up something useful!",0,0,0,0,2,3,1,1,5,824,0,106,0,26,26958,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
87,The Night Watch,Garrison Border,A regular patrol around the garrison seems like a good idea...,0,0,0,0,2,13,1,1,5,824,0,101,0,23,28319,20,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
88,Skyward Threat,Moonflower Valley,Lunarfall Ravens from Moonflower Valley have been attacking our supply caravans.  The material must flow!,0,0,0,0,2,3,1,1,0,824,0,106,0,15,28564,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
89,Shadowmoon Assault,Shaz'Gul,We could send several of our best on a raid of the Shadowmoon outpost of Shaz'Gul!  For the Alliance!,0,0,0,0,2,3,1,3,10,824,0,106,0,11,26960,28,90,0,3600,0,0,65,200,0,0,0,1,1,0,0
90,Fey Friends,The Shimmer Mor,Arcane Anomalies are endangering the Fey Dragons of the Shimmer Mor.  Unacceptable!,0,0,0,0,2,3,1,1,10,824,0,106,0,19,28565,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
91,Rangari Rescue,Shaz'gul,The Shadowmoon have taken several Rangari and Alliance forces captive.  Infiltrate and rescue!,0,0,0,0,2,3,1,1,10,824,0,106,0,11,26963,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
107,Savage Kindred,Nagrand,The gronn and the ogres are working together on a two-pronged attack. We must disrupt their machinations before they overwhelm us.,0,0,0,0,2,3,1,3,15,824,0,104,0,29,32928,30,100,0,36000,0,129600,0,1500,0,0,0,0,1,0,0
108,Industrial Espionage,Gorgrond,"If there are design flaws in the Blackrock clan's war machines, we can disable them. Break in and inspect the war machines for weaknesses.",0,0,0,0,2,3,1,3,15,824,0,103,0,11,32928,30,100,0,28800,0,129600,0,1500,0,0,0,0,1,0,0
109,"Claws, Pincers, AND Tusks",Gorgrond,Draenor can count the genesaur among its most vicious creatures. We must contain them before they spread from Gorgrond to other areas.,0,0,0,0,2,3,1,3,15,824,0,103,0,20,32928,30,100,0,36000,0,129600,0,1500,0,0,0,0,1,0,0
110,Birds of Pray,Spires of Arak,"We would like to leave the vicious arakkoa alone, but capturing their temple in the Spires of Arak would give us a strategic advantage.",0,0,0,0,2,3,1,3,15,824,0,107,0,14,32928,30,100,0,28800,0,129600,0,1500,0,0,0,0,1,0,0
111,Talador Burning,Talador,"Abyssals, the minions of Sargeras, are roaming the forests of Talador, setting them ablaze. Destroy them before the forest is ash.",0,0,0,0,2,3,1,3,15,824,0,105,0,16,32928,30,100,0,28800,0,129600,0,1500,0,0,0,0,1,0,0
112,Into the Saberon's Den,Spires of Arak,"Many of the rescued draenei prisoners have gone missing, and we think the saberon are to blame. Go investigate, but go well armed.",0,0,0,0,2,3,1,3,15,824,0,107,0,21,32928,30,100,0,28800,0,129600,0,1500,0,0,0,0,1,0,0
113,Burning Legion Vanguard,Talador,"With infernals and felguard invading Talador, the rest of the Burning Legion can't be far behind. Defeat them, and try to find their source.",0,0,0,0,2,3,1,3,15,824,0,105,0,16,32928,30,100,0,28800,0,129600,0,1500,0,0,0,0,1,0,0
114,Twisting the Nether,Shadowmoon Valley,The voidlords and voidcallers plaguing Shadowmoon Valley are being summoned by someone. Find and kill whoever is responsible.,0,0,0,0,2,3,1,3,15,824,0,106,0,19,27780,30,100,0,21600,0,129600,0,1500,0,0,0,0,1,0,0
115,Hardened Creatures,Frostfire Ridge,Magnaron and goren both grow rocky plates on their hides that have magical properties. Collect these plates for our use.,0,0,0,0,2,3,1,3,10,824,0,101,0,23,27780,30,100,0,21600,0,129600,0,1500,0,0,0,0,1,0,0
116,Iron Horde Allies,Frostfire Ridge,"Numerous and powerful, ogre warlords are formidable allies of the Iron Horde. Try to induce them to leave - forcefully, if necessary.",0,0,0,0,2,3,1,3,20,824,0,101,0,12,27780,30,100,0,28800,0,129600,0,1500,0,0,0,0,1,0,0
117,Clefthoof Rustling,Frostfire Ridge,"To weaken the Thunderlord clan, we must eliminate their fiercest warriors - their clefthoof-riders. Go to their camp and free their mounts.",0,0,0,0,2,3,1,3,10,824,0,101,0,11,27780,30,100,0,28800,0,129600,0,1500,0,0,0,0,1,0,0
118,The Corruption Spreads,Shadowmoon Valley,Fel magic has corrupted a few ancients of Shadowmoon Valley. They must be cut down to end their mad rampages.,0,0,0,0,2,3,1,3,15,824,0,106,0,26,27780,30,100,0,28800,0,129600,0,1500,0,0,0,0,1,0,0
119,Heart of the Iron Horde,Nagrand,"The Warsong clan is a symbol of the Iron Horde's power. Under the cover of night, set its camp ablaze. This will kill their morale.",0,0,0,0,2,3,1,2,15,824,0,104,0,11,27780,30,100,0,14400,0,129600,0,1500,0,0,0,0,1,0,0
120,Saberon Ambush,Nagrand,Patrols have reported that roving bands of saberon are waylaying merchants traveling through Nagrand. Find them and stop them.,0,0,0,0,2,3,1,2,10,824,0,104,0,29,27780,30,100,0,14400,0,129600,0,1500,0,0,0,0,1,0,0
125,The Feathers Must Fly,Spires of Arak,"Arakkoa talonpriests have begun sacrificing draenei to their god, Terokk. Interrupt their ritual and free the prisoners.",0,0,0,0,2,3,1,2,20,824,0,107,0,14,27780,30,100,0,14400,0,129600,0,1500,0,0,0,0,1,0,0
126,Cult of Sargeras,Talador,"In a remote corner of Talador, a small faction of draenei has embraced the worship of Sargeras. Stop their cult before it spreads.",0,0,0,0,2,3,1,2,10,824,0,105,0,26,27780,30,100,0,14400,0,129600,0,1500,0,0,0,0,1,0,0
127,To Freedom!,Gorgrond,Ogre slavers have captured many of the draenei displaced by the Iron Horde. Send someone to their camp and liberate them.,0,0,0,0,2,3,1,2,15,824,0,103,0,12,27780,30,100,0,14400,0,129600,0,1500,0,0,0,0,1,0,0
128,Go for the Heads,Nagrand,"Without their leader, the high ogre attack our spies warned us about will fail. Send an assassin to kill their warlord in Nagrand.",0,0,0,0,2,3,1,3,10,824,0,104,0,12,27780,30,100,0,28800,0,129600,0,1500,0,0,0,0,1,0,0
129,Secrets of Blademoon,Shadowmoon Valley,The hardened bark of the genesaur and botani offer an opportunity to strengthen our armor.  Do what needs to be done.,0,0,0,0,2,3,1,3,10,824,0,106,0,20,27780,30,100,0,28800,0,129600,0,1500,0,0,0,0,1,0,0
130,Ravager Infestation,Spires of Arak,"Pests! These ravagers are everywhere - in our supplies, in our barracks! Eradicate their nest in the Spires of Arak before they overrun us.",0,0,0,0,2,3,1,2,15,824,0,107,0,15,27780,30,100,0,14400,0,129600,0,1500,0,0,0,0,1,0,0
131,The Infernals' Fury,Talador,"Infernals are an uncommon sight in Talador. We'd like to keep it that way. The more that are destroyed, the better.",0,0,0,0,2,3,1,2,15,824,0,105,0,16,27780,30,100,0,14400,0,129600,0,1500,0,0,0,0,1,0,0
132,The Basilisk's Stare,Spires of Arak,"Basilisks have turned some arakkoa in the Spires of Arak to stone. It's macabre, but this stone is a precious resource. Gather it carefully.",0,0,0,0,2,3,1,2,0,824,0,107,0,15,27780,30,100,0,21600,0,129600,0,1500,0,0,0,0,1,0,0
133,Elemental Territory,Frostfire Ridge,A group of territorial elementals has claimed an area near our supply route in Frostfire Ridge. Slay them and collect any lost supplies.,0,0,0,0,2,3,1,2,0,824,0,101,0,18,27780,30,100,0,21600,0,129600,0,1500,0,0,0,0,1,0,0
