ID,SoundEntriesIDDay,SoundEntriesIDNight,SoundAmbienceID
125,25245,25245,757
131,25500,25500,770
132,25500,25500,775
133,25500,25500,778
134,25500,25500,779
135,25539,25539,779
136,25540,25540,779
137,25541,25541,778
150,25539,25539,796
152,25604,25604,801
153,25604,25604,804
154,25610,25610,805
155,25500,25500,806
158,25644,25644,809
159,25644,25644,806
170,25855,25855,829
171,25856,25856,829
172,25857,25857,829
173,25858,25858,829
215,26776,0,902
217,27189,27189,958
218,27189,27189,937
219,27190,27190,960
220,27189,27189,960
221,27186,27186,962
222,27187,27187,952
223,27187,27187,954
225,27222,27222,965
228,27231,27231,968
230,27235,27235,970
232,27189,27189,971
233,27235,27235,972
235,27238,27239,973
239,27243,27243,976
240,27244,27244,976
241,27246,27246,977
242,27246,27246,978
243,27248,27248,979
246,27253,27253,982
247,27253,27253,983
248,27188,27188,983
249,27253,27253,984
254,32023,32023,985
255,27243,27243,985
261,27271,27271,991
262,27244,27244,993
273,26776,0,1005
276,31824,31824,1007
277,31841,31841,1010
279,27188,27188,1013
280,31923,31923,1014
281,26776,26776,1014
282,31924,31924,1014
283,31824,31824,1015
284,31824,31824,1016
285,31981,31981,1016
286,31979,31979,1016
287,31824,31824,1017
288,31981,31981,1017
289,31980,31980,1017
290,32010,32010,985
291,27190,27190,1018
294,32091,32091,1019
296,32095,32095,1019
297,32094,32094,1019
298,32092,32092,1019
299,32091,32091,1021
300,32095,32095,1021
301,32094,32094,1021
302,32092,32092,1021
304,32081,32081,997
305,32084,32080,918
315,32166,32166,1029
316,32165,32165,1029
317,32756,32756,1029
319,32177,32177,1031
320,32179,32179,1031
321,32180,32180,1031
322,32183,32183,1032
323,32188,0,1033
325,32259,32259,1036
326,32177,32177,1037
327,32177,32177,1038
328,32267,32267,1038
329,32757,32757,1029
330,27189,27189,1042
331,32974,32974,1042
332,27186,27186,1042
333,32023,32023,1042
335,33056,33056,1018
336,32080,32083,1043
337,33117,33117,1043
338,33118,33118,1043
339,33173,33173,1044
341,33214,33214,1046
342,33213,33213,1046
343,33212,33212,1046
344,33257,33257,1046
345,27187,27187,1047
346,33287,33287,1047
347,33350,33350,916
348,33348,33348,916
349,33347,33347,918
350,0,33349,919
351,0,33352,919
352,33392,33392,919
353,33343,33343,1048
354,33350,33350,996
355,33395,33395,996
356,33348,33348,996
357,33413,33413,997
358,33214,33214,1049
359,33213,33213,1049
360,33212,33212,1049
361,33257,33257,1049
362,32756,32756,1050
363,32756,32756,1051
364,32756,32756,1052
365,25500,25500,1052
366,25500,25500,1051
