SourceText_lang,ID,ItemID,PvpFaction,SourceTypeEnum,SpellID
|cFFFFD200Profession Trainer: |rClassic Leatherworking (15)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2532,0,-1,3,2153
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes,2534,0,0,0,2158
|cFFFFD200Profession Trainer: |rClassic Leatherworking (85)|n|cFFFFD200Cost: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2535,0,-1,3,2159
|cFFFFD200Profession Trainer: |rClassic Leatherworking (40)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2536,0,-1,3,2160
|cFFFFD200Profession Trainer: |rClassic Leatherworking (55)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2537,0,-1,3,2161
|cFFFFD200Profession Trainer: |rClassic Leatherworking (60)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2538,0,-1,3,2162
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes,2539,0,0,0,2163
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes,2540,0,0,0,2164
|cFFFFD200Profession Trainer: |rClassic Leatherworking (100)|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2541,0,-1,3,2165
|cFFFFD200Profession Trainer: |rClassic Leatherworking (120)|n|cFFFFD200Cost: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2542,0,-1,3,2166
|cFFFFD200Profession Trainer: |rClassic Leatherworking (100)|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2543,0,-1,3,2167
|cFFFFD200Profession Trainer: |rClassic Leatherworking (110)|n|cFFFFD200Cost: |r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2544,0,-1,3,2168
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes,2545,0,0,0,2169
|cFFFFD200Profession Trainer: |rClassic Alchemy (25)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2549,0,-1,3,2331
|cFFFFD200Profession Trainer: |rClassic Alchemy (40)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2550,0,-1,3,2332
|cFFFFD200Profession Trainer: |rClassic Alchemy (50)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2551,0,-1,3,2334
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes,2552,0,0,0,2335
|cFFFFD200Profession Trainer: |rClassic Alchemy (55)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2553,0,-1,3,2337
|cFFFFD200Profession Trainer: |rClassic Mining (65)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2561,0,-1,3,2658
|cFFFFD200Profession Trainer: |rClassic Mining (50)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2562,0,-1,3,2659
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (35)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t30|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2564,0,-1,3,2661
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (1)|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2565,0,-1,3,2662
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (90)|n|cFFFFD200Cost: |r6|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2567,0,-1,3,2664
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (65)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2568,0,-1,3,2665
