ID,StorageIndex,Type,Field_11_2_5_62554_003
1,1,0,1095
2,2,1,0
3,3,0,0
4,4,0,0
5,5,0,0
6,6,0,0
7,7,0,0
8,8,0,0
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0
13,13,0,0
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,0,0
19,19,0,0
21,20,0,0
22,21,1,0
23,22,0,0
24,23,0,0
25,24,0,0
26,25,0,0
27,26,0,0
28,27,0,0
29,28,0,0
30,29,0,0
31,30,0,0
32,31,0,0
33,32,0,0
34,33,0,0
35,34,0,0
36,35,0,0
37,36,0,0
38,37,0,0
39,38,0,0
40,39,0,0
41,40,0,0
42,41,0,0
43,42,0,0
44,43,0,0
45,44,0,0
46,45,0,0
47,46,0,0
48,47,0,0
49,48,0,0
50,49,0,0
51,50,0,0
52,51,0,0
53,52,0,0
54,53,0,0
55,54,0,0
56,55,0,0
58,56,0,0
59,57,0,0
60,58,0,0
61,59,1,0
62,60,1,0
63,61,0,0
64,62,0,0
70,68,0,0
71,69,0,0
72,70,0,0
73,71,0,0
74,72,0,0
75,73,0,0
76,74,0,0
77,75,0,0
78,76,0,0
79,77,0,0
80,78,0,0
81,79,0,0
82,80,0,0
83,81,0,0
84,82,0,0
85,83,0,0
86,84,0,0
87,85,0,0
88,86,0,0
89,87,0,0
90,88,0,0
91,89,0,0
92,90,0,0
93,91,0,0
95,93,0,0
96,94,0,0
111,95,0,0
112,96,0,0
113,97,0,0
114,98,0,0
115,99,0,0
116,100,0,0
117,101,0,0
118,102,0,0
119,103,0,0
120,104,0,0
121,105,0,0
122,106,0,0
123,107,0,0
124,108,0,0
125,109,0,0
126,110,0,0
127,111,0,0
128,112,0,0
133,117,0,0
134,118,0,0
135,119,0,0
136,120,0,0
137,121,0,0
138,122,0,0
139,123,0,0
140,124,0,0
141,125,0,0
142,126,0,0
143,127,0,0
144,128,0,0
145,129,0,0
146,130,0,0
147,131,0,0
148,132,0,0
149,133,0,0
150,134,0,0
151,135,0,0
152,136,0,0
153,137,0,0
154,138,0,0
155,139,0,0
156,140,0,0
157,141,0,0
158,142,0,0
169,153,0,0
172,156,0,0
178,162,0,0
179,163,1,0
