Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID,HiddenBeforeDisplaySeason,LegacyAfterTimeEvent
"Explore Dun Morogh, revealing the covered areas of the world map.",Explore Dun Morogh,,627,-1,-1,0,14777,0,0,0,7,236755,0,126372,0,0,0,0
Defeat Onyxia.,Conqueror of the Lair,Earn 1 Legacy Point.,684,249,-1,0,15594,1,1,134349824,6,254650,0,230797,0,0,0,0
"Explore Durotar, revealing the covered areas of the world map.",Explore Durotar,,728,-1,-1,0,14778,0,0,0,6,236756,0,126894,0,0,0,0
"Explore Mulgore, revealing the covered areas of the world map.",Explore Mulgore,,736,-1,-1,0,14778,0,0,0,12,236809,0,124127,0,0,0,0
"Explore The Barrens, revealing the covered areas of the world map.",Explore The Barrens,,750,-1,-1,0,14778,0,0,0,3,236717,0,124142,0,0,0,0
"Explore Alterac Mountains, revealing the covered areas of the world map.",Explore Alterac Mountains,,760,-1,-1,0,14777,0,0,0,1,236711,0,121233,0,0,0,0
"Explore Arathi Highlands, revealing the covered areas of the world map.",Explore Arathi Highlands,,761,-1,-1,0,14777,0,0,0,2,236712,0,127332,0,0,0,0
"Explore Badlands, revealing the covered areas of the world map.",Explore Badlands,,765,-1,-1,0,14777,0,0,0,3,236716,0,127635,0,0,0,0
"Explore Blasted Lands, revealing the covered areas of the world map.",Explore Blasted Lands,,766,-1,-1,0,14777,0,0,0,4,236720,0,125312,0,0,0,0
"Explore Tirisfal Glades, revealing the covered areas of the world map.",Explore Tirisfal Glades,,768,-1,-1,0,14777,0,0,0,20,236849,0,125988,0,0,0,0
"Explore Silverpine Forest, revealing the covered areas of the world map.",Explore Silverpine Forest,,769,-1,-1,0,14777,0,0,0,17,236830,0,126298,0,0,0,0
"Explore Western Plaguelands, revealing the covered areas of the world map.",Explore Western Plaguelands,,770,-1,-1,0,14777,0,0,0,21,236851,0,127596,0,0,0,0
"Explore Eastern Plaguelands, revealing the covered areas of the world map.",Explore Eastern Plaguelands,,771,-1,-1,0,14777,0,0,0,9,236760,0,124270,0,0,0,0
"Explore Hillsbrad Foothills, revealing the covered areas of the world map.",Explore Hillsbrad Foothills,,772,-1,-1,0,14777,0,0,0,11,236779,0,121989,0,0,0,0
"Explore The Hinterlands, revealing the covered areas of the world map.",Explore The Hinterlands,,773,-1,-1,0,14777,0,0,0,12,236780,0,126314,0,0,0,0
"Explore Searing Gorge, revealing the covered areas of the world map.",Explore Searing Gorge,,774,-1,-1,0,14777,0,0,0,16,236815,0,125547,0,0,0,0
"Explore Burning Steppes, revealing the covered areas of the world map.",Explore Burning Steppes,,775,-1,-1,0,14777,0,0,0,5,236734,0,127541,0,0,0,0
