ID,Flags,FlagsB,TurnSpeed,PitchSpeed,PitchMin,PitchMax,MouseLookOffsetPitch,CameraFadeDistScalarMin,CameraFadeDistScalarMax,CameraPitchOffset,FacingLimitRight,FacingLimitLeft,CameraYawOffset,VehicleUIIndicatorID,MissileTargetingID,VehiclePOITypeID,SeatID[0],SeatID[1],SeatID[2],SeatID[3],SeatID[4],SeatID[5],SeatID[6],SeatID[7],PowerDisplayID[0],PowerDisplayID[1],PowerDisplayID[2]
8339,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,23950,0,0,0,0,0,0,0,0,0,0
8398,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24047,0,0,0,0,0,0,0,0,0,0
8432,1073741860,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24098,0,0,0,0,0,0,0,0,0,0
8435,1073741860,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24117,0,0,0,0,0,0,0,0,0,0
8436,1073741860,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24118,0,0,0,0,0,0,0,0,0,0
8437,1073741860,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24119,0,0,0,0,0,0,0,0,0,0
8438,1073741860,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24120,0,0,0,0,0,0,0,0,0,0
8470,1073877039,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24186,0,0,0,0,0,0,0,0,0,0
8486,1073872896,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24238,0,0,0,0,0,0,0,0,0,0
8490,-1073606617,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24254,24258,24259,24260,24273,0,0,0,0,0,0
8524,1073876999,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24329,0,24330,0,0,0,0,0,0,0,0
8644,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24684,0,0,0,0,0,0,0,0,0,0
8733,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24871,0,0,0,0,0,0,0,0,0,0
8736,1073872928,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24878,0,0,0,0,0,0,0,0,0,0
8739,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24884,0,0,0,0,0,0,0,0,0,0
8755,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,24905,24917,0,0,0,0,0,0,0,0,0
8890,1073745959,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25141,0,0,0,0,0,0,0,0,0,0
8902,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25160,25161,0,0,0,0,0,0,0,0,0
8903,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25162,0,0,0,0,0,0,0,0,0,0
8939,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25233,0,0,0,0,0,0,0,0,0,0
8950,1073745959,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25259,0,0,0,0,0,0,0,0,0,0
8952,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25262,25263,0,0,0,0,0,0,0,0,0
8996,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25337,0,0,0,0,0,0,0,0,0,0
9001,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25356,0,0,0,0,0,0,0,0,0,0
9018,-1073741824,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25393,0,0,0,0,0,0,0,0,0,0
9069,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25464,0,0,0,0,0,0,0,0,0,0
9088,1326125095,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,1057,0,25491,25537,25540,25541,25544,26093,0,0,0,0,0
9104,-1073610752,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25513,0,0,0,0,0,0,0,0,0,0
9106,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25520,0,0,0,0,0,0,0,0,0,0
9118,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25548,0,0,0,0,0,0,0,0,0,0
9128,1326125095,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,1057,0,25567,25568,25569,25570,25571,25572,0,0,0,0,0
9138,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25592,0,0,0,0,0,0,0,0,0,0
9139,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25593,0,0,0,0,0,0,0,0,0,0
9140,1326125095,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,1057,0,25594,25595,25596,25597,25598,25599,0,0,0,0,0
9156,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25683,0,0,0,0,0,0,0,0,0,0
9158,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25686,25687,0,0,0,0,0,0,0,0,0
9167,1879179687,0,0.34906584,1.0471976,0,0,0.7853982,1,1.5,0,0,0,0,0,0,23,25740,0,25736,25737,25738,25739,25741,0,0,0,0
9169,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25744,0,0,0,0,0,0,0,0,0,0
9171,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25746,0,0,0,0,0,0,0,0,0,0
9186,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25783,0,0,0,0,0,0,0,0,0,0
9187,1073872896,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25784,0,0,0,0,0,0,0,0,0,0
9197,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25802,0,0,0,0,0,0,0,0,0,0
9200,1075974151,0,0.017453292,0.017453292,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25805,0,0,0,0,0,0,0,0,0,0
9202,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25807,25808,0,0,0,0,0,0,0,0,0
9203,1610743808,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25809,0,0,0,0,0,0,0,0,0,0
9210,1073877031,0,3.1415927,3.1415927,0,0,0.7853982,1,1.5,0,0,0,0,0,0,0,25825,0,0,0,0,0,0,0,0,0,0
