ID,ParticulateID,DaySound,NightSound,EnterSound,ExitSound
6,206,0,0,0,0
113,310,0,0,0,0
117,185,0,0,0,0
118,195,0,0,0,0
120,203,0,0,0,0
148,174,0,0,0,0
149,181,0,0,0,0
150,183,0,0,0,0
154,333,0,0,0,0
155,334,0,0,0,0
156,335,0,0,0,0
165,341,0,0,0,0
166,342,0,0,0,0
167,343,0,0,0,0
168,344,0,0,0,0
170,346,0,0,0,0
171,347,0,0,0,0
172,348,0,0,0,0
173,349,0,0,0,0
174,350,0,0,0,0
175,351,0,0,0,0
176,352,0,0,0,0
177,353,0,0,0,0
178,354,0,0,0,0
179,355,0,0,0,0
180,356,0,0,0,0
181,357,0,0,0,0
182,358,0,0,0,0
183,359,0,0,0,0
184,360,0,0,0,0
185,361,0,0,0,0
186,362,0,0,0,0
187,363,0,0,0,0
188,364,0,0,0,0
190,366,0,0,0,0
191,205,0,0,0,0
192,367,0,0,0,0
193,368,0,0,0,0
194,369,0,0,0,0
195,370,0,0,0,0
196,371,0,0,0,0
197,372,0,0,0,0
198,373,0,0,0,0
199,374,0,0,0,0
200,375,0,0,0,0
201,376,0,0,0,0
202,377,0,0,0,0
203,378,0,0,0,0
204,379,0,0,0,0
205,380,0,0,0,0
206,381,0,0,0,0
209,384,0,0,0,0
210,385,0,0,0,0
211,386,0,0,0,0
212,387,0,0,0,0
213,388,0,0,0,0
214,389,0,0,0,0
215,390,0,0,0,0
216,391,0,0,0,0
217,392,0,0,0,0
219,394,0,0,0,0
220,395,0,0,0,0
221,396,0,0,0,0
222,397,0,0,0,0
223,398,0,0,0,0
224,399,0,0,0,0
225,400,0,0,0,0
226,401,0,0,0,0
227,402,0,0,0,0
228,403,0,0,0,0
229,404,0,0,0,0
230,405,0,0,0,0
231,406,0,0,0,0
232,407,0,0,0,0
233,408,0,0,0,0
234,409,0,0,0,0
235,410,0,0,0,0
236,411,0,0,0,0
237,412,0,0,0,0
238,413,0,0,0,0
239,414,0,0,0,0
240,415,0,0,0,0
241,416,0,0,0,0
242,417,0,0,0,0
243,418,0,0,0,0
244,419,0,0,0,0
245,420,0,0,0,0
246,421,0,0,0,0
247,422,0,0,0,0
248,423,0,0,0,0
249,424,0,0,0,0
250,425,0,0,0,0
251,426,0,0,0,0
252,427,0,0,0,0
253,428,0,0,0,0
254,429,0,0,0,0
255,430,0,0,0,0
256,431,0,0,0,0
257,432,0,0,0,0
258,433,0,0,0,0
259,434,0,0,0,0
260,435,0,0,0,0
261,436,0,0,0,0
262,437,0,0,0,0
263,438,0,0,0,0
265,440,0,0,0,0
268,443,0,0,0,0
269,444,0,0,0,0
302,469,0,0,0,0
303,470,0,0,0,0
304,471,0,0,0,0
305,472,0,0,0,0
306,473,0,0,0,0
307,474,0,0,0,0
308,475,0,0,0,0
313,480,0,0,0,0
314,481,0,0,0,0
315,482,0,0,0,0
320,487,0,0,0,0
322,489,0,0,0,0
325,492,0,0,0,0
329,496,0,0,0,0
330,497,0,0,0,0
332,499,0,0,0,0
335,502,0,0,0,0
336,503,0,0,0,0
337,504,0,0,0,0
338,505,0,0,0,0
339,506,0,0,0,0
340,507,0,0,0,0
341,508,0,0,0,0
342,509,0,0,0,0
345,512,0,0,0,0
346,513,0,0,0,0
347,514,0,0,0,0
348,515,0,0,0,0
349,516,0,0,0,0
350,517,0,0,0,0
352,519,0,0,0,0
353,520,0,0,0,0
354,521,0,0,0,0
355,522,0,0,0,0
356,523,0,0,0,0
357,524,0,0,0,0
358,525,0,0,0,0
359,526,0,0,0,0
360,527,0,0,0,0
361,528,0,0,0,0
362,529,0,0,0,0
363,530,0,0,0,0
364,531,0,0,0,0
365,532,0,0,0,0
366,533,0,0,0,0
368,535,0,0,0,0
369,536,0,0,0,0
372,538,0,0,0,0
373,539,0,0,0,0
374,540,0,0,0,0
375,541,0,0,0,0
