ID,ItemEffectID,ItemID
6767,108687,34261
6768,108688,34261
6769,107877,34262
6770,107878,34262
6771,108729,34319
6772,108730,34319
10067,10621,46362
72964,103057,21407
73124,103698,21176
73132,103962,23211
73219,138372,184937
73220,138373,184938
89799,98862,11082
89800,100766,16203
89801,98810,10939
89802,99386,11135
89803,98800,11175
89804,101631,10998
89805,100880,16202
89806,98809,10938
89807,99385,11134
89808,98799,11174
89809,97393,2101
89810,97391,2662
89811,97720,3573
89812,97347,3605
89813,97737,5439
89814,97768,7278
89815,98006,7371
89816,98004,8217
89817,99141,11362
89818,102174,18714
89819,102528,19319
93164,100305,647
93165,98737,754
93166,97070,809
93167,97071,810
93168,99146,811
93173,97152,869
93174,101340,870
93175,97087,871
93177,97090,880
93179,97043,899
93180,97149,934
93181,97150,937
93182,97151,940
93186,99138,1131
93187,97111,1168
93188,97112,1168
93189,97279,1204
93190,97207,1254
93192,99147,1263
93193,97114,1265
93194,97060,1318
93195,97356,1387
93197,97226,1481
93198,97231,1482
93205,97165,1726
93206,97166,1727
93207,97261,1728
93208,97193,1933
93209,97239,1979
93210,97256,1982
93211,97202,1986
93215,97404,2000
93217,97392,2099
93218,97455,2163
93219,97476,2164
93220,97422,2205
93222,97489,2243
93224,97330,2256
93225,97414,2263
93228,97423,2291
93229,97337,2299
93237,97433,2824
93238,97434,2825
93242,97484,2912
93243,97493,2915
93244,97820,2942
93250,97435,3194
93251,97637,3278
93252,97554,3336
93254,97368,3475
93256,97294,3822
93258,97710,3854
93259,97601,4090
93261,97604,4248
93262,97964,4262
93263,97557,4264
93268,98000,4328
93271,97976,4444
93272,97977,4446
93273,97946,4449
93274,97979,4491
93276,97893,4696
93278,97966,4956
93281,97904,4984
93282,97883,4985
93283,97824,5182
93286,97895,5323
93287,97922,5387
93288,97797,5426
93289,97949,5522
93291,97812,5613
93292,98192,5616
93293,98185,5752
93294,98261,5756
93295,97874,5815
93296,99195,6182
93297,99230,6220
93298,97808,6331
93303,98115,6469
93304,98024,6472
93305,98016,6622
93306,98108,6660
