ID,Level,ContentSetID,Experience
1,1,0,400
2,2,0,900
3,3,0,1400
4,4,0,2100
5,5,0,2800
6,6,0,3600
7,7,0,4500
8,8,0,5400
9,9,0,6500
10,10,0,7600
11,11,0,8800
12,12,0,10100
13,13,0,11400
14,14,0,12900
15,15,0,14400
16,16,0,16000
17,17,0,17700
18,18,0,19400
19,19,0,21300
20,20,0,23200
21,21,0,25200
22,22,0,27300
23,23,0,29400
24,24,0,31700
25,25,0,34000
26,26,0,36400
27,27,0,38900
28,28,0,41400
29,29,0,44300
30,30,0,47400
31,31,0,50800
32,32,0,54500
33,33,0,58600
34,34,0,62800
35,35,0,67100
36,36,0,71600
37,37,0,76100
38,38,0,80800
39,39,0,85700
40,40,0,90700
41,41,0,95800
42,42,0,101000
43,43,0,106300
44,44,0,111800
45,45,0,117500
46,46,0,123200
47,47,0,129100
48,48,0,135100
49,49,0,141200
50,50,0,147500
51,51,0,153900
52,52,0,160400
53,53,0,167100
54,54,0,173900
55,55,0,180800
56,56,0,187900
57,57,0,195000
58,58,0,202300
59,59,0,209800
60,60,0,217400
61,61,0,225100
62,62,0,232900
63,63,0,240800
64,64,0,248900
65,65,0,257200
66,66,0,265500
67,67,0,274000
68,68,0,282600
69,69,0,291300
70,70,0,300200
71,71,0,309200
72,72,0,318300
73,73,0,327600
74,74,0,337000
75,75,0,346500
76,76,0,356200
77,77,0,365900
78,78,0,375800
79,79,0,385900
80,80,0,396100
81,81,0,406400
82,82,0,416800
83,83,0,427300
84,84,0,438000
85,85,0,448900
86,86,0,459800
87,87,0,470900
88,88,0,482100
89,89,0,493400
90,90,0,504900
91,91,0,516500
92,92,0,528200
93,93,0,540100
94,94,0,552100
95,95,0,564200
96,96,0,576500
97,97,0,588800
98,98,0,601300
99,99,0,614000
100,100,0,626800
101,101,0,99999999
102,102,0,99999999
103,103,0,99999999
104,104,0,99999999
105,105,0,99999999
106,106,0,99999999
107,107,0,99999999
108,108,0,99999999
109,109,0,99999999
110,110,0,99999999
111,111,0,99999999
112,112,0,99999999
113,113,0,99999999
114,114,0,99999999
115,115,0,99999999
116,116,0,99999999
117,117,0,99999999
118,118,0,99999999
119,119,0,99999999
120,120,0,99999999
121,121,0,99999999
122,122,0,99999999
123,123,0,99999999
