ID,Fourcc,SpellVisualKitID,Flags,CreatureDisplayInfoID
1,827475492,81496,0,74148
2,827082276,81495,0,74148
3,810305060,72105,0,74148
4,810698276,81284,0,74148
11,860636708,81493,0,75532
12,844252708,81492,0,75532
13,860636708,81491,0,75532
14,861029924,81494,0,75532
15,860636708,81504,0,74303
16,861029924,81501,0,74303
17,843859492,81502,0,74303
18,844252708,81503,0,74303
19,844252708,81499,0,75533
20,843859492,81498,0,75533
21,861029924,81497,0,75533
22,860636708,81500,0,75533
23,810698276,83348,0,75533
24,810305060,83349,0,75533
25,827475492,83350,0,75533
26,827082276,83351,0,75533
27,810698276,83352,0,75532
28,810305060,83353,0,75532
29,827475492,83354,0,75532
30,827082276,83355,0,75532
31,810698276,83356,0,74303
32,810305060,83357,0,74303
33,827475492,83358,0,74303
34,827082276,83359,0,74303
35,810698276,83323,1,74148
36,810305060,83322,1,74148
37,827475492,83325,1,74148
38,827082276,83324,1,74148
39,827082276,83413,0,74149
40,827082276,83402,1,74149
41,827475492,83414,0,74149
42,827475492,83403,1,74149
43,810305060,83415,0,74149
44,810305060,83404,1,74149
45,810698276,83416,0,74149
46,810698276,83405,1,74149
47,827082276,83410,0,74150
48,827082276,83398,1,74150
49,827475492,83417,0,74150
50,827082276,83400,1,74150
51,810305060,83411,0,74150
52,810305060,83399,1,74150
53,810698276,83412,0,74150
54,810698276,83401,1,74150
55,827082276,83413,0,74151
56,827082276,83402,1,74151
57,827475492,83414,0,74151
58,827475492,83403,1,74151
59,810305060,83415,0,74151
60,810305060,83404,1,74151
61,810698276,83416,0,74151
62,810698276,83405,1,74151
63,810698276,85979,1,0
64,827475492,85979,1,0
65,810305060,85979,1,0
66,827082276,85979,1,0
