ID,ExpectedStatModID,MinMythicPlusSeasonID,MaxMythicPlusSeasonID,ContentTuningID
13,5,0,0,500
14,12,0,0,500
16,13,0,0,501
17,128,0,0,704
18,14,0,0,704
20,14,0,0,502
21,136,0,0,689
22,15,0,0,689
23,136,0,0,695
24,15,0,0,695
25,134,0,0,722
26,15,0,0,722
27,7,0,0,506
28,15,0,0,506
29,135,0,0,686
30,16,0,0,686
31,135,0,0,698
32,16,0,0,698
33,128,0,0,719
34,16,0,0,719
35,8,0,0,503
36,16,0,0,503
37,134,0,0,687
38,17,0,0,687
39,134,0,0,697
40,17,0,0,697
41,143,0,0,720
42,17,0,0,720
43,9,0,0,504
44,17,0,0,504
45,128,0,0,688
46,18,0,0,688
47,179,0,0,684
48,18,0,0,684
49,128,0,0,696
50,18,0,0,696
51,151,0,0,721
52,18,0,0,721
53,10,0,0,505
54,18,0,0,505
55,6,0,0,644
56,121,0,0,644
57,6,0,0,670
58,121,0,0,670
59,5,0,0,289
60,122,0,0,289
61,7,0,0,645
62,123,0,0,645
63,7,0,0,290
64,124,0,0,290
67,143,0,0,736
68,148,0,0,736
69,6,0,0,718
70,7,0,0,723
71,8,0,0,724
74,10,0,0,726
75,119,0,0,650
77,119,0,0,337
78,120,0,0,494
79,125,0,0,617
81,125,0,0,336
82,125,0,0,347
83,125,0,0,431
84,126,0,0,335
85,127,0,0,480
86,127,0,0,484
88,127,0,0,486
89,127,0,0,488
90,127,0,0,331
91,127,0,0,332
92,127,0,0,333
93,127,0,0,334
94,127,0,0,339
95,127,0,0,343
96,127,0,0,346
97,127,0,0,446
98,127,0,0,499
99,128,0,0,728
100,128,0,0,729
101,129,0,0,618
102,129,0,0,619
103,129,0,0,620
104,129,0,0,621
105,129,0,0,622
106,129,0,0,624
107,129,0,0,625
108,129,0,0,626
109,129,0,0,627
110,129,0,0,634
111,129,0,0,635
112,129,0,0,636
113,129,0,0,639
114,129,0,0,640
115,129,0,0,641
116,129,0,0,498
117,130,0,0,699
118,131,0,0,637
119,131,0,0,638
120,131,0,0,476
121,131,0,0,477
122,132,0,0,672
123,132,0,0,710
124,134,0,0,727
125,134,0,0,690
126,134,0,0,713
127,158,0,0,465
128,136,0,0,693
129,136,0,0,725
130,137,0,0,439
131,138,0,0,440
135,143,0,0,737
136,146,0,0,737
146,135,0,0,740
147,155,0,0,720
148,155,0,0,704
149,155,0,0,719
150,155,0,0,722
151,155,0,0,736
152,155,0,0,721
154,167,0,0,737
155,143,0,0,703
156,155,0,0,703
157,127,0,0,773
