ID,AttachmentID,DisplayWeaponSubclassID,SpellVisualKitID,AttachmentModelFileID,Scale,ItemVisualsID
2,7,-1,117458,2086123,1,456
5,0,10,117523,0,1,456
12,0,10,117523,0,1,464
13,7,-1,117458,2086123,1,464
16,7,7,118105,0,1,465
21,7,7,118105,3059438,1,466
22,1,-1,0,804539,1,257
23,2,-1,0,804539,1,257
24,3,-1,0,804539,1,257
25,4,-1,0,804539,1,257
26,5,-1,0,804539,1,257
27,3,-1,0,527951,1,265
28,1,-1,0,463287,1,266
29,2,-1,0,463287,1,266
30,5,-1,0,463287,1,266
31,2,-1,0,166017,1,270
32,4,-1,0,166018,1,270
33,5,-1,0,166020,1,270
34,1,-1,0,613807,1,247
35,3,-1,0,613807,1,247
36,1,-1,0,464037,1,253
37,5,-1,0,464037,1,253
38,1,-1,0,166331,1,243
39,2,-1,0,166331,1,243
40,3,-1,0,166331,1,243
41,4,-1,0,166331,1,243
42,5,-1,0,166331,1,243
43,1,-1,0,165995,1,239
44,2,-1,0,166006,1,239
45,3,-1,0,165995,1,239
46,4,-1,0,166006,1,239
47,5,-1,0,165995,1,239
48,4,-1,0,166918,1,244
49,4,-1,0,527951,1,245
50,1,-1,0,524053,1,220
51,2,-1,0,524053,1,220
52,3,-1,0,524053,1,220
53,4,-1,0,524053,1,220
54,5,-1,0,524053,1,220
55,1,-1,0,166033,1,213
56,2,-1,0,166033,1,213
57,3,-1,0,166033,1,213
58,4,-1,0,166033,1,213
59,5,-1,0,166033,1,213
60,1,-1,0,527951,1,222
61,3,-1,0,527951,1,222
62,5,-1,0,527951,1,222
63,1,-1,0,241018,1,219
64,2,-1,0,241018,1,219
65,3,-1,0,241018,1,219
66,4,-1,0,241018,1,219
67,5,-1,0,241018,1,219
68,1,-1,0,462741,1,201
69,2,-1,0,166004,1,201
70,3,-1,0,166003,1,201
71,4,-1,0,166004,1,201
72,5,-1,0,166003,1,201
73,4,-1,0,166497,1,179
74,2,-1,0,165995,1,180
75,4,-1,0,165996,1,180
76,1,-1,0,240866,1,181
77,2,-1,0,240866,1,181
78,3,-1,0,240866,1,181
79,4,-1,0,240866,1,181
80,5,-1,0,240866,1,181
81,1,-1,0,166012,1,178
82,2,-1,0,166012,1,178
83,3,-1,0,166015,1,178
84,4,-1,0,166012,1,178
85,5,-1,0,166015,1,178
86,1,-1,0,166003,1,169
87,2,-1,0,166003,1,169
88,3,-1,0,166003,1,169
89,4,-1,0,166003,1,169
90,5,-1,0,166003,1,169
91,2,-1,0,166492,1,174
92,4,-1,0,166492,1,174
93,4,-1,0,166838,1,175
94,4,-1,0,166000,1,176
95,5,-1,0,166000,1,176
96,1,-1,0,166382,1,167
97,2,-1,0,166124,1,167
98,1,-1,0,166031,1,166
99,2,-1,0,166031,1,166
100,3,-1,0,166396,1,166
101,4,-1,0,166031,1,166
102,5,-1,0,166396,1,166
103,5,-1,0,166158,1,135
104,1,-1,0,166034,1,102
105,2,-1,0,166034,1,102
106,3,-1,0,166034,1,102
107,4,-1,0,166034,1,102
108,5,-1,0,166034,1,102
109,1,-1,0,166032,1,103
110,2,-1,0,166032,1,103
111,3,-1,0,166032,1,103
112,4,-1,0,166032,1,103
113,5,-1,0,166032,1,103
114,4,-1,0,166021,1,61
115,4,-1,0,166022,1,81
116,1,-1,0,166005,1,125
117,2,-1,0,166005,1,125
118,3,-1,0,166005,1,125
119,4,-1,0,166005,1,125
120,5,-1,0,166005,1,125
121,2,-1,0,166033,1,129
122,3,-1,0,166033,1,129
123,4,-1,0,166033,1,129
124,5,-1,0,166033,1,129
125,4,-1,0,166020,1,133
126,1,-1,0,240835,1,1
127,2,-1,0,240835,1,1
128,3,-1,0,240835,1,1
129,4,-1,0,240835,1,1
130,5,-1,0,240835,1,1
131,1,-1,0,165998,1,2
132,2,-1,0,165998,1,2
133,3,-1,0,165998,1,2
134,4,-1,0,165998,1,2
135,5,-1,0,165998,1,2
136,1,-1,0,166011,1,25
137,2,-1,0,166011,1,25
138,3,-1,0,166011,1,25
139,4,-1,0,166011,1,25
140,5,-1,0,166011,1,25
141,1,-1,0,165996,1,24
142,2,-1,0,165996,1,24
143,3,-1,0,165996,1,24
144,4,-1,0,165996,1,24
145,5,-1,0,165996,1,24
146,6,-1,0,166007,1,26
147,1,-1,0,165995,1,27
148,2,-1,0,165995,1,27
149,3,-1,0,165995,1,27
150,4,-1,0,165995,1,27
