ID,ScreenEffectID,ScreenEffectTypeID
1,21,2
2,1836,2
3,1837,2
4,1834,2
5,1838,2
6,1842,2
7,1844,2
8,1845,2
9,1846,2
10,1847,2
11,1848,2
12,1262,5
13,1803,5
14,1819,1
15,1894,1
17,1677,4
19,1929,5
20,1929,5
21,961,1
23,2013,1
24,1977,1
25,1634,5
26,1315,0
29,1692,7
30,1634,5
31,1634,7
36,1636,5
41,2071,4
42,1975,5
44,2096,0
46,2112,7
47,2113,7
48,2112,7
52,1928,0
54,1631,0
57,1332,0
61,2183,5
64,2181,4
65,2181,4
66,2200,7
72,2186,5
73,1629,5
74,1630,5
75,1633,4
76,1633,5
77,1255,5
83,1633,5
84,2022,5
85,2264,7
86,1631,5
87,1125,7
88,1124,7
89,1126,7
90,2284,3
