ID,ZoneIntroMusicID,ZoneMusicID,Flags
2,1234,1810,0
3,0,2822,0
4,0,2821,0
5,0,2812,0
6,0,2816,0
7,0,2825,0
8,0,2824,0
9,1628,2823,0
10,0,2817,0
11,0,2818,0
12,1627,2819,0
13,1632,2813,0
14,1634,0,0
15,0,2898,0
16,0,2927,0
17,0,2938,0
18,0,2979,0
19,0,2978,0
20,0,2982,0
21,1640,2991,0
22,0,2867,0
23,0,2980,0
24,0,2984,0
25,0,2986,0
26,0,2988,0
27,0,2999,0
28,0,2872,0
29,0,3001,0
30,0,2874,0
31,0,3002,0
32,1642,3003,0
33,0,3004,0
34,0,3005,0
35,0,2870,0
36,0,3000,0
37,0,2873,0
38,0,2871,0
39,0,3023,0
40,0,2868,0
41,0,3016,0
42,0,3019,0
43,0,3020,0
44,0,3021,0
45,0,3022,0
46,0,3018,0
47,0,3015,0
48,1649,3044,0
49,0,3046,0
50,0,3047,0
51,0,3045,0
52,0,3032,0
53,0,3042,0
54,0,3043,0
55,0,3039,0
56,0,3041,0
57,0,2897,0
58,0,3070,0
59,0,2916,0
60,0,3038,0
61,0,2990,0
62,0,2869,0
63,0,2864,0
64,0,3074,0
