ID,AreaID,WMOAreaID,PhaseID,PhaseGroupID,PhaseUseFlags,ZoneIntroMusicID,ZoneMusicID,SoundAmbienceID,SoundProviderPreferencesID,UWZoneIntroMusicID,UWZoneMusicID,UWSoundAmbienceID,UWSoundProviderPreferencesID
32,4737,0,0,563,0,0,0,658,0,0,0,0,0
33,5596,0,297,0,0,0,902,581,0,0,0,0,0
34,278,0,365,0,0,0,946,0,0,0,0,0,0
35,278,0,393,0,0,0,946,0,0,0,0,0,0
55,5785,0,0,755,0,0,1132,1046,0,0,0,675,0
57,6209,0,0,745,0,0,1132,0,0,0,0,0,0
58,5785,0,0,756,0,0,1132,1049,0,0,0,675,0
65,6000,0,1876,0,0,0,1278,575,0,0,0,0,0
66,6000,0,669,0,0,0,1133,576,0,0,0,0,0
69,141,0,2085,0,0,1080,1335,0,0,0,0,0,0
70,141,0,2050,0,0,0,1335,0,0,0,0,0,0
71,1657,0,2063,0,0,1080,1335,0,0,0,0,0,0
72,6369,0,2016,0,0,1076,1330,0,0,0,0,0,0
73,6369,0,2090,0,0,0,1330,0,0,0,0,0,0
74,6468,0,0,766,0,0,1324,1067,0,0,0,0,0
75,362,0,2297,0,0,1105,1377,0,0,0,0,0,0
76,6747,0,2297,0,0,1105,1377,0,0,0,0,0,0
82,6785,0,2572,0,0,0,0,1173,0,0,0,0,0
83,6931,0,2572,0,0,0,0,1173,0,0,0,0,0
85,6943,0,2572,0,0,0,0,1173,0,0,0,0,0
86,6944,0,2572,0,0,0,0,1173,0,0,0,0,0
88,6722,0,3767,0,0,0,1509,0,0,0,0,0,0
89,7317,0,3888,0,0,0,1510,0,0,0,0,0,0
90,6945,0,3974,0,0,0,1543,0,0,0,0,0,0
91,6792,0,2593,0,0,0,1543,0,0,0,0,0,0
93,6793,0,3456,0,0,0,1457,0,0,0,0,0,0
96,513,0,0,0,0,0,1563,0,0,0,0,0,0
97,6930,0,2572,0,0,0,1565,1169,0,0,0,0,0
98,4411,0,6666,0,0,0,1656,1509,85,0,0,0,0
99,4411,0,5286,0,0,0,0,1512,0,0,0,0,0
100,7656,0,6967,0,0,0,1669,0,0,0,0,0,0
101,7534,0,6967,0,0,0,1669,0,0,0,0,0,0
102,8234,0,5513,0,0,0,1710,0,0,0,0,0,0
103,8234,0,5552,0,0,0,1711,0,0,0,0,0,0
104,1519,0,5513,0,0,0,1710,0,0,0,0,0,0
105,4411,0,5513,0,0,0,1710,0,0,0,0,0,0
106,5151,0,5513,0,0,0,1710,0,0,0,0,0,0
107,6292,0,5513,0,0,0,1710,0,0,0,0,0,0
108,6292,0,5552,0,0,0,1711,0,0,0,0,0,0
109,1519,0,5552,0,0,0,1711,0,0,0,0,0,0
110,8456,0,5552,0,0,0,1711,0,0,0,0,0,0
111,8434,0,7725,0,0,0,0,1521,0,0,0,675,0
112,8384,0,7725,0,0,0,0,1521,0,0,0,675,0
113,8382,0,7725,0,0,0,0,1521,0,0,0,675,0
114,245,0,7892,0,0,0,1379,0,0,0,0,0,0
218,415,0,0,1012,0,0,2047,0,0,0,0,0,0
219,415,0,11815,0,0,0,2047,0,0,0,0,0,0
224,1519,0,10560,0,0,1389,0,0,0,0,0,0,0
231,148,0,11351,0,0,1394,2103,0,0,0,0,0,0
233,148,0,11793,0,0,1394,2103,0,0,0,0,0,0
237,3433,0,12015,0,0,0,2190,0,0,0,0,0,0
238,3430,0,12062,0,0,1444,2190,0,0,0,0,0,0
239,4080,0,12367,0,0,0,2190,0,0,0,0,0,0
240,4092,0,12367,0,0,0,2190,0,0,0,0,0,0
241,4092,0,12109,0,0,0,2190,0,0,0,0,0,0
242,5342,0,12362,0,0,0,2191,0,0,0,0,0,0
248,9011,0,12046,0,0,1460,2224,0,0,0,0,0,0
249,9601,0,12046,0,0,0,2224,0,0,0,0,0,0
250,9263,0,12046,0,0,0,2224,0,0,0,0,0,0
251,9337,0,12046,0,0,0,2224,0,0,0,0,0,0
252,9697,0,11227,0,0,0,2226,0,0,0,0,0,0
253,9696,0,11227,0,0,0,2226,0,0,0,0,0,0
254,9699,0,11227,0,0,0,2226,0,0,0,0,0,0
255,9581,0,11227,0,0,0,2226,0,0,0,0,0,0
256,9374,0,11227,0,0,0,2226,0,0,0,0,0,0
