ID,Name_lang,HordeName_lang,ParentTradeSkillCategoryID,SkillLineID,OrderIndex,Flags
2399,Jewelcrafting (PROTOTYPE),,0,2933,0,0
2400,Jewelcrafting (PROTOTYPE),,2399,2933,0,0
2424,Alchemy,,0,171,0,0
2425,Blacksmithing,,0,164,0,0
2426,Cooking,,0,185,0,0
2427,Enchanting,,0,333,0,0
2428,Engineering,,0,202,0,0
2429,First Aid,,0,129,0,0
2430,Fishing,,0,356,0,0
2431,Herbalism,,0,182,0,0
2432,Leatherworking,,0,165,0,0
2433,Mining,,0,186,0,0
2434,Skinning,,0,393,0,0
2435,Tailoring,,0,197,0,0
2436,Alchemy - UNCATEGORIZED,,2424,2937,0,0
2437,Blacksmithing - UNCATEGORIZED,,2425,2938,0,0
2438,Cooking - UNCATEGORIZED,,2426,2939,0,0
2439,Enchanting - UNCATEGORIZED,,2427,2940,0,0
2440,Engineering - UNCATEGORIZED,,2428,2941,0,0
2441,First Aid - UNCATEGORIZED,,2429,2942,0,0
2442,Fishing - UNCATEGORIZED,,2430,2943,0,0
2443,Herbalism - UNCATEGORIZED,,2431,2944,0,0
2444,Leatherworking - UNCATEGORIZED,,2432,2945,0,0
2445,Mining - UNCATEGORIZED,,2433,2946,0,0
2446,Skinning - UNCATEGORIZED,,2434,2947,0,0
2447,Tailoring - UNCATEGORIZED,,2435,2948,0,0
2448,Reagents,,2424,2937,10,0
2449,Potions,,2424,2937,25,0
2450,Elixirs,,2424,2937,30,0
2451,Flasks,,2424,2937,40,0
2452,Lesser Transmutations,,2424,2937,60,0
2453,Miscellaneous,,2424,2937,70,0
2454,Camping,,2424,2937,1,0
2455,Weapon Oils,,2424,2937,50,0
2459,Reagents,,2425,2938,10,0
2460,Weapon Stones,,2425,2938,20,0
2461,Mail Helmets,,2425,2938,110,0
2462,Mail Pauldrons,,2425,2938,120,0
2463,Mail Chestguards,,2425,2938,130,0
2464,Mail Bracers,,2425,2938,140,0
2465,Mail Gauntlets,,2425,2938,150,0
2466,Mail Belts,,2425,2938,160,0
2467,Mail Legguards,,2425,2938,170,0
2468,Mail Boots,,2425,2938,180,0
2469,Plate Helmets,,2425,2938,30,0
2470,Plate Pauldrons,,2425,2938,40,0
2471,Plate Chestguards,,2425,2938,50,0
2472,Plate Bracers,,2425,2938,60,0
2473,Plate Gauntlets,,2425,2938,70,0
2474,Plate Belts,,2425,2938,80,0
2475,Plate Legguards,,2425,2938,90,0
2476,Plate Boots,,2425,2938,100,0
2477,Two-Handed Axes,,2425,2938,190,0
2478,Two-Handed Maces,,2425,2938,200,0
2479,Polearms,,2425,2938,210,0
2480,Two-Handed Swords,,2425,2938,220,0
2481,One-Handed Axes,,2425,2938,230,0
2482,Daggers,,2425,2938,240,0
2483,Fist Weapons,,2425,2938,250,0
2484,One-Handed Maces,,2425,2938,260,0
2485,One-Handed Swords,,2425,2938,270,0
2486,Shields,,2425,2938,280,0
2487,Miscellaneous,,2425,2938,290,0
2488,Inert Enchanting Rods,,2425,2938,300,0
2489,Camping,,2425,2938,1,0
2490,Reagents,,2427,2940,10,0
2491,Runed Enchanting Rods,,2427,2940,20,0
2492,Wizard Oils,,2427,2940,30,0
2493,Helmet Enchants,,2427,2940,40,0
2494,Shoulder Enchants,,2427,2940,50,0
2495,Chest Enchants,,2427,2940,60,0
2496,Bracer Enchants,,2427,2940,70,0
2497,Glove Enchants,,2427,2940,80,0
2498,Belt Enchants,,2427,2940,90,0
2499,Pants Enchants,,2427,2940,100,0
2500,Boots Enchants,,2427,2940,110,0
2501,Two-Handed Weapon Enchants,,2427,2940,120,0
2502,Weapon Enchants,,2427,2940,130,0
2503,Shield Enchants,,2427,2940,140,0
2504,Off-Hand Enchants,,2427,2940,150,0
2505,Amulet Enchants,,2427,2940,160,0
2506,Cloak Enchants,,2427,2940,170,0
2507,Ring Enchants,,2427,2940,180,0
2508,Trinket Enchants,,2427,2940,190,0
2509,Relics,,2427,2940,200,0
2510,Curios,,2427,2940,210,0
2511,Staves,,2427,2940,220,0
