ID,RuleType,Flags,MapID,AreaTableID,AchievementID,AreaGroupID,ExpansionID,ContentRestrictionRuleSetID
1,12,0,0,11462,42,0,0,2
2,3,1,0,0,0,0,0,1
3,4,1,0,0,0,0,0,3
4,5,0,0,0,0,0,8,4
5,12,0,1,11462,43,0,0,2
6,12,0,530,11462,44,0,0,2
7,12,0,571,11462,45,0,0,2
8,12,0,870,11462,6974,0,0,2
9,12,0,1116,11462,8935,0,0,2
10,12,0,1643,11462,12988,0,0,2
11,12,0,1642,11462,12988,0,0,2
13,12,0,1718,11462,13712,0,0,2
14,13,0,0,10290,13776,0,0,2
15,12,0,2222,0,15388,0,0,2
16,12,0,2374,0,15224,0,0,2
17,12,0,2570,0,16452,0,0,2
18,12,0,2444,0,16761,0,0,2
19,5,0,1457,0,0,6171,9,5
24,15,0,0,0,0,7675,0,6
28,14,1,2451,0,0,0,0,8
29,0,1,0,0,0,0,0,9
30,0,1,0,0,0,0,0,4
31,12,0,1220,0,11188,0,0,2
32,13,0,0,7543,11543,0,0,2
33,12,0,1669,0,12069,0,0,2
36,14,0,2162,0,0,0,0,11
37,14,0,2453,0,0,0,0,11
38,14,0,2471,0,0,0,0,11
39,14,0,2450,0,0,0,0,11
43,12,0,2548,0,19309,0,0,2
44,12,0,2454,0,17766,0,0,2
45,6,1,0,0,0,0,0,4
46,18,1,0,0,0,0,0,4
47,17,1,0,0,0,0,0,4
