ID,GarrClassSpecID,MovementType,ImpactDelaySecs,CastKit,ImpactKit,TargetImpactKit
2,2,4,0.6,45651,45652,0
3,5,2,0.4,45214,45215,0
4,10,2,0.4,45661,45660,0
5,14,2,0.3,45665,45666,0
17,8,1,0.6,45208,45209,0
21,38,3,0.4,45048,45050,0
22,35,3,0.25,45051,45049,0
23,37,3,0.4,45053,45054,0
24,7,1,0.6,45211,45212,0
25,9,2,0.4,45216,45217,0
26,3,3,0.6,45654,45655,0
27,4,3,0.65,45656,45657,0
28,12,2,0.3,45659,45662,0
29,13,2,0.3,52790,45663,0
30,15,2,0.45,45676,45677,0
31,16,2,0.45,45678,45679,0
32,17,0,0.3,45696,45697,0
33,18,2,0.4,45699,45700,0
34,19,3,0.5,45701,45702,0
35,20,2,0.2,41097,41098,0
36,21,1,0.3,45868,45869,0
37,22,3,0.4,45872,45873,0
38,23,1,0.3,45874,45875,0
39,24,2,0.25,45881,45882,0
40,25,2,0.4,45883,45884,0
41,26,3,0.3,45897,45898,0
42,27,3,0.5,45899,45900,0
43,28,1,0.5,45902,45903,0
44,29,2,0.3,45904,45905,0
45,30,3,0.35,52573,52574,0
46,31,2,0.4,52580,52581,0
47,32,2,0.35,52583,52584,0
48,33,2,0.3,52589,52590,0
49,34,2,0.3,52586,52587,0
50,54,0,0.4,58013,58014,58015
51,53,0,0.4,58013,58014,58015
52,55,0,0.4,58013,58014,58015
53,56,0,0.4,58013,58014,58015
54,57,0,0.4,58013,58014,58015
55,59,0,0.4,58013,58014,58015
56,58,0,0.4,58013,58014,58015
57,60,0,0.4,58013,58014,58015
58,61,0,0.4,58013,58014,58015
59,62,0,0.4,58013,58014,58015
60,63,3,0.5,57448,57449,0
61,64,3,0.5,57451,57452,0
62,108,4,0.6,45651,45652,0
63,111,2,0.4,45214,45215,0
64,115,2,0.4,76146,45660,0
65,118,2,0.3,45665,45666,0
66,113,1,0.6,45208,45209,0
67,138,3,0.4,45048,45050,0
68,136,3,0.25,45051,45049,0
69,137,3,0.4,45053,45054,0
70,112,1,0.6,45211,45212,0
71,114,2,0.4,45216,45217,0
72,109,3,0.6,45654,45655,0
73,110,3,0.65,45656,45657,0
74,116,2,0.3,76148,45662,0
75,117,3,0.3,76143,76144,0
76,119,2,0.45,45676,45677,0
77,120,2,0.45,45678,45679,0
78,68,0,0.3,45696,45697,0
79,69,2,0.4,45699,45700,0
80,70,3,0.5,45701,45702,0
81,121,2,0.2,41097,41098,0
82,122,1,0.3,45868,45869,0
83,123,3,0.4,45872,45873,0
84,124,1,0.3,45874,45875,0
85,125,2,0.25,45881,45882,0
86,126,2,0.4,45883,45884,0
87,127,3,0.3,45897,45898,0
88,128,3,0.5,45899,45900,0
89,129,1,0.5,45902,45903,0
90,130,2,0.3,45904,45905,0
91,131,3,0.35,52573,52574,0
92,132,2,0.4,52580,52581,0
93,133,2,0.35,52583,52584,0
94,134,2,0.3,52589,52590,0
95,135,2,0.3,52586,52587,0
96,140,4,0.5,57451,57452,0
97,182,2,0.3,45665,45666,0
98,187,3,0.35,52573,52574,0
99,186,2,0.3,45659,45662,0
100,189,2,0.4,45883,45884,0
101,185,3,0.3,76143,76144,0
102,188,2,0.3,45659,45662,0
103,183,3,0.5,45899,45900,0
104,190,3,0.5,45899,45900,0
105,184,1,0.5,45902,45903,0
106,192,2,0.3,45659,45662,0
207,296,3,0.5,45899,45900,0
208,295,3,0.5,45899,45900,0
