ID,DstCreatureDisplayInfoID,StartVisualKitID,FinishVisualKitID,MaxTime,DissolveEffectID,SrcCreatureDisplayInfoID
1,62410,58108,58109,0,0,63958
2,62417,58244,58245,0,0,62410
3,64659,58244,58245,0,0,62417
4,68670,66440,73107,0.6,0,55
5,68670,66440,73107,0.6,0,15476
6,68670,66440,73107,0.6,0,56
7,68670,66440,73107,0.6,0,15475
8,55,0,59497,0,0,68670
9,15476,0,59497,0,0,68670
10,56,0,59497,0,0,68670
11,15475,0,59497,0,0,68670
12,68671,66410,66413,0.9,0,15476
13,68671,66410,66413,0.9,0,15475
14,68671,66410,66413,0.9,0,55
15,68671,66410,66413,0.9,0,56
16,55,0,66411,0,0,68671
17,56,0,66411,0,0,68671
18,15476,0,66411,0,0,68671
19,15475,0,66411,0,0,68671
20,69295,65596,0,1,0,67087
21,69296,69379,0,1,0,67087
22,69295,65596,0,1,0,69296
23,67087,69378,0,1,0,69296
24,67087,69378,0,1,0,69295
25,69296,69379,0,1,0,69295
27,70237,74817,0,3,0,69474
28,69474,74822,0,3,0,70237
29,72878,76625,0,1.5,0,70237
30,72878,76626,0,1.5,0,69474
31,69474,76635,0,1.5,0,72878
32,68566,76777,0,1.25,0,68567
33,68565,76779,0,1.25,0,68566
34,68567,76780,0,1.25,0,68565
35,75575,81117,0,0,0,74396
36,75099,0,81436,0,0,75688
37,75083,0,0,0,840,75083
38,46293,0,0,0,839,75083
139,91478,0,0,0,0,91579
140,91579,0,0,0,0,91478
141,92767,121710,0,2.9,0,93334
142,93334,121856,0,2.22,0,93216
143,94993,122754,0,1,0,93216
144,93216,122762,0,1,0,94993
145,54918,0,59497,0,0,68670
146,62127,0,59497,0,0,68670
147,54439,0,59497,0,0,68670
148,62128,0,59497,0,0,68670
149,54918,0,66411,0,0,68671
150,54439,0,66411,0,0,68671
151,62127,0,66411,0,0,68671
152,62128,0,66411,0,0,68671
153,99097,0,0,0,0,100737
154,100930,0,0,0,0,101311
155,101311,0,0,0,0,100930
160,100983,0,0,0,0,98015
161,100924,0,0,0,0,100237
162,106071,163047,0,1,0,108494
163,106099,163074,0,1,0,108585
164,106070,163075,0,1,0,108586
165,108032,163482,0,1,1867,107040
166,107040,163483,0,1,1867,108032
167,111506,0,0,1,0,111505
168,111507,0,0,1,0,111506
169,111508,0,0,1,0,111507
170,111880,0,0,1,0,111457
171,111882,177422,0,0.5,0,111457
172,111457,177531,0,0.6,0,111882
173,111881,0,176543,0.5,0,111880
174,111664,0,0,2,2001,111666
175,111679,0,0,1,2001,111664
176,111666,0,0,1,2001,111679
177,112335,180589,0,3,0,111794
179,111794,181082,0,1,0,112765
180,113612,0,0,1,1895,113611
181,113613,0,0,1,1901,113612
182,113611,0,0,1,1895,113613
183,113919,0,0,1,1895,113918
184,113920,0,0,1,1895,113919
185,113921,0,0,0,1901,113920
186,113918,0,0,1,1895,113921
187,113921,0,0,0,1901,113919
188,117505,0,0,0,0,116701
189,116701,0,0,0,0,117505
190,117474,0,0,1,0,76941
191,76941,0,0,1,0,117474
192,118825,0,0,0,0,118826
193,118826,0,0,0,0,118825
194,118825,0,0,0,0,118827
195,118827,0,0,0,0,118825
196,120489,66440,73107,0.6,0,55
197,120489,66440,73107,0.6,0,15476
198,120489,66440,73107,0.6,0,56
199,120489,66440,73107,0.6,0,15475
200,55,0,59497,0,0,120489
201,15476,0,59497,0,0,120489
202,56,0,59497,0,0,120489
203,15475,0,59497,0,0,120489
205,54918,0,59497,0,0,120489
206,62127,0,59497,0,0,120489
207,54439,0,59497,0,0,120489
208,62128,0,59497,0,0,120489
209,120490,66410,66413,0.9,0,15476
210,120490,66410,66413,0.9,0,15475
211,120490,66410,66413,0.9,0,55
212,120490,66410,66413,0.9,0,56
213,55,0,66411,0,0,120490
214,56,0,66411,0,0,120490
215,15476,0,66411,0,0,120490
216,15475,0,66411,0,0,120490
217,54918,0,66411,0,0,120490
218,54439,0,66411,0,0,120490
219,62127,0,66411,0,0,120490
220,62128,0,66411,0,0,120490
221,121376,0,0,0,0,114311
222,114311,0,0,0,0,121376
225,123490,0,0,0,0,126047
226,126047,0,0,0,0,123490
227,125140,0,0,0,0,123490
228,123490,0,0,0,0,125140
229,123489,0,0,0,0,125141
230,125141,0,0,0,0,123489
231,127935,0,0,0,0,123490
232,123490,0,0,0,0,127935
