ID,DyeColorCategoryID,HouseDecorID,OrderIndex,Channel
28,2,374,0,0
29,3,374,1,1
38,2,378,0,0
39,3,378,1,1
45,1,379,1,1
54,2,388,0,0
60,2,389,0,0
61,3,389,1,1
66,2,390,0,0
67,3,390,1,1
72,2,494,0,0
73,3,494,1,1
74,1,494,2,2
75,2,495,0,0
76,3,495,1,1
77,1,495,2,2
78,2,496,0,0
79,3,496,1,1
80,1,496,2,2
81,2,497,0,0
82,3,497,1,1
84,1,498,0,2
85,2,373,0,0
86,3,373,1,1
93,2,81,0,0
94,3,81,1,1
95,1,81,2,2
241,1,508,0,0
242,1,508,1,1
243,1,508,2,2
303,2,744,0,0
304,3,744,1,1
305,1,744,2,2
421,1,1044,2,2
442,2,1083,0,0
443,3,1083,1,1
519,2,1123,0,0
520,1,1123,2,2
521,2,1244,0,0
563,2,1122,0,0
564,3,1122,1,1
568,2,1280,0,0
569,3,1280,1,1
570,3,383,1,1
572,2,1457,0,0
573,3,1457,1,1
625,2,1436,0,0
626,3,1436,1,1
627,1,1698,0,2
628,2,1451,0,0
629,1,1451,1,2
632,2,1453,0,0
633,1,1453,1,2
636,2,1454,0,0
637,3,1454,1,1
638,1,1454,2,2
639,2,1455,0,0
640,3,1455,1,1
641,1,1455,2,2
642,3,1456,0,1
643,1,1456,1,2
644,1,1702,0,2
659,2,1723,0,0
660,3,1723,1,1
661,1,1723,2,2
663,2,1736,0,0
664,3,1736,1,1
665,1,1736,2,2
669,2,1739,0,0
670,3,1739,1,1
671,1,1739,2,2
672,2,1742,0,0
673,3,1742,1,1
674,1,1742,2,2
675,2,1744,0,0
676,3,1744,1,1
677,1,1744,2,2
681,1,1701,0,2
685,3,726,0,1
704,2,1878,0,0
705,3,1878,1,1
706,1,1878,2,2
719,3,377,0,1
733,2,1977,0,0
734,3,1977,1,1
735,1,1977,2,2
736,2,1978,0,0
737,3,1978,1,1
739,2,1862,0,0
740,2,1438,0,0
741,3,1438,1,1
742,2,1991,0,0
745,2,1992,0,0
746,3,1992,1,1
747,1,1992,2,2
748,2,1993,0,0
749,3,1993,1,1
750,1,1993,2,2
751,2,1994,0,0
752,3,1994,1,1
753,1,1994,2,2
754,2,1997,0,0
755,3,1997,1,1
757,2,1999,0,0
758,3,1999,1,1
759,1,1999,2,2
781,3,80,0,1
782,1,80,1,2
867,2,2342,0,0
868,3,2342,1,1
869,1,2342,2,2
870,2,1745,0,0
871,3,1745,1,1
872,1,1745,2,2
873,2,1995,0,0
874,3,1995,1,1
875,1,1995,2,2
877,2,1452,0,0
879,1,1452,1,2
884,3,1862,1,1
885,1,1862,2,2
886,2,2089,0,0
887,3,2089,1,1
889,3,1996,1,1
890,1,1996,2,2
891,2,2385,0,0
892,3,2385,1,1
893,1,2385,2,2
911,1,2454,0,2
918,2,2496,0,0
919,3,2496,1,1
920,1,2496,2,2
1089,2,1738,0,0
1090,3,1738,1,1
1091,1,1738,2,2
1100,2,990,0,0
1101,3,990,1,1
1120,2,988,0,0
1121,3,988,1,1
1134,2,5563,0,0
1135,3,5563,1,1
1136,1,5563,2,2
1229,2,387,0,0
1230,3,387,1,1
1239,3,1329,0,1
1240,1,1329,1,2
1268,3,1245,0,1
1269,1,1245,1,2
1273,3,1246,0,1
1274,1,1246,1,2
1286,2,7836,0,0
1287,3,7836,1,1
1288,1,7836,2,2
1290,1,2548,0,0
1291,1,2548,1,1
1292,1,2548,2,2
1293,1,2592,0,0
1294,1,2592,1,1
1295,1,2592,2,2
1307,2,1155,0,0
1308,3,1155,1,1
1309,1,1155,2,2
1328,2,2442,0,0
1330,1,2442,1,2
1341,2,2092,0,0
1343,1,2092,1,2
1344,2,1879,0,0
1345,3,1879,1,1
1346,1,1879,2,2
1347,2,2441,0,0
1348,3,2441,1,1
1349,1,2441,2,2
1350,2,2384,0,0
1351,3,2384,1,1
1355,1,1699,0,2
1359,2,8769,0,0
1360,3,8769,1,1
1361,1,8769,2,2
1362,2,8770,0,0
1363,3,8770,1,1
1364,1,8770,2,2
1434,3,8917,1,1
1435,1,8917,2,2
1436,2,8918,0,0
1437,3,8918,1,1
1438,1,8918,2,2
1443,2,8978,0,0
1444,3,8978,1,1
1445,1,8978,2,2
1446,2,4386,0,0
1447,3,4386,1,1
1448,1,4386,2,2
1449,3,7689,0,1
1450,1,7689,1,2
1451,2,8974,0,0
1452,3,8974,1,1
1453,2,2578,0,0
1454,3,2578,1,1
1455,1,2578,2,2
1456,2,8985,0,0
1457,3,8985,1,1
1458,1,8985,2,2
1459,2,2579,0,0
1460,3,2579,1,1
1462,2,8986,0,0
1463,3,8986,1,1
1465,2,5851,0,0
1466,3,5851,1,1
1467,2,2540,0,0
1468,3,2540,1,1
1469,2,2541,0,0
1470,3,2541,1,1
1471,3,7688,0,1
1472,1,7688,1,2
1473,2,9056,0,0
1474,3,9056,1,1
1475,2,4422,0,0
1476,3,4422,1,1
1477,1,4422,2,2
1478,2,5687,0,0
1479,3,5687,1,1
1488,2,9061,0,0
1489,3,9061,1,1
1490,2,9062,0,0
1491,3,9062,1,1
1492,2,9063,0,0
1493,3,9063,1,1
1494,2,8771,0,0
1495,3,8771,1,1
1496,1,8771,2,2
1497,3,5855,0,1
1498,1,5855,1,2
1499,2,5688,0,0
1500,3,5688,1,1
1503,1,7583,0,2
1506,1,7585,0,2
1507,2,9064,0,0
1508,3,9064,1,1
1509,1,9064,2,2
1510,2,9143,0,0
1511,1,9143,1,2
1512,2,987,0,0
1513,3,987,1,1
1514,1,987,2,2
1518,2,1700,0,0
1519,3,1700,1,1
1520,2,9176,0,0
1521,3,9176,1,1
1522,2,9177,0,0
1523,3,9177,1,1
1525,2,9254,0,0
1526,3,9254,1,1
1527,1,9254,2,2
1528,2,9255,0,0
1529,3,9255,1,1
1530,1,9255,2,2
1531,2,992,0,0
1532,3,992,1,1
1533,2,9265,0,0
1534,3,9265,1,1
1535,2,9270,0,0
1538,1,9271,2,2
1541,2,9273,0,0
1542,3,9273,1,1
1545,2,9274,0,0
1546,3,9274,1,1
1587,2,2534,0,0
1588,3,2534,1,1
1589,1,2534,2,2
1590,2,10324,0,0
1591,3,10324,1,1
1592,1,10324,2,2
1593,2,10367,0,0
1594,3,10367,1,1
1595,1,10367,2,2
1596,2,10791,0,0
1597,3,10791,1,1
1598,1,10791,2,2
1602,2,10892,0,0
1603,3,10892,1,1
1604,1,10892,2,2
1605,2,11139,0,0
1606,1,11139,1,2
1614,2,11437,0,0
1615,3,11437,1,1
1616,1,11437,2,2
1617,2,1486,0,0
1618,3,1486,1,1
1619,1,1486,2,2
1622,2,1350,0,0
1623,3,1350,1,1
1624,1,1350,2,2
1625,2,4562,0,0
1626,3,4562,1,1
1630,3,2474,0,1
1631,1,2474,1,2
1632,3,2590,0,1
1633,1,2590,1,2
1634,3,2254,0,1
1635,1,2254,1,2
1637,3,2458,1,1
1638,1,2458,2,2
1639,2,989,0,0
1640,3,989,1,1
1641,1,989,2,2
1642,1,11461,0,2
1643,1,11479,0,2
1644,2,11480,0,0
1645,3,11480,1,1
1646,1,11481,0,2
1647,1,11482,0,2
1664,3,11719,0,1
1665,1,11719,1,2
1666,2,11720,0,0
1667,3,11720,1,1
1668,2,11721,0,0
1669,3,11721,1,1
1670,3,1487,0,1
1671,1,1487,1,2
1672,2,3826,0,0
1673,3,3826,1,1
1684,3,1153,0,1
1685,1,1153,1,2
1686,2,1162,0,0
1687,3,1162,1,1
1688,1,1162,2,2
1689,2,1163,0,0
1690,3,1163,1,1
1691,2,1165,0,0
1692,3,1165,1,1
1693,1,1165,2,2
1694,3,1488,0,1
1695,2,3827,0,0
1696,3,3827,1,1
1697,1,3827,2,2
1704,1,7827,0,2
1705,1,7828,0,2
1706,3,9472,0,1
1707,2,9474,0,0
1708,3,9474,1,1
1709,1,9474,2,2
1713,2,9058,0,0
1714,3,9058,1,1
1715,2,8976,0,0
1716,3,8976,1,1
1717,2,8977,0,0
1718,3,8977,1,1
1719,2,9057,0,0
1720,3,9057,1,1
1721,2,9059,0,0
1722,3,9059,1,1
1723,2,9060,0,0
1724,3,9060,1,1
1725,2,994,0,0
1726,3,994,1,1
1727,1,994,2,2
1759,2,9471,0,0
1760,3,9471,1,1
1761,1,9471,2,2
1762,2,12199,0,0
1763,3,12199,1,1
1764,1,12199,2,2
1778,2,986,0,0
1779,3,986,1,1
1780,1,986,2,2
1814,2,12215,0,0
1815,3,12215,1,1
1816,2,9630,0,0
