Name_lang,EntryOffset[0],EntryOffset[1],EntryOffset[2],ID,Size,HouseExteriorWmoDataID,ParentComponentID,ModelFileDataID,Flags,Field_12_0_0_63534_007,Type,Field_12_0_0_63534_009,GameObjectID,Field_11_2_7_64044_011,ItemID
[DNT] rt_hook01,0,0,0,129,1,9,0,0,0,1,13,1,0,0,0
Stucco,0,0,0,141,2,9,0,6648736,3,1,9,1,0,0,0
Stonework,0,0,0,142,2,9,0,6648737,2,1,9,1,0,0,0
Stucco,0,0,0,144,3,9,0,6648733,3,1,9,1,0,0,0
Cottage,0,0,0,145,3,9,0,6648734,2,1,9,1,0,0,0
Stucco,0,0,0,147,4,9,0,6648730,3,1,9,1,0,0,0
Cottage,0,0,0,148,4,9,0,6648731,2,1,9,1,0,0,0
Embellished Roof,0,0,0,568,4,55,0,6892531,2,4,10,1,0,36,267925
Woodland Roof,0,0,0,569,4,55,0,6892530,3,4,10,1,0,36,267919
Stone,0,0,0,570,3,55,0,6892517,2,4,9,1,0,0,267867
Embellished,0,0,0,571,3,55,0,6892516,2,4,9,1,0,0,267866
Woodland Roof,0,0,0,572,3,55,0,6892524,3,4,10,1,0,36,267937
Embellished Roof,0,0,0,573,3,55,0,6892525,2,4,10,1,0,36,267943
Woodland,0,0,0,574,3,55,0,6892497,3,4,9,1,0,0,267865
Rustic Roof,0,0,0,575,3,55,0,6892526,2,4,10,1,0,36,267949
Rustic Roof,0,0,0,576,4,55,0,6892532,2,4,10,1,0,36,267931
Stone,0,0,0,577,4,55,0,6892523,2,4,9,1,0,0,267864
Woodland,0,0,0,578,4,55,0,6892521,3,4,9,1,0,0,267862
Rustic Roof,0,0,0,579,2,55,0,6892529,2,4,10,1,0,36,267967
Stone,0,0,0,580,2,55,0,6892520,2,4,9,1,0,0,267870
Embellished,0,0,0,581,2,55,0,6892519,2,4,9,1,0,0,267869
Woodland Roof,0,0,0,582,2,55,0,6892527,3,4,10,1,0,36,267955
Woodland,0,0,0,583,2,55,0,6892518,3,4,9,1,0,0,267868
Embellished Roof,0,0,0,584,2,55,0,6892528,2,4,10,1,0,36,267961
Embellished,0,0,0,585,4,55,0,6892522,2,4,9,1,0,0,267863
Embellished Chimney - Violet,0,0,0,586,1,55,0,6892547,2,4,16,1,0,36,267889
Tall Relic Chimney - Violet,0,0,0,587,1,55,0,6892545,2,4,16,1,0,36,267877
Woodland Chimney - Violet,0,0,0,588,1,55,0,6892544,2,4,16,1,0,36,267871
Woodland Window,0,0,0,589,1,55,0,6892536,2,4,12,1,0,0,268016
Woodland Entryway - Violet,5.2331,0.0432,1.6591,590,1,55,0,6892533,3,4,11,1,613904,36,267901
Woodland Tower - Violet,0,0,0,591,1,55,0,6892550,2,4,15,1,0,36,267986
Embellished Tower - Violet,0,0,0,592,1,55,0,6892551,2,4,15,1,0,36,267992
Rustic Tower - Violet,0,0,0,593,1,55,0,6892553,2,4,15,1,0,36,268004
Stone Tower - Violet,0,0,0,594,1,55,0,6892552,2,4,15,1,0,36,267998
Embellished Stone Tower - Violet,0,0,0,595,1,55,0,6892554,2,4,15,1,0,36,268010
Rustic Entryway - Violet,2.9381,0.0423,1.6541,596,1,55,0,6892535,2,4,11,1,613906,36,267913
Embellished Entryway - Violet,2.8441,0.0423,1.6625,597,1,55,0,6892534,2,4,11,1,613905,36,267907
Rustic Chimney - Violet,0,0,0,598,1,55,0,6892546,2,4,16,1,0,36,267883
Relic Chimney - Violet,0,0,0,599,1,55,0,6892548,2,4,16,1,0,36,267895
Relic Window,0,0,0,600,1,55,0,6892537,2,4,12,1,0,0,268017
Relic Dormer,0,0,0,601,1,55,0,6892542,2,4,14,1,0,0,267979
Woodland Dormer - Violet,0,0,0,602,1,55,0,6892541,2,4,14,1,0,36,267973
Embellished Dormer - Violet,0,0,0,603,1,55,0,6892543,2,4,14,1,0,36,267980
Arched Window,0,0,0,604,1,55,0,6892538,2,4,12,1,0,0,268018
Lattice Window,0,0,0,605,1,55,0,6892539,2,4,12,1,0,0,268019
Embellished Window,0,0,0,606,1,55,0,6892540,2,4,12,1,0,0,268020
Tiered Spire - Crimson,0,0,0,607,1,56,0,6892591,2,5,15,1,0,37,267693
Elegant Spire - Crimson,0,0,0,608,1,56,0,6892589,2,5,15,1,0,37,267694
Extravagant Chimney,0,0,0,609,1,56,0,6892587,2,5,16,1,0,37,267695
Bell Chimney,0,0,0,610,1,56,0,6892586,2,5,16,1,0,37,267696
Sturdy Winged Chimney,0,0,0,611,1,56,0,6892588,2,5,16,1,0,37,267697
Regal Chimney,0,0,0,612,1,56,0,6892584,2,5,16,1,0,37,267698
Winged Chimney,0,0,0,613,1,56,0,6892585,2,5,16,1,0,37,267699
Domed Dormer - Crimson,0,0,0,614,1,56,0,6892581,2,5,14,1,0,37,267700
Regal Dormer - Crimson,0,0,0,615,1,56,0,6892583,2,5,14,1,0,37,267701
Regal Window - Crimson,0,0,0,616,1,56,0,6892579,2,5,12,1,0,37,267702
Domed Window - Crimson,0,0,0,617,1,56,0,6892580,2,5,12,1,0,37,267703
Simple Entryway,16.8511,0,1.427,618,1,56,0,6892573,3,5,11,1,613907,37,267704
Grand Entryway - Crimson,16.7481,0.0001,1.427,619,1,56,0,6892575,2,5,11,1,613909,37,267705
Elegant Entryway - Crimson,16.8511,0,1.427,620,1,56,0,6892574,2,5,11,1,613908,37,267706
Domed Roof,0,0,0,621,2,56,0,6892567,3,5,10,1,0,0,267707
Engraved,0,0,0,622,2,56,0,6892558,3,5,9,1,0,0,267708
Faceted Roof,0,0,0,623,4,56,0,6892571,2,5,10,1,0,0,267709
Craftsman,0,0,0,624,4,56,0,6892563,2,5,9,1,0,0,267710
Arches,0,0,0,625,4,56,0,6892562,2,5,9,1,0,0,267711
Tiered Roof,0,0,0,626,4,56,0,6892572,2,5,10,1,0,0,267712
Tiered Roof,0,0,0,627,3,56,0,6892566,2,5,10,1,0,0,267713
Domed Roof,0,0,0,628,3,56,0,6892564,3,5,10,1,0,0,267714
Faceted Roof,0,0,0,629,2,56,0,6892568,2,5,10,1,0,0,267715
Craftsman,0,0,0,630,3,56,0,6892557,2,5,9,1,0,0,267716
Arches,0,0,0,631,2,56,0,6892559,2,5,9,1,0,0,267717
Engraved,0,0,0,632,3,56,0,6892555,3,5,9,1,0,0,267718
Engraved,0,0,0,633,4,56,0,6892561,3,5,9,1,0,0,267719
Domed Roof,0,0,0,634,4,56,0,6892570,3,5,10,1,0,0,267720
Arches,0,0,0,635,3,56,0,6892556,2,5,9,1,0,0,267721
Faceted Roof,0,0,0,636,3,56,0,6892565,2,5,10,1,0,0,267722
Craftsman,0,0,0,637,2,56,0,6892560,2,5,9,1,0,0,267723
Filigree Window,0,0,0,638,1,56,0,6892576,2,5,12,1,0,0,267724
Planter Window,0,0,0,639,1,56,0,6892577,2,5,12,1,0,0,267725
