ID,Flags,Field_8_1_0_28616_001Max,Field_8_1_0_28616_001Min,Field_8_1_0_28440_003Max,Field_8_1_0_28440_003Min,Field_8_1_0_28440_005,ModelCountMax,ModelCountMin,AttachmentPoint,SpellVisualEffectNameID,ConeAngle,Range
1,2,70,2,200,100,500,5,0,-1,30151,45,50
4,2,45,5,200,50,200,7,1,35,29571,45,50
6,2,45,5,200,50,200,7,1,35,30151,45,50
7,2,45,5,200,50,200,7,1,19,30151,45,50
8,2,45,5,200,50,200,7,1,17,29571,27,15
15,0,45,5,200,50,200,7,1,35,36456,60,10
16,2,20,5,500,50,500,7,2,15,15655,60,15
18,2,60,5,200,50,200,12,1,34,37263,45,60
30,2,45,5,200,50,200,3,1,37,41538,45,35
33,2,100,6,100,50,200,36,4,34,40367,360,110
35,2,60,5,200,50,200,12,1,34,34608,45,45
36,2,60,5,5,50,200,6,1,34,33965,45,45
39,2,45,5,200,50,200,7,1,35,44315,35,23
