DisplayName_lang,VerboseName_lang,ID,ClassID,SubClassID,AuctionHouseSortOrder,PrerequisiteProficiency,Flags,DisplayFlags,WeaponSwingSize,PostrequisiteProficiency
Bag,,2,1,0,0,-1,0,0,0,-1
Axe,One-Handed Axes,3,2,0,0,-1,3,0,1,1
Axe,Two-Handed Axes,4,2,1,0,0,3,0,2,-1
Bow,Bows,5,2,2,0,-1,128,0,1,-1
Gun,Guns,6,2,3,0,-1,160,0,1,-1
Mace,One-Handed Maces,7,2,4,0,-1,3,0,1,5
Mace,Two-Handed Maces,8,2,5,0,4,3,0,2,-1
Polearm,Polearms,9,2,6,0,-1,3,0,2,-1
Sword,One-Handed Swords,10,2,7,0,-1,3,0,1,8
Sword,Two-Handed Swords,11,2,8,0,7,3,0,2,-1
Warglaives,,12,2,9,0,-1,1,0,2,-1
Staff,Staves,13,2,10,0,-1,3,0,2,-1
Bear Claws,Bear Claws,14,2,11,0,-1,0,3,1,12
Cat Claws,CatClaws,15,2,12,0,11,0,3,1,-1
Fist Weapon,Fist Weapons,16,2,13,0,-1,5,0,1,-1
Miscellaneous,,17,2,14,0,-1,2,1,0,-1
Dagger,Daggers,18,2,15,0,-1,3,0,8,-1
Miscellaneous,,19,4,0,0,-1,512,1,0,-1
Cloth,Cloth,20,4,1,0,-1,1536,0,0,-1
Leather,Leather,21,4,2,0,-1,1536,0,0,-1
Mail,Mail,22,4,3,0,-1,1536,0,0,-1
Plate,Plate,23,4,4,0,-1,1536,0,0,-1
Cosmetic,Cosmetic,24,4,5,0,-1,0,1,0,-1
Shield,Shields,25,4,6,0,5,0,0,0,-1
Wand(OBSOLETE),,26,6,0,0,-1,0,3,0,-1
Bolt(OBSOLETE),,27,6,1,0,-1,0,2,0,-1
Arrow,,28,6,2,0,-1,0,2,0,-1
Bullet,,29,6,3,0,-1,0,2,0,-1
Quiver(OBSOLETE),,30,11,0,0,-1,0,7,0,-1
Bolt(OBSOLETE),,31,11,1,0,-1,0,7,0,-1
Quiver,,32,11,2,0,-1,0,6,0,-1
Ammo Pouch,,33,11,3,0,-1,0,6,0,-1
Thrown,Thrown,34,2,16,0,-1,16,0,1,-1
Thrown(OBSOLETE),,35,6,4,0,-1,0,2,0,-1
Intellect,,36,3,0,1,-1,0,1,0,-1
Trade Goods (OBSOLETE),,37,7,0,0,-1,0,3,0,-1
Parts,,38,7,1,10,-1,0,1,0,-1
Explosives (OBSOLETE),,39,7,2,0,-1,0,3,0,-1
Book,,40,9,0,0,-1,0,1,0,-1
Leatherworking,,41,9,1,0,-1,0,1,0,-1
Tailoring,,42,9,2,0,-1,0,1,0,-1
Explosives and Devices,,43,0,0,0,-1,0,1,0,-1
Potions,,44,0,1,0,-1,0,1,0,-1
Elixirs,,45,0,2,0,-1,0,1,0,-1
Spear,Spears,46,2,17,0,-1,3,2,2,-1
Money(OBSOLETE),,47,10,0,0,-1,0,1,0,-1
Head,,48,8,0,0,-1,0,1,0,-1
Quest,,49,12,0,0,-1,0,1,0,-1
Reagent,,50,5,0,0,-1,0,1,0,-1
Permanent,,51,14,0,0,-1,0,1,0,-1
Junk,,52,15,0,0,-1,0,1,0,-1
Key,,53,13,0,0,-1,0,1,0,-1
Lockpick,,54,13,1,0,-1,0,1,0,-1
Crossbow,Crossbows,55,2,18,0,-1,160,0,1,-1
Wand,Wands,56,2,19,0,-1,256,0,1,-1
Fishing Pole,Fishing Poles,57,2,20,0,-1,0,0,8,-1
Devices (OBSOLETE),,77,7,3,0,-1,0,3,0,-1
Engineering,,99,9,3,0,-1,0,1,0,-1
Blacksmithing,,100,9,4,0,-1,0,1,0,-1
Cooking,,101,9,5,10,-1,0,1,0,-1
Alchemy,,102,9,6,0,-1,0,1,0,-1
First Aid,,103,9,7,11,-1,0,1,0,-1
Enchanting,,104,9,8,0,-1,0,1,0,-1
Fishing,,105,9,9,12,-1,0,1,0,-1
Jewelcrafting,,106,9,10,0,-1,0,1,0,-1
Soul Bag,,107,1,1,0,-1,0,6,0,-1
Herb Bag,,109,1,2,0,-1,0,0,0,-1
Enchanting Bag,,110,1,3,0,-1,0,0,0,-1
Engineering Bag,,111,1,4,0,-1,0,0,0,-1
Libram,Librams,112,4,7,0,-1,0,2,0,-1
Idol,Idols,113,4,8,0,-1,0,2,0,-1
Totem,Totems,114,4,9,0,-1,0,2,0,-1
Jewelcrafting,,115,7,4,1,-1,0,1,0,-1
Gem Bag,,116,1,5,0,-1,0,0,0,-1
Mining Bag,,118,1,6,0,-1,0,0,0,-1
Agility,,119,3,1,2,-1,0,1,0,-1
Strength,,120,3,2,3,-1,0,1,0,-1
Stamina,,121,3,3,4,-1,0,1,0,-1
Spirit,,122,3,4,5,-1,0,3,0,-1
Critical Strike,,123,3,5,6,-1,0,1,0,-1
Mastery,,124,3,6,7,-1,0,1,0,-1
Haste,,125,3,7,8,-1,0,1,0,-1
Versatility,,126,3,8,9,-1,0,1,0,-1
Flasks & Phials,,131,0,3,0,-1,0,1,0,-1
Scroll (OBSOLETE),,132,0,4,0,-1,0,3,0,-1
Food & Drink,,133,0,5,0,-1,0,1,0,-1
Item Enhancement (OBSOLETE),,134,0,6,0,-1,0,3,0,-1
Bandages,,135,0,7,0,-1,0,1,0,-1
Other,,136,0,8,10,-1,0,1,0,-1
Cloth,,137,7,5,0,-1,0,1,0,-1
Leather,,138,7,6,0,-1,0,1,0,-1
Metal & Stone,,139,7,7,0,-1,0,1,0,-1
Cooking,,140,7,8,0,-1,0,1,0,-1
Herb,,141,7,9,0,-1,0,1,0,-1
Elemental,,142,7,10,20,-1,0,1,0,-1
Other,,143,7,11,30,-1,0,1,0,-1
Reagent,,144,15,1,0,-1,0,1,0,-1
Companion Pets,,145,15,2,0,-1,0,1,0,-1
Holiday,,146,15,3,0,-1,0,1,0,-1
Other,,147,15,4,30,-1,0,1,0,-1
Enchanting,,148,7,12,0,-1,0,1,0,-1
Leatherworking Bag,,149,1,7,0,-1,0,0,0,-1
Materials (OBSOLETE),,150,7,13,0,-1,0,3,0,-1
Mount,Mount,152,15,5,0,-1,0,0,0,-1
Warrior,Warrior,153,16,1,0,-1,0,0,0,-1
Paladin,Paladin,154,16,2,0,-1,0,0,0,-1
Hunter,Hunter,155,16,3,0,-1,0,0,0,-1
Rogue,Rogue,156,16,4,0,-1,0,0,0,-1
Priest,Priest,157,16,5,0,-1,0,0,0,-1
Shaman,Shaman,158,16,7,0,-1,0,0,0,-1
Mage,Mage,159,16,8,0,-1,0,0,0,-1
Warlock,Warlock,160,16,9,0,-1,0,0,0,-1
Druid,Druid,161,16,11,0,-1,0,0,0,-1
Death Knight,Death Knight,162,16,6,0,-1,0,0,0,-1
Item Enchantment (OBSOLETE),,163,7,14,0,-1,0,3,0,-1
Weapon Enchantment - Obsolete,Weapon Enchantment - Obsolete,164,7,15,0,-1,0,3,0,-1
Sigil,Sigils,165,4,10,0,-1,0,2,0,-1
Inscription Bag,,167,1,8,0,-1,0,0,0,-1
Inscription,Inscription,168,9,11,0,-1,0,1,0,-1
Other,,169,3,9,10,-1,0,1,0,-1
Multiple Stats,,170,3,10,11,-1,0,0,0,-1
Tackle Box,,171,1,9,0,-1,0,0,0,-1
Relic,,173,4,11,0,-1,0,2,0,-1
Monk,Monk,177,16,10,0,-1,0,0,0,-1
BattlePet,BattlePet,178,17,0,0,-1,0,0,0,-1
Cooking Bag,Cooking Bag,179,1,10,0,-1,0,0,0,-1
WoW Token,,180,18,0,0,-1,0,0,0,-1
Keystone,,181,5,1,0,-1,0,1,0,-1
Demon Hunter,Demon Hunter,183,16,12,0,-1,0,0,0,-1
Vantus Runes,,184,0,9,0,-1,0,1,0,-1
Inscription,,185,7,16,0,-1,0,1,0,-1
Explosives and Devices (OBSOLETE),,186,7,17,11,-1,0,3,0,-1
Artifact Relic,,187,3,11,0,-1,0,1,0,-1
Neck,,188,8,1,0,-1,0,1,0,-1
Shoulder,,189,8,2,0,-1,0,1,0,-1
Cloak,,190,8,3,0,-1,0,1,0,-1
Chest,,191,8,4,0,-1,0,1,0,-1
Wrist,,192,8,5,0,-1,0,1,0,-1
Hands,,193,8,6,0,-1,0,1,0,-1
Waist,,194,8,7,0,-1,0,1,0,-1
Legs,,195,8,8,0,-1,0,1,0,-1
Feet,,196,8,9,0,-1,0,1,0,-1
Finger,,197,8,10,0,-1,0,1,0,-1
Weapon,,198,8,11,0,-1,0,1,0,-1
Two-Handed Weapon,,199,8,12,0,-1,0,1,0,-1
Shield/Off-hand,,200,8,13,0,-1,0,1,0,-1
Misc,,201,8,14,0,-1,0,1,0,-1
Mount Equipment,,326,15,6,0,-1,0,0,0,-1
Optional Reagents,,327,7,18,25,-1,0,1,0,-1
Context Token,,328,5,2,0,-1,0,1,0,-1
Blacksmithing,,329,19,0,0,-1,0,0,0,-1
Leatherworking,,330,19,1,0,-1,0,0,0,-1
Alchemy,,331,19,2,0,-1,0,0,0,-1
Herbalism,,332,19,3,0,-1,0,0,0,-1
Cooking,,333,19,4,0,-1,0,0,0,-1
Mining,,334,19,5,0,-1,0,0,0,-1
Tailoring,,335,19,6,0,-1,0,0,0,-1
Engineering,,336,19,7,0,-1,0,0,0,-1
Enchanting,,337,19,8,0,-1,0,0,0,-1
