ID,LabelID,SpellID
60790,188,301089
60791,188,301091
79353,1203,20293
79354,1203,20920
79400,1203,20375
79401,1203,20915
79402,1203,20918
79403,1203,20919
79404,1203,20164
79405,1203,20165
79406,1203,20347
79407,1203,20348
79408,1203,20154
79409,1203,20349
79410,1203,21084
79411,1203,20287
79412,1203,20288
79413,1203,20289
79414,1203,20290
79415,1203,20291
79416,1203,20292
79417,1203,21082
79418,1203,20162
79419,1203,20305
79420,1203,20306
79421,1203,20307
79422,1203,20308
79423,1203,20166
79424,1203,20356
79425,1203,20357
80738,1299,355366
80739,1299,22888
80740,1299,23735
80741,1299,23736
80742,1299,23737
80743,1299,23738
80744,1299,23766
80745,1299,23767
80746,1299,23768
80747,1299,23769
80748,1299,24425
80749,1299,15366
80750,1299,16609
80751,1299,22817
80752,1299,22818
80753,1299,22820
80754,1299,355365
80755,1299,355363
85562,1446,369982
