ID,AzeritePowerSetID,AzeritePowerID,Class,Tier,OrderIndex
1,1,9,7,0,0
2,1,9,3,0,0
3,1,15,7,1,0
4,1,10,7,1,1
5,1,5,7,2,0
6,1,6,7,2,1
7,1,7,7,2,2
8,1,1,7,3,0
9,1,8,7,3,1
10,1,3,7,3,2
11,1,2,7,3,3
24,1,10,3,1,0
25,1,11,3,1,1
26,1,5,3,2,0
27,1,6,3,2,1
28,1,7,3,2,2
29,1,1,3,3,0
30,1,461,3,3,1
31,1,3,3,3,2
32,1,2,3,3,3
33,3,13,7,0,0
34,3,13,3,0,0
35,3,10,7,1,0
36,3,11,7,1,1
37,3,5,7,2,0
38,3,6,7,2,1
39,3,7,7,2,2
40,3,1,7,3,0
41,3,8,7,3,1
42,3,3,7,3,2
43,3,2,7,3,3
44,3,10,3,1,0
45,3,11,3,1,1
46,3,5,3,2,0
47,3,6,3,2,1
48,3,7,3,2,2
49,3,1,3,3,0
50,3,8,3,3,1
51,3,3,3,3,2
52,3,2,3,3,3
53,4,13,5,0,0
54,4,10,5,1,0
55,4,11,5,1,1
56,4,5,5,2,0
57,4,6,5,2,1
58,4,7,5,2,2
59,4,1,5,3,0
60,4,8,5,3,1
61,4,3,5,3,2
62,4,2,5,3,3
67,4,13,8,0,0
68,4,10,8,1,0
69,4,11,8,1,1
70,4,5,8,2,0
71,4,6,8,2,1
72,4,7,8,2,2
73,4,1,8,3,0
74,4,8,8,3,1
75,4,3,8,3,2
76,4,2,8,3,3
77,4,13,9,0,0
78,4,10,9,1,0
79,4,11,9,1,1
80,4,5,9,2,0
81,4,6,9,2,1
82,4,7,9,2,2
83,4,1,9,3,0
84,4,8,9,3,1
85,4,3,9,3,2
86,4,2,9,3,3
87,5,13,1,0,0
88,5,10,1,1,0
89,5,11,1,1,1
90,5,5,1,2,0
91,5,6,1,2,1
92,5,7,1,2,2
93,5,1,1,3,0
94,5,8,1,3,1
95,5,3,1,3,2
96,5,2,1,3,3
97,5,13,2,0,0
98,5,10,2,1,0
99,5,11,2,1,1
100,5,5,2,2,0
101,5,13,6,0,0
102,5,10,6,1,0
103,5,11,6,1,1
104,5,5,6,2,0
105,5,6,6,2,1
106,5,7,6,2,2
107,5,1,6,3,0
108,5,8,6,3,1
109,5,3,6,3,2
110,5,2,6,3,3
111,5,6,2,2,1
112,5,7,2,2,2
113,5,1,2,3,0
114,5,8,2,3,1
115,5,3,2,3,2
116,5,2,2,3,3
117,6,13,4,0,0
118,6,10,4,1,0
119,6,11,4,1,1
120,6,5,4,2,0
121,6,6,4,2,1
122,6,7,4,2,2
123,6,1,4,3,0
124,6,8,4,3,1
125,6,3,4,3,2
126,6,2,4,3,3
127,6,13,10,0,0
128,6,10,10,1,0
129,6,11,10,1,1
130,6,5,10,2,0
131,6,6,10,2,1
132,6,7,10,2,2
133,6,1,10,3,0
134,6,8,10,3,1
135,6,3,10,3,2
136,6,2,10,3,3
137,6,13,11,0,0
138,6,10,11,1,0
139,6,11,11,1,1
140,6,5,11,2,0
141,6,51,11,2,1
142,6,7,11,2,2
143,6,1,11,3,0
144,6,8,11,3,1
145,6,3,11,3,2
146,6,2,11,3,3
147,6,13,12,0,0
148,6,10,12,1,0
149,6,11,12,1,1
150,6,5,12,2,0
151,6,6,12,2,1
152,6,7,12,2,2
153,6,1,12,3,0
154,6,8,12,3,1
155,6,3,12,3,2
156,6,2,12,3,3
157,7,13,7,0,0
158,7,13,3,0,0
159,7,15,7,1,0
160,7,17,7,1,1
161,7,18,7,2,0
162,7,19,7,2,1
163,7,22,7,2,2
164,7,26,7,3,0
165,7,25,7,3,1
166,7,24,7,3,2
167,7,23,7,3,3
168,7,15,3,1,0
169,7,16,3,1,1
170,7,18,3,2,0
171,7,21,3,2,1
172,7,22,3,2,2
173,7,26,3,3,0
174,7,27,3,3,1
175,7,28,3,3,2
176,7,29,3,3,3
177,8,13,7,0,0
178,8,13,3,0,0
179,8,14,7,1,0
180,8,15,7,1,1
181,8,30,7,2,0
182,8,38,7,2,1
183,8,31,7,2,2
184,8,39,7,3,0
185,8,34,7,3,1
186,8,32,7,3,2
187,8,33,7,3,3
188,8,14,3,1,0
189,8,15,3,1,1
190,8,30,3,2,0
191,8,22,3,2,1
192,8,31,3,2,2
193,8,39,3,3,0
194,8,35,3,3,1
195,8,36,3,3,2
196,8,37,3,3,3
197,9,13,7,0,0
