ID,AnimaCableID,AnimaMaterialID,Field_9_0_1_33978_002,Field_9_0_1_33978_003,Field_9_0_1_33978_004,Order,Field_9_0_1_33978_006
6,4,3,0,0.1,10,0,0
7,4,43,0,1,15,1,0
8,4,6,0,3,20,2,0
9,4,14,0,10,20,3,1
11,5,9,0,1,10,0,0
12,5,15,0,15,0,1,0
13,5,6,0,15,0,2,0
14,5,13,0,2,0,3,0
15,5,14,0,2,15,4,0
16,6,17,0,1,10,0,0
17,6,18,0,5,15,1,0
18,6,19,0,10,20,2,0
19,6,26,0,15,20,3,0
22,6,26,0,18,30,4,0
23,7,34,0,0.1,10,0,0
28,11,29,0,0.005,5,0,0
29,11,29,0,0.005,5,1,0
33,11,29,0,0.02,5,2,0
34,11,45,0,1,20,3,0
37,11,46,0,1,20,4,1
39,7,33,0,1,8,1,0
40,7,30,0,3,20,2,0
45,7,31,0,5,20,3,1
46,15,35,0,0.1,10,0,0
56,16,17,0,1,10,0,0
57,16,21,0,3,20,1,0
58,16,21,0,4,20,2,0
59,16,19,0,4,20,3,0
60,16,21,0,6,20,4,0
61,16,19,0,7,20,5,0
77,15,40,0,5,20,1,0
78,15,38,0,10,20,2,0
80,15,37,0,12,20,3,1
81,15,41,0,15,20,4,1
82,4,42,0,15,20,4,0
84,4,13,0,7,10,5,1
85,11,46,0,1,20,5,1
92,19,3,0,0.1,10,0,0
93,19,43,0,1,15,1,0
94,19,6,0,3,20,2,0
95,19,14,0,10,20,3,0
96,19,42,0,15,20,4,0
97,19,13,0,7,10,5,0
98,20,47,0,0.3,10,0,0
119,20,48,0,0.5,10,1,0
120,20,49,0,0.5,20,2,0
121,20,50,0,1,20,3,0
122,20,48,0,1,10,4,0
126,22,43,0,2,10,0,0
127,24,3,0,0.1,10,0,0
128,24,51,0,1,15,1,0
129,24,6,0,2,20,2,0
130,24,54,0,5,20,3,1
131,24,53,0,5,20,4,0
132,24,52,0,6,10,5,1
