ID,CondType,TraitTreeID,GrantedRanks,QuestID,AchievementID,SpecSetID,TraitNodeGroupID,TraitNodeID,TraitNodeEntryID,TraitCurrencyID,SpentAmountRequired,Flags,RequiredLevel,FreeSharedStringID,SpendMoreSharedStringID,TraitCondAccountElementID
42765,0,1089,0,0,0,0,11328,0,0,3820,30,0,0,0,911,0
42766,0,1089,0,0,0,0,12703,0,0,3820,25,0,0,0,911,0
42767,0,1089,0,0,0,0,12704,0,0,3820,20,0,0,0,911,0
42770,0,1089,0,0,0,0,12702,0,0,3820,15,0,0,0,911,0
42774,0,1089,0,0,0,0,12712,0,0,3820,15,0,0,0,911,0
42775,0,1089,0,0,0,0,12713,0,0,3820,10,0,0,0,911,0
42776,0,1089,0,0,0,0,12714,0,0,3820,5,0,0,0,911,0
42781,0,1089,0,0,0,0,11347,0,0,3820,30,0,0,0,911,0
42782,0,1089,0,0,0,0,12705,0,0,3820,25,0,0,0,911,0
42783,0,1089,0,0,0,0,12706,0,0,3820,20,0,0,0,911,0
42784,0,1089,0,0,0,0,12707,0,0,3820,15,0,0,0,911,0
42785,0,1089,0,0,0,0,12708,0,0,3820,10,0,0,0,911,0
42786,0,1089,0,0,0,0,12709,0,0,3820,5,0,0,0,911,0
42787,0,1058,0,0,0,0,11159,0,0,3820,5,0,0,0,0,0
42789,0,1089,0,0,0,0,12701,0,0,3820,5,0,0,0,911,0
42792,0,1089,0,0,0,0,11340,0,0,3820,30,0,0,0,911,0
42793,0,1089,0,0,0,0,12710,0,0,3820,25,0,0,0,911,0
42794,0,1089,0,0,0,0,12711,0,0,3820,20,0,0,0,911,0
42795,0,1082,0,0,0,0,11363,0,0,3820,30,0,0,0,911,0
42796,0,1082,0,0,0,0,12795,0,0,3820,25,0,0,0,911,0
42797,0,1082,0,0,0,0,12796,0,0,3820,20,0,0,0,911,0
42798,0,1082,0,0,0,0,12797,0,0,3820,15,0,0,0,911,0
42799,0,1082,0,0,0,0,12798,0,0,3820,10,0,0,0,911,0
42800,0,1082,0,0,0,0,12799,0,0,3820,5,0,0,0,911,0
42801,0,1082,0,0,0,0,11326,0,0,3820,30,0,0,0,911,0
42802,0,1082,0,0,0,0,12790,0,0,3820,25,0,0,0,911,0
42803,0,1082,0,0,0,0,12791,0,0,3820,20,0,0,0,911,0
42804,0,1082,0,0,0,0,12792,0,0,3820,15,0,0,0,911,0
42805,0,1082,0,0,0,0,12793,0,0,3820,10,0,0,0,911,0
42806,0,1082,0,0,0,0,12794,0,0,3820,5,0,0,0,911,0
42807,0,1082,0,0,0,0,11362,0,0,3820,30,0,0,0,911,0
42808,0,1082,0,0,0,0,12800,0,0,3820,25,0,0,0,911,0
42809,0,1082,0,0,0,0,12801,0,0,3820,20,0,0,0,911,0
42810,0,1082,0,0,0,0,12802,0,0,3820,15,0,0,0,911,0
42811,0,1082,0,0,0,0,12803,0,0,3820,10,0,0,0,911,0
42812,0,1082,0,0,0,0,12804,0,0,3820,5,0,0,0,911,0
42813,0,1091,0,0,0,0,11372,0,0,3820,30,0,0,0,911,0
42814,0,1091,0,0,0,0,12715,0,0,3820,25,0,0,0,911,0
42815,0,1091,0,0,0,0,12716,0,0,3820,20,0,0,0,911,0
42816,0,1091,0,0,0,0,12717,0,0,3820,15,0,0,0,911,0
42817,0,1091,0,0,0,0,12718,0,0,3820,10,0,0,0,911,0
42818,0,1091,0,0,0,0,12719,0,0,3820,5,0,0,0,911,0
42821,0,1091,0,0,0,0,11371,0,0,3820,30,0,0,0,911,0
42822,0,1091,0,0,0,0,12720,0,0,3820,25,0,0,0,911,0
42823,0,1091,0,0,0,0,12721,0,0,3820,20,0,0,0,911,0
