ID,Quality,XpToNextQuality,GarrFollowerTypeID,AbilityCount,TraitCount,ShipmentXP,ClassSpecID
1,1,2000,1,1,1,0,0
2,2,60000,1,1,1,1800,0
3,3,120000,1,1,2,1800,0
4,4,0,1,2,3,0,0
5,5,0,1,2,3,0,0
29,2,5000,2,0,2,0,0
30,3,40000,2,1,2,0,0
31,4,0,2,2,2,0,0
32,2,20000,4,3,0,200,0
33,3,100000,4,3,1,200,0
34,4,200000,4,3,2,200,0
35,1,8000,4,2,0,200,0
45,6,0,4,3,3,0,0
46,5,0,4,3,3,0,0
47,1,1000,22,2,0,0,0
48,4,30000,22,3,1,0,0
49,3,2000,22,3,1,0,0
50,2,1500,22,2,0,0,0
51,4,30000,22,2,2,0,190
52,3,2000,22,2,1,0,190
53,2,1500,22,2,0,0,190
54,1,1000,22,2,0,0,190
55,4,30000,22,2,2,0,183
56,3,2000,22,2,1,0,183
57,2,1500,22,2,0,0,183
58,1,1000,22,2,0,0,183
59,3,2000,22,3,0,0,194
60,2,1500,22,2,0,0,194
61,1,1000,22,1,0,0,194
62,3,2000,22,3,0,0,193
63,2,1500,22,2,0,0,193
64,1,1000,22,1,0,0,193
165,5,0,22,3,2,0,0
166,5,0,22,3,2,0,183
167,5,0,22,3,2,0,190
168,2,0,123,1,0,0,192
