Field_1_15_8_63829_000_lang,Field_1_15_8_63829_001_lang,Field_1_15_8_63829_002,Field_1_15_8_63829_003,Field_1_15_8_63829_004,Field_1_15_8_63829_005,Field_1_15_8_63829_006,Field_1_15_8_63829_007,Field_1_15_8_63829_008,Field_1_15_8_63829_009[0],Field_1_15_8_63829_009[1],Field_1_15_8_63829_010[0],Field_1_15_8_63829_010[1],Field_1_15_8_63829_010[2],Field_1_15_8_63829_011[0],Field_1_15_8_63829_011[1],Field_1_15_8_63829_011[2]
The Valley of Trials will temper even the weakest into a warrior worthy to join the Horde. Those who cannot rise to its tests will be left to bake in the scorching desert sun.,,6016,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ah, well aren't you a sturdy-looking one? Perhaps you can assist me with a thing or two. Not much help around here except for green apprentices, and they've other things to worry about.",,7589,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ya may not follow the ways of the Light like a Knight of the Silver Hand, but ya can always ask us for aid.","Ya may not follow the ways of the Light like a Knight of the Silver Hand, but ya can always ask us for aid.",6509,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The big wars might be over, for now, but we still have to keep our skills sharp!","The big wars might be over, for now, but we still have to keep our skills sharp!",3351,7,0,0,1,0,0,0,0,0,0,0,0,0,0
I sell the finest cloth and leather garb this side of the valley!,,4376,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I can train you in First Aid techniques.,I can train you in First Aid techniques.,9701,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fill yer tankard and pull up a chair. We've stories to tell and kegs to empty.,Fill yer tankard and pull up a chair. We've stories to tell and kegs to empty.,2826,7,0,0,1,0,0,0,0,0,0,0,0,0,0
I can teach you how to cook!,I can teach you how to cook!,9688,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Erm... I really don't know you that well, sorry.  I mean, as an authorized Mechano-strider dealer, I really only can sell my mounts to those people who are considered exalted amongst the gnomes.  If you ever are recognized as exalted to Gnomeregan, I'd be happy to show you what I have to offer.","Erm... I really don't know you that well, sorry.  I mean, as an authorized Mechano-strider dealer, I really only can sell my mounts to those people who are considered exalted amongst the gnomes.  If you ever are recognized as exalted to Gnomeregan, I'd be happy to show you what I have to offer.",8430,0,0,0,1,0,0,0,0,24,1,0,0,0,0
Welcome to Steelgrill's Depot!,,6888,0,0,0,1,0,0,0,0,2,0,0,0,0,0
Just a minor adjustment here... ah there we go!,,7794,0,0,0,1,0,0,0,0,0,0,0,0,0,0
