ID,SoundID,Camera[0],Camera[1],Camera[2],Camera[3],Camera[4],Camera[5],Camera[6],Camera[7]
1,0,1,0,0,0,0,0,0,0
2,0,2,0,0,0,0,0,0,0
21,0,235,0,0,0,0,0,0,0
41,0,234,0,0,0,0,0,0,0
61,0,122,0,0,0,0,0,0,0
81,0,142,0,0,0,0,0,0,0
101,0,279,0,0,0,0,0,0,0
121,0,251,0,0,0,0,0,0,0
141,0,202,0,0,0,0,0,0,0
161,0,224,0,0,0,0,0,0,0
162,0,243,0,0,0,0,0,0,0
163,0,244,0,0,0,0,0,0,0
164,0,245,0,0,0,0,0,0,0
165,0,246,0,0,0,0,0,0,0
167,0,247,0,0,0,0,0,0,0
168,0,248,0,0,0,0,0,0,0
169,0,249,0,0,0,0,0,0,0
170,0,253,0,0,0,0,0,0,0
172,0,288,0,0,0,0,0,0,0
173,0,277,0,0,0,0,0,0,0
197,25450,306,0,0,0,0,0,0,0
259,0,343,0,0,0,0,0,0,0
265,0,345,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0
271,0,356,0,0,0,0,0,0,0
272,0,355,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0
