ID,TraitNodeGroupID,SkillLineID,OrderIndex,TraitTreeID
1,11326,375,0,1082
2,11363,373,1,1082
3,11362,374,2,1082
4,11328,574,0,1089
5,11347,134,1,1089
6,11340,573,2,1089
7,11372,50,0,1091
8,11371,163,1,1091
9,11370,51,2,1091
10,11486,594,0,1100
11,11541,267,1,1100
12,11559,184,2,1100
13,11580,253,0,1111
14,11573,38,1,1111
15,11572,39,2,1111
16,11582,237,0,1112
17,11594,8,1,1112
18,11601,6,2,1112
19,11608,613,0,1114
20,11615,56,1,1114
21,11622,78,2,1114
22,11629,355,0,1116
23,11636,354,1,1116
24,11637,593,2,1116
25,11650,26,0,1117
26,11657,256,1,1117
27,11670,257,2,1117
