ID,ParentSpellID,ChildSpellID,Field_12_0_1_64889_002
1,1122,22703,0
2,47481,91800,0
4,338001,350529,0
8,218617,184707,0
9,218617,184709,0
10,218617,201364,0
11,218617,201363,0
12,96103,85384,0
13,96103,85288,0
14,5308,280849,0
15,5308,163558,0
16,5308,217955,0
17,5308,217956,0
18,5308,217957,0
19,5308,224253,0
20,5308,260798,0
21,199658,199850,0
22,199658,190411,0
23,199658,44949,0
24,199658,199667,0
25,199658,199852,0
26,199658,199851,0
27,199658,411547,0
28,199658,385228,0
29,126664,105771,0
30,385062,385060,0
31,385062,385061,0
32,335100,335097,0
33,335100,335098,0
34,845,458459,0
35,440886,440884,0
36,440886,440888,0
37,50622,95738,0
38,435791,460670,0
39,199547,222031,0
40,199552,200685,0
41,199552,391378,0
42,199552,391374,0
43,210153,210155,0
44,210153,393055,0
45,210153,393054,0
46,337819,393035,0
47,201428,227518,0
48,178741,187727,0
49,201628,201789,0
50,225919,225921,0
51,205165,205164,0
52,197834,193315,0
53,202823,202822,0
54,282449,280720,0
55,282449,280719,0
56,5374,27576,0
57,8676,385897,0
58,8676,430023,0
59,233490,233496,0
60,233490,233497,0
61,233490,233498,0
62,233490,233499,0
63,261977,261947,0
64,17364,32175,0
65,17364,32176,0
66,188196,45284,0
67,188443,45297,0
68,117014,120588,0
69,285452,285466,0
70,77478,298765,0
71,210714,219271,0
72,228360,228361,0
73,401428,401422,0
74,414532,417134,0
75,414532,413584,0
76,414532,424094,0
77,100784,228649,0
78,439843,436304,0
79,439843,439594,0
80,222024,66198,0
81,222026,66196,0
82,383313,383312,0
83,441426,441424,0
84,1228433,1228443,0
85,1228433,1228436,0
86,433934,433981,0
87,433934,434493,0
88,441424,441426,0
89,194913,195975,0
90,194913,232752,0
91,444005,444834,0
92,444005,444633,0
93,207311,55090,9188
94,55090,70890,9188
95,207311,70890,9188
96,343294,343295,0
97,434237,434246,0
98,383269,383313,0
99,383269,383312,0
100,439843,436304,0
101,439843,439594,0
102,439843,435802,0
103,49184,207150,0
104,49184,1231083,0
105,49184,1231082,0
106,55095,228322,0
107,49143,222026,0
108,49143,66196,0
109,49143,455996,0
110,190778,190780,0
111,205164,205165,0
112,49998,66188,0
113,196770,196771,0
114,196770,196772,0
115,196770,211793,0
116,196770,204959,0
117,196770,456371,0
118,279302,279303,0
119,279302,410790,0
120,47632,390271,0
121,344955,319236,0
122,344955,319238,0
123,344955,319243,0
124,207317,215969,0
125,207317,212739,0
126,433895,434422,0
127,433895,434144,0
128,191587,191685,0
129,194311,207267,0
130,49028,192566,0
131,43265,52212,0
132,43265,188290,0
133,42650,191729,0
134,49020,253597,9188
135,49020,325461,0
136,49020,222024,0
137,49020,66198,0
138,201427,201428,0
139,201427,227518,0
140,201427,390137,0
141,188499,200685,0
142,188499,199552,0
143,188499,391378,0
144,188499,391374,0
145,210152,210153,0
146,210152,210155,0
147,210152,393055,0
148,210152,393054,0
149,162794,199547,0
150,162794,222031,0
151,162794,202388,0
152,198013,212105,9188
153,212084,212105,9188
154,198013,391058,9188
155,212084,391058,9188
156,198013,346505,9188
157,212084,346505,9188
158,212084,198013,9188
159,198013,198030,9188
160,212084,198030,9188
161,198013,202446,9188
162,212084,202446,9188
163,198013,393834,9188
164,212084,393834,9188
165,198013,346503,9188
166,212084,346503,9188
167,198013,212084,9188
168,198013,452486,9188
169,212084,452486,9188
170,198013,212106,9188
171,212084,212106,9188
172,198013,326863,9188
173,212084,326863,9188
174,258920,258921,0
175,258920,258922,0
176,258920,320334,0
177,258920,427904,0
178,258920,427905,0
179,258920,427906,0
180,258920,427907,0
181,258920,427908,0
182,258920,427910,0
183,258920,427911,0
184,258920,427912,0
185,258920,427913,0
186,258920,427914,0
187,258920,427915,0
188,258920,427916,0
189,258920,427917,0
190,258920,456640,0
191,258920,452487,0
192,258920,390197,0
193,263642,209795,0
194,263642,225919,0
195,263642,225921,0
196,263642,442507,9188
197,263642,442507,9188
198,228477,228478,0
199,228477,452436,0
200,185123,444979,9188
201,204157,444979,9188
202,228477,444806,9188
203,207407,214743,0
204,370965,370969,0
205,370965,370966,0
206,370965,370971,0
207,370965,370970,0
208,370965,1246169,0
209,370965,1246168,0
210,370965,1246167,0
211,204596,204598,0
212,204596,425672,0
213,204596,452490,0
214,204596,462030,0
215,389958,227255,0
216,389958,247456,0
217,203794,210042,0
218,203794,391234,0
219,228532,328953,0
220,228532,178963,0
221,228532,202644,0
222,228532,442788,9188
223,203794,442788,9188
224,204021,207771,0
225,211881,225102,0
226,211052,211053,0
227,232893,213241,0
228,232893,213243,0
229,198793,198813,0
230,204157,346665,0
231,185123,337819,0
232,185123,393035,0
233,185123,207690,0
234,185123,390181,0
235,247454,218677,0
236,247454,218679,0
237,247454,452437,0
238,247454,247455,0
239,307046,339894,0
240,178740,178741,0
241,178740,187727,0
242,201467,201628,0
243,201467,201789,0
244,201467,217070,0
245,211048,211796,0
246,211048,211797,0
247,228537,209693,0
248,228537,328951,0
249,228537,209788,0
250,204255,203795,0
251,204255,328957,0
252,450883,1217459,0
253,471938,471936,0
254,53351,385638,0
255,320976,449233,9188
256,53351,449233,9188
257,212436,459870,0
258,212436,451194,9188
259,269751,202800,0
260,269751,206933,0
261,269751,269752,0
262,269751,1217375,0
263,269751,259516,0
264,360952,360969,0
265,360952,361049,0
266,466930,468037,0
267,466930,468572,0
268,466930,467914,0
269,466930,472084,0
270,466930,444269,0
271,466930,385638,0
272,430703,461490,0
273,257620,459848,0
274,257620,451194,9188
275,34026,83381,0
276,34026,197163,0
277,259277,445431,9188
278,34026,445431,9188
279,259277,400069,0
280,34026,468019,9188
281,19434,468019,9188
282,260243,260247,0
283,217200,1217549,0
284,217200,259491,9188
285,259387,259491,9188
286,186270,259491,9188
287,217200,271788,9188
288,19434,394371,0
289,109304,128594,0
290,109304,385540,0
291,207068,207097,0
292,207068,218635,0
293,217200,217207,0
294,53209,171454,0
295,53209,171457,0
296,2643,197465,0
297,271788,378016,0
298,185901,212621,0
299,185901,191070,0
300,185358,459844,0
301,360966,378957,0
302,360966,389881,0
303,203415,203413,0
304,259387,265888,9188
305,186270,265189,9188
306,259391,259396,0
307,259391,259398,0
308,259391,267666,0
309,259495,269747,0
310,259495,265157,0
311,270323,270329,0
312,270323,270332,0
313,271045,271048,0
314,271045,271049,0
315,271045,260231,0
316,270335,270338,0
317,270335,270339,0
318,270335,270343,0
319,202800,191413,9188
320,34026,191413,9188
321,1215515,1215518,0
322,441591,441812,0
323,441605,451177,0
324,77758,405233,0
325,77758,106830,0
326,77758,192090,0
327,1822,155722,0
328,33917,395942,0
329,203958,213709,0
330,455461,455470,0
331,455461,455474,0
332,145109,145110,0
333,18562,383193,0
334,18562,1236853,0
335,81269,392329,0
336,81269,207386,0
337,774,200389,0
338,774,155777,0
339,774,447132,0
340,33763,33778,0
341,188550,33763,9188
342,188550,33778,9188
343,33763,33778,9188
344,202497,408310,0
345,191034,393869,0
346,191034,191037,0
347,191034,1236613,0
348,8921,164812,0
349,202770,211545,0
350,202770,394111,0
351,202770,428682,0
352,202770,425206,0
353,88751,81281,0
354,77758,1236917,9188
355,194153,1236917,9188
356,78674,394047,0
357,78674,1236851,0
358,77758,197626,9188
359,1079,391356,0
360,22568,391710,0
361,285381,391786,0
362,1215550,1215553,0
363,356995,444017,9188
364,355913,445740,9188
365,357210,353759,9188
366,357210,433874,9188
367,357210,441172,9188
368,357210,403516,9188
369,433874,441172,9188
370,433874,353759,9188
371,357210,353759,9188
372,433874,403516,9188
373,357210,403516,9188
374,442204,357210,9188
375,403631,357210,9188
376,433874,357210,9188
377,357210,357210,9188
378,442204,353759,9188
379,403631,353759,9188
380,433874,353759,9188
381,357210,353759,9188
382,442204,433874,9188
383,403631,433874,9188
384,433874,433874,9188
385,357210,433874,9188
386,442204,441172,9188
387,403631,441172,9188
388,433874,441172,9188
389,357210,441172,9188
390,442204,403516,9188
391,403631,403516,9188
392,433874,403516,9188
393,357210,403516,9188
394,442204,409632,9188
395,403631,409632,9188
396,433874,409632,9188
397,357210,409632,9188
398,442204,409678,9188
399,403631,409678,9188
400,431443,431583,0
401,431443,431483,0
402,431443,361500,9188
403,361469,361500,9188
404,431443,361509,9188
405,361469,361509,9188
406,408092,396286,9188
407,408092,396288,9188
408,408092,431620,9188
409,396286,408092,9188
410,396286,396288,9188
411,396286,431620,9188
412,382266,357208,9188
413,357208,382266,9188
414,382266,410265,9188
415,357208,410265,9188
416,382266,357209,9188
417,357208,357209,9188
418,382266,444249,9188
419,357208,444249,9188
420,382266,357208,9188
421,357208,382266,9188
422,382266,357209,9188
423,357208,357209,9188
424,382266,444249,9188
425,357208,444249,9188
426,382266,357208,9188
427,357208,382266,9188
428,382266,357209,9188
429,357208,357209,9188
430,382266,444249,9188
431,357208,444249,9188
432,443328,443329,0
433,443328,443330,0
434,443328,444089,9188
435,443328,445495,9188
436,409311,410089,0
437,409311,404908,0
438,409311,413786,0
439,395160,424428,0
440,395160,438653,0
