Description,ID,SourceTypeEnum,ItemModifiedAppearanceID,HouseDecorID
Item Appearance: (158) - 1.0 Armor Shirt - CLOTH_A_02 - Gold,68,3,19,0
Item Appearance: (159) - 1.0 Armor Legs - LEATHER_A_05 - Yellow,69,3,20,0
Item Appearance: (160) - 1.0 Armor Feet - LEATHER_A_05 - Yellow,70,3,21,0
Item Appearance: (161) - 1.0 Armor Feet - CLOTH_A_05 - Blue,71,3,22,0
Item Appearance: (162) - 1.0 Armor Legs - CLOTH_A_01 - Blue,72,3,23,0
Item Appearance: (163) - 1.0 Armor Shirt - CLOTH_A_01 - Blue,73,3,24,0
Item Appearance: (164) - 1.0 Armor Feet - LEATHER_A_03 - Black,74,3,25,0
Item Appearance: (165) - 1.0 Armor Legs - LEATHER_A_03 - Black,75,3,26,0
Item Appearance: (167) - 1.0 Armor Feet - CLOTH_A_06 - Brown,76,3,28,0
Item Appearance: (168) - 1.0 Armor Legs - CLOTH_A_06 - Brown,77,3,29,0
Item Appearance: (169) - 1.0 Armor Shirt - CLOTH_A_06 - Brown,78,3,30,0
Item Appearance: (170) - 1.0 Armor Feet - CLOTH_A_05 - Blue,79,3,31,0
Item Appearance: (171) - 1.0 Armor Robe - ROBE_A_01 - Indigo,80,3,32,0
Item Appearance: (172) - 1.0 Armor Robe - ROBE_A_01 - Maroon,81,3,33,0
Item Appearance: (173) - 1.0 Armor Feet - CLOTH_B_01 - Brown,82,3,34,0
Item Appearance: (178) - 1.0 Armor Chest - LEATHER_HORDE_A_01 - Brown,83,3,39,0
Item Appearance: (179) - 1.0 Armor Legs - LEATHER_HORDE_A_04 - Black,84,3,40,0
Item Appearance: (180) - 1.0 Armor Feet - LEATHER_HORDE_A_04 - Black,85,3,41,0
Item Appearance: (182) - 1.0 Armor Feet - LEATHER_A_02_BOOT,86,3,43,0
Item Appearance: (183) - 1.0 Armor Legs - LEATHER_HORDE_A_02 - Brown,87,3,44,0
Item Appearance: (184) - 1.0 Armor Feet - LEATHER_HORDE_A_02 - Brown,88,3,45,0
Item Appearance: (186) - 1.0 Armor Legs - LEATHER_A_02_PANT,89,3,47,0
Item Appearance: (188) - 1.0 Armor Legs - ROBE_HORDE_A_01 - Brown,90,3,49,0
Item Appearance: (191) - 1.0 Armor Chest - CLOTH_HORDE_A_01 - Black,91,3,52,0
Item Appearance: (192) - 1.0 Armor Legs - CLOTH_HORDE_A_01 - Black,92,3,53,0
Item Appearance: (193) - 1.0 Armor Feet - CLOTH_HORDE_A_01 - Black,93,3,54,0
Item Appearance: (194) - 1.0 Armor Chest - CLOTH_B_01 - Yellow,94,3,55,0
Item Appearance: (195) - 1.0 Armor Legs - CLOTH_B_01 - Yellow,95,3,56,0
Item Appearance: (196) - 1.0 Armor Feet - CLOTH_B_01 - Yellow,96,3,57,0
