ID,Name_lang,InstanceType,OrderIndex,OldEnumValue,FallbackDifficultyID,MinPlayers,MaxPlayers,Flags,ItemContext,ToggleDifficultyID,GroupSizeHealthCurveID,GroupSizeDmgCurveID,GroupSizeSpellPointsCurveID,Field_1_15_4_56400_013
1,Normal,1,1,0,0,5,5,6,1,0,0,0,0,0
2,Heroic,1,2,1,1,5,5,5,2,0,0,0,0,0
3,10 Player,2,1,0,0,10,10,6,0,5,0,0,0,1
4,25 Player,2,3,1,0,25,25,6,0,6,0,0,0,1
5,10 Player (Heroic),2,2,2,3,10,10,5,0,3,0,0,0,1
6,25 Player (Heroic),2,4,3,4,25,25,5,0,4,0,0,0,1
7,Looking For Raid,2,5,4,4,25,25,16,0,0,0,0,0,0
8,Challenge Mode,1,3,-1,2,5,5,5,0,0,0,0,0,0
9,40 Player,2,7,-1,0,40,40,0,0,0,0,0,0,0
11,Heroic Scenario,5,2,-1,12,3,3,1,0,0,0,0,0,0
12,Normal Scenario,5,1,-1,0,5,5,2,0,0,0,0,0,0
14,Flexible,2,6,-1,0,10,25,16,0,0,0,0,0,0
148,20 Player,2,6,-1,0,20,20,0,0,0,0,0,0,0
173,Normal,1,1,0,1,5,5,0,1,0,0,0,0,0
174,Heroic,1,3,1,2,5,5,1,2,0,0,0,0,0
175,10 Player,2,1,0,3,10,10,0,0,5,0,0,0,2
176,25 Player,2,3,1,4,25,25,0,0,6,0,0,0,2
193,10 Player (Heroic),2,2,2,5,10,10,1,0,5,0,0,0,2
194,25 Player (Heroic),2,4,3,6,25,25,1,0,4,0,0,0,2
237,Celestial,1,4,1,2,5,5,4,2,0,0,0,0,0
