ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
662,Human - Active - Will to Survive,Instantly removes all Stun effects.,|cnWHITE_FONT_COLOR:Will to Survive:|r Remove Stuns,136129,0,1
663,Human - Active - Perception,Improves detection of Stealthed enemies,|cnWHITE_FONT_COLOR:Perception:|r Detect Stealthed enemies for 20 sec,136090,1,1
664,Human - Passive - Sword Specialization,Increases critical chance by 2% while wielding Swords,|cnWHITE_FONT_COLOR:Sword Specialization (Passive):|r Swords increase spell and ability critical chance by 2%,132223,2,1
665,Human - Passive - The Human Spirit,Increases Spirit by 5%,|cnWHITE_FONT_COLOR:The Human Spirit (Passive):|r 5% increased Spirit,132874,3,1
666,Dwarf - Active - Stonefom,"Reduces Physical damage taken and instantly removes Bleeds, Poisons, and Diseases","|cnWHITE_FONT_COLOR:Stoneform:|r Immunity to Bleeds, Poisons, and Diseases and reduce Physical damage taken for 8 sec",136225,0,3
667,Dwarf - Active - Find Treasure,Track nearby treasure chests on your minimap,|cnWHITE_FONT_COLOR:Find Treasure:|r Track nearby treasure chests,135725,1,3
668,Dwarf - Passive - Mace Specialization,Increases critical chance by 1% while wielding Maces,|cnWHITE_FONT_COLOR:Mace Specialization (Passive):|r Maces increase spell and ability critical chance by 1%,133042,2,3
669,Dwarf - Passive - Big Game Hunter,Damage dealt versus Beasts increased by 5%,|cnWHITE_FONT_COLOR:Big Game Hunter (Passive):|r Damage to Beasts increased by 5%,135614,3,3
670,Night Elf - Active - Elune's Light,Increases critical chance by 10%,|cnWHITE_FONT_COLOR:Elune's Light:|r Increases critical chance by 10% for 15 sec,136057,0,4
671,Night Elf - Active - Shadowmeld,Gain Stealth while immobile,|cnWHITE_FONT_COLOR:Shadowmeld:|r Gain Stealth while immobile,132089,1,4
672,Night Elf - Passive - Quickness,1% Increased Dodge chance and 2% increased movement speed,|cnWHITE_FONT_COLOR:Quickness (Passive):|r 1% increased Dodge chance and 2% increased run speed,132279,2,4
673,Night Elf - Passive - Wisp Spirit,75% increased movment speed while dead,|cnWHITE_FONT_COLOR:Wisp Spirit (Passive):|r 75% increased run speed while dead,136116,3,4
674,Gnome - Active - Escape Artist,Immune to movement impairing effects for 3 seconds,|cnWHITE_FONT_COLOR:Escape Artist:|r Brief Immunity to Roots and Snares,132309,0,7
675,Gnome - Active - Eureka!,Reduced cost and 10% increased damage or healing on next 3 spells or abilities,|cnWHITE_FONT_COLOR:Eureka!:|r Reduced cost and 10% increased damage or healing on next 3 spells or abilities,4226119,1,7
676,Gnome - Passive - Expansive Mind,"Maximum Mana, Rage, or Energy increased by 5%","|cnWHITE_FONT_COLOR:Expansive Mind (Passive):|r Maximum Mana, Rage, or Energy increased by 5%",132864,2,7
677,Gnome - Passive - Engineering Specialization,20% reduced chance for engineering devices to fail or backfire,|cnWHITE_FONT_COLOR:Engineering Specialization (Passive):|r More reliable engineering devices,134063,3,7
678,Orc - Active - Blood Fury,Increases Attack Power and Spell Power by 10%,|cnWHITE_FONT_COLOR:Blood Fury:|r Increases Attack Power and Spell Power by 10% for 15 sec,135726,0,2
679,Orc - Active - Shatter Curse,Increases movement speed of Party members by 20%,|cnWHITE_FONT_COLOR:Shatter Curse:|r Immunity to Curses and Banes and reduce Magical damage taken for 8 sec,136082,1,2
680,Orc - Passive - Axe Specialization,Increases critical chance by 1% while wielding Axes,|cnWHITE_FONT_COLOR:Axe Specialization (Passive):|r Axes increase spell and ability critical chance by 1%,132393,2,2
681,Orc - Passive - Hardiness,Stun durations decreased by 20%,|cnWHITE_FONT_COLOR:Hardiness (Passive):|r Stun durations decreased by 20%,133125,3,2
682,Tauren - Active - War Stomp,Stuns up to 5 nearby enemies for 2 sec,|cnWHITE_FONT_COLOR:War Stomp:|r Stuns nearby enemies for 2 sec,132368,0,6
683,Tauren - Active - Cultivation,Grow bonus herbs that don't require herbalism to gather,|cnWHITE_FONT_COLOR:Cultivation:|r Grow bonus herbs that don't require herbalism to gather,133938,1,6
684,Tauren - Passive - Plainsrunning,Self and Party movement speed increased by 2%,|cnWHITE_FONT_COLOR:Plainsrunning (Passive):|r Gain increased movement speed the longer you stay moving,236717,2,6
685,Tauren - Passive - Endurance,Total Health increased by 5% and Hit Chance increased by 1%,|cnWHITE_FONT_COLOR:Endurance (Passive):|r Total Health increased by 5% and Hit Chance increased by 1%,136112,3,6
686,Undead - Active - Will of the Forsaken,"Instantly removes all Charm, Fear, and Sleep effects.","|cnWHITE_FONT_COLOR:Will of the Forsaken:|r Removes Charm, Fear, and Sleep",136187,0,5
687,Undead - Active - Cannibalize,Consume a Humanoid or Undead corpse to regenerate 35% of Health and Mana over 10 sec,|cnWHITE_FONT_COLOR:Cannibalize:|r Consume corpses to regenerate 35% Health and Mana over time,132278,1,5
688,Undead - Passive - Underwater Breathing,Underwater Breath lasts 300% longer,|cnWHITE_FONT_COLOR:Underwater Breathing (Passive):|r Breathe 300% longer underwater,136148,2,5
689,Undead - Passive - Touch of the Grave,Your attacks sometimes drain Health from the atrget,|cnWHITE_FONT_COLOR:Touch of the Grave (Passive):|r Sometimes drain health with your attacks,136157,3,5
690,Troll - Active - Berserking,Increases casting and attack speed by 10%,|cnWHITE_FONT_COLOR:Berserking:|r Increases casting and attack speed by 10% for 10 sec,135727,0,8
691,Troll - Active - Rapid Regeneration,Regenerate 50% of maximum Health over 6 sec,|cnWHITE_FONT_COLOR:Rapid Regeneration:|r Regenerate 50% of maximum Health over time,1850550,1,8
692,Troll - Passive - Beast Slaying,Damage dealt versus Beasts increased by 5%,|cnWHITE_FONT_COLOR:Beast Slaying (Passive):|r Damage to Beasts increased by 5%,134357,2,8
