CalloutText_lang,CalloutFrame,ID,Type,Direction,Field_10_1_0_48480_005,UiWidgetSetID,OffsetX,OffsetY
Loot,ContainerFrame1Item1,1,2,1,107628,0,0,0
Swap,ContainerFrame1Item1,2,2,1,107628,0,0,0
Loot,MultiBarBottomLeftButton1,9,2,1,107628,0,0,0
Swap|n|n(|cFF00FFFFTab|r to cycle slots),MultiBarBottomLeftButton1,10,2,1,107628,0,0,0
Swap|n|n(|cFF00FFFFTab|r to cycle slots),MultiBarBottomLeftButton2,11,2,1,107628,0,0,0
Loot,MultiBarBottomLeftButton2,12,2,1,107628,0,0,0
Loot,MultiBarBottomRightButton1,13,2,1,107628,0,0,0
Swap|n|n(|cFF00FFFFTab|r to cycle slots),MultiBarBottomRightButton1,14,2,1,107628,0,0,0
Loot,MultiBarBottomRightButton2,15,2,1,107628,0,0,0
Swap|n|n(|cFF00FFFFTab|r to cycle slots),MultiBarBottomRightButton2,16,2,1,107628,0,0,0
Press [Tab] to switch slots,MultiBarBottomLeft,17,3,3,0,0,0,0
Upgrade!,MultiBarBottomLeftButton1,18,2,1,107628,0,0,0
Upgrade!,MultiBarBottomLeftButton2,19,2,1,107628,0,0,0
Upgrade!,MultiBarBottomRightButton1,20,2,1,107628,0,0,0
Upgrade!,MultiBarBottomRightButton2,21,2,1,107628,0,0,0
Wait until enough players have been summoned for the tournament to begin!,UIWidgetBelowMinimapContainerFrame,29,3,3,0,0,0,0
,MultiBarBottomLeft,31,4,0,21439,772,-50000,16
,MultiBarBottomRight,32,4,0,21439,772,-50000,16
Test,ScenarioStageBlock,34,1,3,0,0,0,0
