ID,Difficulty[0],Difficulty[1],Difficulty[2],Difficulty[3],Difficulty[4],Difficulty[5],Difficulty[6],Difficulty[7],Difficulty[8],Difficulty[9]
1,0,25,50,100,150,200,250,300,400,0
2,0,40,85,170,250,335,420,505,670,0
3,0,60,120,235,355,470,590,705,940,0
4,0,75,150,305,455,605,755,910,1210,0
5,0,95,185,370,555,740,925,1110,1480,0
6,0,110,220,440,655,875,1095,1315,1750,0
7,0,125,255,505,760,1010,1265,1515,2020,0
8,0,145,285,575,860,1145,1430,1720,2290,0
9,0,160,320,640,960,1280,1600,1920,2560,0
10,0,175,355,710,1060,1415,1770,2125,2830,0
11,0,195,390,775,1165,1550,1940,2325,3100,0
12,0,210,420,845,1265,1685,2105,2530,3370,0
13,0,230,455,910,1365,1820,2275,2730,3640,0
14,0,245,490,980,1465,1955,2445,2935,3910,0
15,0,260,525,1045,1570,2090,2615,3135,4180,0
16,0,280,555,1115,1670,2225,2780,3340,4450,0
17,0,295,590,1180,1770,2360,2950,3540,4720,0
18,0,310,625,1250,1870,2495,3120,3745,4990,0
19,0,330,660,1315,1975,2630,3290,3945,5260,0
20,0,345,690,1385,2075,2765,3455,4150,5530,0
21,0,365,725,1450,2175,2900,3625,4350,5800,0
22,0,380,760,1520,2275,3035,3795,4555,6070,0
23,0,395,795,1585,2380,3170,3965,4755,6340,0
24,0,415,825,1655,2480,3305,4130,4960,6610,0
25,0,430,860,1720,2580,3440,4300,5160,6880,0
26,0,445,895,1790,2680,3575,4470,5365,7150,0
27,0,465,930,1855,2785,3710,4640,5565,7420,0
28,0,480,960,1925,2885,3845,4805,5770,7690,0
29,0,500,995,1990,2985,3980,4975,5970,7960,0
30,0,515,1030,2060,3085,4115,5145,6175,8230,0
31,0,530,1065,2125,3190,4250,5315,6375,8500,0
32,0,550,1095,2195,3290,4385,5480,6580,8770,0
33,0,565,1130,2260,3390,4520,5650,6780,9040,0
34,0,580,1165,2330,3490,4655,5820,6985,9310,0
35,0,600,1200,2395,3595,4790,5990,7185,9580,0
36,0,615,1230,2465,3695,4925,6155,7390,9850,0
37,0,635,1265,2530,3795,5060,6325,7590,10120,0
38,0,650,1300,2600,3895,5195,6495,7795,10390,0
39,0,665,1335,2665,4000,5330,6665,7995,10660,0
40,0,685,1365,2735,4100,5465,6830,8200,10930,0
41,0,700,1400,2800,4200,5600,7000,8400,11200,0
42,0,715,1435,2870,4300,5735,7170,8605,11470,0
43,0,735,1470,2935,4405,5870,7340,8805,11740,0
44,0,750,1500,3005,4505,6005,7505,9010,12010,0
45,0,770,1535,3070,4605,6140,7675,9210,12280,0
46,0,785,1570,3140,4705,6275,7845,9415,12550,0
47,0,800,1605,3205,4810,6410,8015,9615,12820,0
48,0,820,1635,3275,4910,6545,8180,9820,13090,0
49,0,835,1670,3340,5010,6680,8350,10020,13360,0
50,0,850,1705,3410,5110,6815,8520,10225,13630,0
51,0,870,1740,3475,5215,6950,8690,10425,13900,0
52,0,885,1770,3545,5315,7085,8855,10630,14170,0
53,0,905,1805,3610,5415,7220,9025,10830,14440,0
54,0,920,1840,3680,5515,7355,9195,11035,14710,0
55,0,935,1875,3745,5620,7490,9365,11235,14980,0
56,0,955,1905,3815,5720,7625,9530,11440,15250,0
57,0,970,1940,3880,5820,7760,9700,11640,15520,0
58,0,985,1975,3950,5920,7895,9870,11845,15790,0
59,0,1005,2010,4015,6025,8030,10040,12045,16060,0
60,0,1020,2040,4085,6125,8165,10205,12250,16330,0
61,0,1040,2075,4150,6225,8300,10375,12450,16600,0
62,0,1055,2110,4220,6325,8435,10545,12655,16870,0
63,0,1070,2145,4285,6430,8570,10715,12855,17140,0
64,0,1090,2175,4355,6530,8705,10880,13060,17410,0
65,0,1105,2210,4420,6630,8840,11050,13260,17680,0
66,0,1120,2245,4490,6730,8975,11220,13465,17950,0
67,0,1140,2280,4555,6835,9110,11390,13665,18220,0
68,0,1155,2310,4625,6935,9245,11555,13870,18490,0
69,0,1175,2345,4690,7035,9380,11725,14070,18760,0
70,0,1300,2605,5210,7810,10415,13020,15625,20830,0
71,0,1320,2640,5285,7925,10565,13205,15850,21130,0
72,0,1340,2680,5360,8035,10715,13395,16075,21430,0
73,0,1360,2715,5435,8150,10865,13580,16300,21730,0
74,0,1375,2755,5510,8260,11015,13770,16525,22030,0
75,0,1395,2790,5585,8375,11165,13955,16750,22330,0
76,0,1415,2830,5660,8485,11315,14145,16975,22630,0
77,0,1435,2865,5735,8600,11465,14330,17200,22930,0
78,0,1450,2905,5810,8710,11615,14520,17425,23230,0
79,0,1470,2940,5885,8825,11765,14705,17650,23530,0
80,0,1220,3050,6100,9140,12190,15240,18290,24380,0
81,0,1230,3080,6160,9240,12320,15400,18480,24640,0
82,0,1250,3120,6230,9350,12460,15580,18690,24920,0
83,0,1260,3150,6300,9450,12600,15750,18900,25200,0
84,0,1270,3180,6370,9550,12730,15910,19100,25460,0
85,0,1290,3220,6440,9650,12870,16090,19310,25740,0
86,0,1300,3250,6510,9760,13010,16260,19520,26020,0
87,0,1310,3290,6570,9860,13140,16430,19710,26280,0
88,0,1330,3320,6640,9960,13280,16600,19920,26560,0
89,0,1340,3360,6710,10070,13420,16780,20130,26840,0
90,0,1370,3420,6850,10270,13690,17110,20540,27380,0
91,0,1380,3460,6920,10370,13830,17290,20750,27660,0
92,0,1400,3490,6990,10480,13970,17460,20960,27940,0
93,0,1410,3530,7050,10580,14100,17630,21150,28200,0
94,0,1420,3560,7120,10680,14240,17800,21360,28480,0
95,0,1440,3600,7190,10790,14380,17980,21570,28760,0
96,0,1450,3630,7260,10890,14520,18150,21780,29040,0
97,0,1470,3670,7330,11000,14660,18330,21990,29320,0
98,0,1480,3700,7400,11100,14800,18500,22200,29600,0
99,0,1490,3730,7470,11200,14930,18660,22400,29860,0
