ID,VocalUIEnum,RaceID,ClassID,NormalSoundID[0],NormalSoundID[1]
9,0,1,0,1875,1999
10,1,1,0,2618,2581
11,2,1,0,1876,2000
12,3,1,0,1877,2001
13,4,1,0,1878,2002
14,5,1,0,1879,2003
15,6,1,0,0,0
16,7,1,0,0,0
17,8,1,0,2620,2985
18,9,1,0,0,0
19,10,1,0,1881,2005
20,11,1,0,1882,2006
21,12,1,0,1883,2584
22,13,1,0,2622,2585
23,14,1,0,1884,2008
24,15,1,0,1885,2009
25,16,1,0,0,0
26,17,1,0,1886,2010
27,18,1,0,2624,2586
170,0,3,0,1581,1654
171,1,3,0,2601,2889
172,5,3,0,1586,1658
173,2,3,0,1652,1655
174,3,3,0,1584,1656
175,4,3,0,1585,1657
176,6,3,0,0,0
177,7,3,0,0,0
178,10,3,0,1588,1660
179,11,3,0,1589,1661
180,12,3,0,1590,1662
181,14,3,0,1591,1663
182,15,3,0,1592,1664
183,17,3,0,1593,2895
184,19,3,0,0,0
185,20,3,0,1595,1667
186,21,3,0,0,0
187,22,3,0,1598,1669
188,23,3,0,0,0
189,24,3,0,0,0
190,25,3,0,1601,1672
191,26,3,0,1602,1676
192,27,3,0,1639,1674
193,28,3,0,1608,1675
194,29,3,0,1609,1673
195,30,3,0,1616,1677
196,31,3,0,1618,1665
197,32,3,0,0,0
198,33,3,0,0,1679
199,34,3,0,0,0
200,35,3,0,1624,1681
201,36,3,0,0,0
202,37,3,0,0,0
203,38,3,0,1614,1684
204,39,3,0,1630,1686
205,40,3,0,1630,1686
206,41,3,0,1605,1687
207,43,3,0,1606,1688
208,44,3,0,1631,1689
209,45,3,0,1626,1690
210,46,3,0,1633,1691
211,47,3,0,1627,1692
212,48,3,0,1634,1693
213,49,3,0,1625,1694
214,50,3,0,1607,1695
215,51,3,0,1653,1696
216,52,3,0,1613,1697
217,53,3,0,0,0
218,54,3,0,1635,1699
219,55,3,0,1617,1700
220,56,3,0,0,0
221,57,3,0,1636,1702
222,58,3,0,0,0
223,59,3,0,1612,1704
224,60,3,0,0,0
225,61,3,0,1637,1706
226,62,3,0,1615,1707
227,0,7,0,1708,1709
228,2,7,0,1710,1765
229,3,7,0,1711,1766
230,4,7,0,1712,1767
231,5,7,0,1713,1768
232,7,7,0,0,0
233,10,7,0,1715,1770
234,11,7,0,1716,1771
235,12,7,0,1717,1772
236,14,7,0,1718,1773
237,15,7,0,1719,1774
238,17,7,0,1720,1775
239,19,7,0,0,0
240,20,7,0,1722,1777
241,21,7,0,0,0
242,22,7,0,1724,1779
243,24,7,0,0,0
244,25,7,0,1726,1783
245,26,7,0,1727,1784
246,27,7,0,1728,1785
247,28,7,0,1729,1786
248,29,7,0,1730,1787
249,30,7,0,1731,1788
250,31,7,0,1732,1789
251,32,7,0,0,0
252,33,7,0,1734,1791
253,34,7,0,0,0
254,35,7,0,1736,1793
255,36,7,0,0,0
256,37,7,0,0,0
257,38,7,0,1741,1796
258,39,7,0,1743,1798
259,40,7,0,1743,1798
260,41,7,0,1744,1799
261,43,7,0,1745,1800
262,44,7,0,1746,1801
263,45,7,0,1747,1802
264,46,7,0,1748,1803
265,47,7,0,1749,1804
266,48,7,0,1750,1805
267,49,7,0,1751,1806
268,50,7,0,1752,1807
269,51,7,0,1753,1808
270,52,7,0,1754,1809
271,53,7,0,0,0
272,54,7,0,1756,1811
273,55,7,0,1757,1812
274,56,7,0,0,0
275,57,7,0,1759,1814
276,58,7,0,0,0
277,59,7,0,1761,1816
278,60,7,0,0,0
279,61,7,0,1763,1818
280,62,7,0,1764,1819
281,0,8,0,1820,1930
282,23,7,0,0,0
283,2,8,0,1821,1931
284,3,8,0,1822,1932
285,4,8,0,1823,1933
286,5,8,0,1824,1934
287,7,8,0,0,0
288,10,8,0,1826,1936
289,11,8,0,1827,1937
290,12,8,0,1828,1938
291,14,8,0,1829,1939
292,15,8,0,1830,1940
293,17,8,0,1831,1941
294,19,8,0,0,0
295,20,8,0,1833,1943
296,21,8,0,0,0
297,22,8,0,1835,1945
298,23,8,0,0,0
299,24,8,0,0,0
300,25,8,0,1838,1948
301,26,8,0,1839,1949
302,27,8,0,1840,1950
303,28,8,0,1841,1951
304,29,8,0,1842,1952
305,30,8,0,1843,1953
306,31,8,0,1844,1954
307,32,8,0,0,0
308,33,8,0,1846,1956
309,34,8,0,0,0
310,35,8,0,1848,1958
311,36,8,0,0,0
312,37,8,0,0,0
313,38,8,0,1851,1961
314,39,8,0,1853,1963
315,40,8,0,1853,1963
316,41,8,0,1854,1964
317,43,8,0,1855,1965
318,44,8,0,1856,1966
319,45,8,0,1857,1967
320,46,8,0,1858,1968
321,47,8,0,1859,1983
322,48,8,0,1860,1984
323,49,8,0,1861,1985
324,50,8,0,1862,1986
325,51,8,0,1863,1987
326,52,8,0,1864,1988
327,53,8,0,0,0
328,54,8,0,1866,1990
329,55,8,0,1867,1991
330,56,8,0,0,0
331,57,8,0,1869,1993
332,58,8,0,0,0
333,59,8,0,1871,1995
334,60,8,0,0,0
335,61,8,0,1873,1997
336,62,8,0,1874,1998
337,19,1,0,0,0
338,20,1,0,1888,2012
339,21,1,0,0,0
340,22,1,0,1890,2014
341,23,1,0,0,0
342,24,1,0,0,0
343,25,1,0,1893,2017
344,26,1,0,1894,2018
345,27,1,0,1895,2019
346,28,1,0,1896,2020
347,29,1,0,1897,2021
348,30,1,0,1898,2022
349,31,1,0,1899,2023
350,32,1,0,0,0
351,33,1,0,1901,2025
352,34,1,0,0,0
353,35,1,0,1903,2027
354,36,1,0,0,0
355,37,1,0,0,0
356,38,1,0,1906,2030
357,39,1,0,1908,1798
358,40,1,0,1908,2032
359,41,1,0,1909,2033
360,43,1,0,1910,2034
361,44,1,0,1911,2035
362,45,1,0,1912,2036
363,46,1,0,1913,2037
364,47,1,0,1914,2038
365,48,1,0,1915,2039
366,49,1,0,1916,2040
367,50,1,0,1917,2041
368,51,1,0,1918,2042
369,52,1,0,1919,2043
370,53,1,0,0,0
371,54,1,0,1921,2045
372,55,1,0,1922,2046
373,56,1,0,0,0
374,57,1,0,1924,2048
375,58,1,0,0,0
376,59,1,0,1926,2050
377,60,1,0,0,0
378,61,1,0,1928,2052
379,62,1,0,1929,2053
380,0,5,0,2054,2173
381,2,5,0,2055,2174
382,3,5,0,2056,2175
383,4,5,0,2057,2176
384,5,5,0,2058,2177
385,7,5,0,0,0
386,10,5,0,2060,2179
387,11,5,0,2062,2180
388,14,5,0,2063,2183
389,15,5,0,2064,2184
390,17,5,0,2065,2185
391,19,5,0,0,0
392,20,5,0,2067,2187
393,21,5,0,0,0
394,22,5,0,2069,2189
395,23,5,0,0,0
396,24,5,0,0,0
397,25,5,0,2072,2192
398,26,5,0,2073,2193
399,27,5,0,2074,2194
400,28,5,0,2075,2195
401,29,5,0,2076,2196
402,30,5,0,2077,2197
403,31,5,0,2078,2198
404,32,5,0,0,0
405,33,5,0,2080,2200
406,34,5,0,0,0
407,35,5,0,2082,2202
408,36,5,0,0,0
409,37,5,0,0,0
410,38,5,0,2085,2205
411,39,5,0,2096,2207
412,40,5,0,2096,2207
413,41,5,0,2097,2208
414,43,5,0,2098,2209
415,44,5,0,2099,2210
416,45,5,0,2100,2211
417,46,5,0,2101,2212
418,47,5,0,2102,2213
419,48,5,0,2103,2214
420,49,5,0,2104,2215
421,50,5,0,2105,2216
422,51,5,0,2106,2217
423,52,5,0,2107,2218
424,53,5,0,0,0
425,54,5,0,2109,2220
426,55,5,0,2110,2221
427,56,5,0,0,0
428,57,5,0,2112,2223
429,58,5,0,0,0
430,59,5,0,2114,2225
431,60,5,0,0,0
432,61,5,0,2116,2227
433,62,5,0,2117,2228
434,0,4,0,2118,2229
435,2,4,0,2119,2230
436,3,4,0,2120,2231
437,4,4,0,2121,2232
438,5,4,0,2122,2233
439,7,4,0,0,0
440,10,4,0,2124,2235
441,11,4,0,2125,2236
