ID,ItemBonusListGroupID,ItemBonusListID,ItemLevelSelectorID,SequenceValue,ItemExtendedCostID,PlayerConditionID,Flags,ItemLogicalCostGroupID
1,111,5809,516,1,6617,0,0,0
2,111,5810,517,2,6659,0,0,0
3,111,5811,518,3,6587,0,0,0
4,10,603,0,-1,0,0,0,0
5,10,604,0,-1,0,0,0,0
6,10,605,0,-1,0,0,0,0
7,10,606,0,-1,0,0,0,0
8,10,607,0,-1,0,0,0,0
9,9,1676,0,-1,0,0,0,0
10,9,1677,0,-1,0,0,0,0
11,9,1678,0,-1,0,0,0,0
12,9,1679,0,-1,0,0,0,0
13,9,1680,0,-1,0,0,0,0
14,9,1681,0,-1,0,0,0,0
15,9,1682,0,-1,0,0,0,0
16,9,1683,0,-1,0,0,0,0
17,9,1684,0,-1,0,0,0,0
18,9,1685,0,-1,0,0,0,0
19,9,1686,0,-1,0,0,0,0
20,9,1687,0,-1,0,0,0,0
21,9,1688,0,-1,0,0,0,0
22,9,1689,0,-1,0,0,0,0
23,9,1690,0,-1,0,0,0,0
24,9,1691,0,-1,0,0,0,0
25,9,1692,0,-1,0,0,0,0
26,9,1693,0,-1,0,0,0,0
27,9,1694,0,-1,0,0,0,0
28,9,1695,0,-1,0,0,0,0
29,9,1696,0,-1,0,0,0,0
30,9,1697,0,-1,0,0,0,0
31,9,1698,0,-1,0,0,0,0
32,9,1699,0,-1,0,0,0,0
33,9,1700,0,-1,0,0,0,0
34,9,1701,0,-1,0,0,0,0
35,9,1702,0,-1,0,0,0,0
36,9,1703,0,-1,0,0,0,0
37,9,1704,0,-1,0,0,0,0
38,9,1705,0,-1,0,0,0,0
39,9,1706,0,-1,0,0,0,0
40,9,1707,0,-1,0,0,0,0
41,9,1708,0,-1,0,0,0,0
42,9,1709,0,-1,0,0,0,0
43,9,1710,0,-1,0,0,0,0
44,9,1711,0,-1,0,0,0,0
45,9,1712,0,-1,0,0,0,0
46,9,1713,0,-1,0,0,0,0
47,9,1714,0,-1,0,0,0,0
48,9,1715,0,-1,0,0,0,0
49,9,1716,0,-1,0,0,0,0
50,9,1717,0,-1,0,0,0,0
51,9,1718,0,-1,0,0,0,0
52,9,1719,0,-1,0,0,0,0
53,9,1720,0,-1,0,0,0,0
54,9,1721,0,-1,0,0,0,0
55,9,1742,0,-1,0,0,0,0
56,9,1743,0,-1,0,0,0,0
57,9,1744,0,-1,0,0,0,0
58,9,1745,0,-1,0,0,0,0
59,9,1746,0,-1,0,0,0,0
60,9,1747,0,-1,0,0,0,0
61,9,1748,0,-1,0,0,0,0
62,9,1749,0,-1,0,0,0,0
63,9,1750,0,-1,0,0,0,0
64,9,1751,0,-1,0,0,0,0
65,9,1752,0,-1,0,0,0,0
66,9,1753,0,-1,0,0,0,0
67,9,1754,0,-1,0,0,0,0
68,9,1755,0,-1,0,0,0,0
69,9,1756,0,-1,0,0,0,0
70,9,1757,0,-1,0,0,0,0
71,9,1758,0,-1,0,0,0,0
72,9,1759,0,-1,0,0,0,0
73,9,1760,0,-1,0,0,0,0
74,9,1761,0,-1,0,0,0,0
75,9,1762,0,-1,0,0,0,0
76,9,1763,0,-1,0,0,0,0
77,9,1764,0,-1,0,0,0,0
78,9,1765,0,-1,0,0,0,0
79,9,1766,0,-1,0,0,0,0
80,9,1767,0,-1,0,0,0,0
81,9,1768,0,-1,0,0,0,0
82,9,1769,0,-1,0,0,0,0
83,9,1770,0,-1,0,0,0,0
84,9,1771,0,-1,0,0,0,0
85,9,1772,0,-1,0,0,0,0
86,9,1773,0,-1,0,0,0,0
87,9,1774,0,-1,0,0,0,0
88,9,1775,0,-1,0,0,0,0
89,9,1776,0,-1,0,0,0,0
90,9,1777,0,-1,0,0,0,0
91,9,1778,0,-1,0,0,0,0
92,9,1779,0,-1,0,0,0,0
93,9,1780,0,-1,0,0,0,0
94,9,1781,0,-1,0,0,0,0
95,9,1782,0,-1,0,0,0,0
96,9,1783,0,-1,0,0,0,0
97,9,1784,0,-1,0,0,0,0
98,9,1785,0,-1,0,0,0,0
99,9,1786,0,-1,0,0,0,0
100,9,1787,0,-1,0,0,0,0
101,1,1811,0,-1,0,0,0,0
102,9,3401,0,-1,0,0,0,0
103,9,3402,0,-1,0,0,0,0
104,9,3403,0,-1,0,0,0,0
105,9,3404,0,-1,0,0,0,0
106,9,3405,0,-1,0,0,0,0
107,9,3406,0,-1,0,0,0,0
108,8,3409,0,-1,0,0,0,0
109,4,3455,0,-1,0,0,0,0
110,4,3458,0,-1,0,0,0,0
111,1,3459,0,-1,0,0,0,0
112,4,3530,0,-1,0,0,0,0
113,4,3570,0,-1,0,0,0,0
114,5,3609,0,-1,0,0,0,0
115,4,3630,0,-1,0,0,0,0
116,7,4142,0,-1,0,0,0,0
117,7,4143,0,-1,0,0,0,0
118,7,4144,0,-1,0,0,0,0
119,7,4145,0,-1,0,0,0,0
120,7,4146,0,-1,0,0,0,0
121,7,4147,0,-1,0,0,0,0
122,7,4148,0,-1,0,0,0,0
123,7,4149,0,-1,0,0,0,0
124,7,4150,0,-1,0,0,0,0
125,7,4151,0,-1,0,0,0,0
126,7,4152,0,-1,0,0,0,0
127,7,4153,0,-1,0,0,0,0
128,7,4154,0,-1,0,0,0,0
129,7,4155,0,-1,0,0,0,0
130,7,4156,0,-1,0,0,0,0
131,7,4157,0,-1,0,0,0,0
132,7,4158,0,-1,0,0,0,0
133,7,4159,0,-1,0,0,0,0
134,7,4160,0,-1,0,0,0,0
135,7,4161,0,-1,0,0,0,0
136,7,4162,0,-1,0,0,0,0
137,7,4163,0,-1,0,0,0,0
138,7,4164,0,-1,0,0,0,0
139,7,4165,0,-1,0,0,0,0
140,7,4198,0,-1,0,0,0,0
141,7,4199,0,-1,0,0,0,0
142,6,4230,0,-1,0,0,0,0
143,6,4231,0,-1,0,0,0,0
144,6,4232,0,-1,0,0,0,0
145,7,4236,0,-1,0,0,0,0
146,7,4237,0,-1,0,0,0,0
147,7,4241,0,-1,0,0,0,0
148,7,4536,0,-1,0,0,0,0
155,112,5843,798,0,0,0,0,0
