ID,SrcAnimKitID,DstAnimKitID,ConditionalFlags,ParentAnimReplacementSetID
1,9650,1461,0,309
20,9602,565,0,608
21,4585,4567,0,608
22,6092,7262,0,608
23,8650,12548,0,608
24,8326,11098,0,608
26,521,525,0,609
27,1012,832,0,611
43,6142,12862,0,634
44,8521,7601,0,443
46,7583,12893,0,447
47,8521,12895,0,448
48,7583,12895,0,448
49,8521,12893,0,447
50,8521,12909,0,449
51,7583,12909,0,449
52,8521,12910,0,450
53,7583,12910,0,450
54,7601,12913,0,455
55,8101,12913,0,455
56,8521,12913,0,456
57,8101,12913,0,456
58,8521,7583,0,463
59,8521,12914,0,464
60,7583,12914,0,464
61,8521,12915,0,465
62,7601,12915,0,465
63,8521,8566,0,444
64,8521,12918,0,454
65,10592,12918,0,454
66,8521,7583,0,466
67,7583,12920,0,445
68,8521,8566,0,446
69,8521,7583,0,451
70,7583,12928,0,452
71,7583,12931,0,457
72,8521,7583,0,458
73,8521,12929,0,459
74,8521,12929,0,460
75,8521,12920,0,445
76,8521,12931,0,457
77,8521,12937,0,462
78,7583,12937,0,462
79,8521,12941,0,461
80,7583,12941,0,461
81,7583,12929,0,460
82,7583,12929,0,459
83,8521,12942,0,468
84,7583,12942,0,468
85,7583,12943,0,467
86,8521,12943,0,467
87,10592,12944,0,453
88,8521,12944,0,453
89,8521,12928,0,452
90,8973,8101,0,445
91,8973,8101,0,447
92,11571,8101,0,445
93,8973,12955,0,446
94,11571,8449,0,444
96,11571,8449,0,447
97,8973,12957,0,443
100,8973,12985,0,451
101,8973,12986,0,452
102,8973,12987,0,453
103,8973,12989,0,457
104,8973,8101,0,458
105,11571,8101,0,458
106,8973,8101,0,459
107,11571,8101,0,459
108,8973,8101,0,460
109,11571,8101,0,460
110,8973,12990,0,461
111,8973,12991,0,462
112,11571,8449,0,467
113,8973,12995,0,468
114,8973,8101,0,464
115,11571,8101,0,464
116,8973,12998,0,465
117,8973,12999,0,466
118,8973,13000,0,454
119,8973,13005,0,449
120,8973,13004,0,450
121,41,13012,0,637
123,8973,13017,0,455
124,8973,13018,0,456
125,8973,13019,0,448
126,8973,13021,0,463
127,8973,13062,0,444
128,8973,13075,0,467
130,11571,8449,0,443
2161,42,13191,32,450
2172,11571,8449,0,461
2174,11571,8449,0,448
2175,11571,8449,0,456
2176,11571,8449,0,455
2177,11571,8449,0,449
2178,11571,8449,0,468
2182,42,13191,2,646
2183,7583,18829,0,673
2184,8521,18829,0,673
2185,8973,12989,0,673
2186,8521,7583,0,674
2187,8973,8101,0,674
2188,11571,8101,0,674
2189,8973,14070,0,623
2190,82,14074,0,467
2191,42,13191,32,466
2192,8101,12987,0,453
2208,8521,12941,0,701
2209,7583,12941,0,701
2210,8973,12990,0,701
2211,11571,8449,0,701
2212,8521,12937,0,702
2213,7583,12937,0,702
2214,8973,12991,0,702
2215,10592,12944,0,703
2216,8521,12944,0,703
2217,8973,12987,0,703
2218,8101,12987,0,703
2219,8521,12918,0,704
2220,10592,12918,0,704
2221,8973,13000,0,704
2222,8521,7583,0,705
2223,8973,13021,0,705
2224,8521,12914,0,706
2225,7583,12914,0,706
2226,8973,8101,0,706
2227,11571,8101,0,706
2228,8521,12909,0,707
2229,7583,12909,0,707
2230,8973,13005,0,707
2231,11571,8449,0,707
2232,8521,12910,0,708
2233,7583,12910,0,708
2234,8973,13004,0,708
2235,42,13191,32,708
2238,690,15486,0,718
2239,2267,753,0,732
2247,41,16450,0,841
2248,1415,720,0,851
2249,13643,16748,69,855
2250,13643,16746,69,856
2251,13643,16747,69,857
2255,16335,3300,0,874
2257,8521,7601,0,897
2258,8973,8101,0,897
2259,11571,8449,0,897
2260,8521,8566,0,898
2261,11571,8449,0,898
2262,8973,8101,0,898
2263,10592,8101,0,898
2264,2294,2292,128,908
2265,8521,12929,0,920
2266,7583,12929,0,920
2267,8973,8101,0,920
2268,11571,8449,0,920
2269,8521,12929,0,921
2270,7583,12929,0,921
2271,8973,8101,0,921
2272,11571,8449,0,921
2273,7601,12913,0,925
2274,8101,12913,0,925
2275,8973,13017,0,925
2276,11571,8449,0,925
2277,8521,12913,0,926
2278,8101,12913,0,926
2279,8973,13018,0,926
2280,11571,8449,0,926
2286,3481,14256,0,971
2288,41,24048,0,1020
2291,8015,7682,128,1043
2294,42,9306,0,1056
2296,3293,690,0,1069
2297,13186,27221,0,644
2298,11017,27222,0,644
2299,14051,27223,0,644
2300,11027,27224,0,644
2301,62,13263,0,1091
2302,27665,27666,0,644
2303,10006,17710,0,1105
2304,2661,28348,0,1110
2305,42,12010,0,1111
2308,15008,9306,0,1056
2309,15008,9306,0,1111
2311,8446,1808,0,1124
2312,11806,29299,0,1134
2313,9179,30084,0,1144
2314,4817,30281,0,1154
2315,10592,7601,0,1154
2316,30784,30785,0,1154
2318,62,17720,0,1142
2320,20116,7601,0,1154
2321,29583,30986,0,1154
